"File","Exists"
"src\AppRoutes.tsx","True"
"src\app\shell\AppShell.tsx","True"
"src\app\navigation\TopBar.tsx","True"
"src\ui2\nav\MissionControlNav.tsx","True"
"src\features\dashboard\DashboardPage.tsx","True"
"src\features\projects\ProjectsPage.tsx","True"
"src\features\tools\TemplatesPage.tsx","True"
"src\features\misc\VideoWallPlannerPage.tsx","True"
"src\features\compare\CompetitorComparePage.tsx","True"
"src\features\guru\GuruMount.tsx","True"
"src\features\guru\GuruPanel.tsx","True"
"src\features\guru\GuruFab.tsx","True"
"src\features\projects\projectStore.ts","True"
