"Selector","File","Occurrences"
"\.wm-topbar\b","src\styles\wingman-ui.css","25"
"\.wm-topbar\b","src\styles\wingman-ui.consistency.css","3"
"\.wm-topbar\b","src\styles\wm-export.css","2"
"\.wm-topbar\b","src\styles\overrides.css","1"
"\.wm-surface\b","src\styles\wingman-ui.consistency.css","14"
"\.wm-surface\b","src\styles\overrides.css","5"
"\.wm-surface\b","src\styles\wingman-ui.css","2"
"\.wm-shell__nav\b","src\styles\overrides.css","18"
"\.wm-shell__nav\b","src\styles\wm-shell.css","3"
"\.wm-shell__nav\b","src\styles\wm-export.css","2"
"\.wm-page\b","src\styles\wingman-ui.css","31"
"\.wm-page\b","src\styles\wingman-ui.consistency.css","12"
"\.wm-page\b","src\styles\overrides.css","4"
"\.wm-page\b","src\styles\wingman-compact-density.css","1"
"\.wm-page\b","src\styles\wingman-commercial.css","1"
"\.wm-page\b","src\styles\layout-standard.css","1"
"\.wm-btn\b","src\styles\wingman-ui.css","25"
"\.wm-btn\b","src\styles\wingman-ui.consistency.css","24"
"\.wm-btn\b","src\styles\wingman-theme.css","20"
"\.wm-btn\b","src\styles\overrides.css","3"
