"File","Bytes","Lines","EmptyOrWhitespace","HasWMSelectors"
"src\styles\utilities.css","34","2","False","False"
"src\styles\polish.css","63","2","False","False"
"src\styles\wm-dashboard.css","339","18","False","True"
"src\styles\wingman-compact-density.css","397","19","False","True"
"src\styles\index.css","759","36","False","False"
"src\styles\wingman-brand.tokens.css","962","34","False","False"
"src\styles\globals.css","1146","63","False","True"
"src\styles\wm-shell.css","1293","66","False","True"
"src\styles\tokens.classic.css","1376","48","False","False"
"src\styles\components.css","1445","69","False","True"
"src\styles\layout-standard.css","2245","66","False","True"
"src\styles\tokens.css","4081","173","False","False"
"src\styles\wingman-commercial.css","5573","249","False","True"
"src\styles\wingman-theme.css","6241","212","False","True"
"src\styles\wm-export.css","7647","389","False","True"
"src\styles\overrides.css","13441","528","False","True"
"src\styles\wingman-ui.css","19309","767","False","True"
"src\styles\wingman-ui.consistency.css","32920","1581","False","True"
