"BaseName","Count","Families","Paths"
"AncillaryCostsForm","2","shared-or-legacy-components","src\components\AncillaryCostsForm.tsx | src\components\financials\AncillaryCostsForm.tsx"
"AppLayout","2","app-layout | legacy-layout-components","src\app\layout\AppLayout.tsx | src\components\layout\AppLayout.tsx"
"AppShell","2","app-shell | legacy-layout","src\app\shell\AppShell.tsx | src\layout\AppShell.tsx"
"AuthContext","2","other","src\auth\AuthContext.tsx | src\context\AuthContext.tsx"
"CategoryMenu","2","app-navigation | legacy-navigation","src\app\navigation\CategoryMenu.tsx | src\components\nav\CategoryMenu.tsx"
"ComparisonTray","2","other | shared-or-legacy-components","src\app\ComparisonTray.tsx | src\components\ComparisonTray.tsx"
"competitor-compareComparisonService","2","other","src\services\app\tools\competitor-compareComparisonService.ts | src\services\app\tools\competitor-compareComparisonService.tsx"
"CompetitorComparePage","2","feature-pages-and-logic | legacy-tool-pages","src\features\compare\CompetitorComparePage.tsx | src\pages\tools\CompetitorComparePage.tsx"
"competitorComparisonService","2","feature-pages-and-logic | other","src\features\competitor\competitorComparisonService.ts | src\services\competitorComparisonService.ts"
"CompetitorMatchFinderPanel","2","shared-or-legacy-components","src\components\app\tools\competitor-compare\CompetitorMatchFinderPanel.tsx | src\components\competitor\CompetitorMatchFinderPanel.tsx"
"CostSummaryDisplay","2","shared-or-legacy-components","src\components\CostSummaryDisplay.tsx | src\components\financials\CostSummaryDisplay.tsx"
"docxExporterPro","2","other","src\services\export\docxExporterPro.ts | src\utils\docxExporterPro.ts"
"extractRequirements","2","other","src\app\import\extractRequirements.ts | src\import\extractRequirements.ts"
"FeedbackModal","2","other | shared-or-legacy-components","src\app\FeedbackModal.tsx | src\components\FeedbackModal.tsx"
"Footer","3","app-components | app-layout | legacy-layout-components","src\app\components\Footer.tsx | src\app\layout\Footer.tsx | src\components\layout\Footer.tsx"
"Header","2","app-layout | legacy-layout-components","src\app\layout\Header.tsx | src\components\layout\Header.tsx"
"Icons","2","other | shared-or-legacy-components","src\app\Icons.tsx | src\components\Icons.tsx"
"index","11","other","src\context\index.ts | src\core\engineering\index.ts | src\core\engineering\explain\index.ts | src\core\engineering\patterns\index.ts | src\core\engineering\rules\index.ts | src\core\engineering\validate\index.ts | src\services\auth\index.ts | src\services\database\index.ts | src\state\index.ts | src\utils\cableRouting\index.ts | src\utils\types\index.ts"
