"RelativePath","Name","BaseName","Dir","Family","LastWrite","Size"
"src\components\layout\AppFooter.tsx","AppFooter.tsx","AppFooter","src\components\layout","legacy-layout-components","05/03/2026 21:02:11","369"
"src\app\shell\AppShell.tsx","AppShell.tsx","AppShell","src\app\shell","app-shell","05/03/2026 21:02:11","1306"
"src\layout\AppShell.tsx","AppShell.tsx","AppShell","src\layout","legacy-layout","05/03/2026 21:02:12","4882"
"src\features\compare\CompetitorComparePage.tsx","CompetitorComparePage.tsx","CompetitorComparePage","src\features\compare","feature-pages-and-logic","05/03/2026 21:02:12","9618"
"src\pages\tools\CompetitorComparePage.tsx","CompetitorComparePage.tsx","CompetitorComparePage","src\pages\tools","legacy-tool-pages","05/03/2026 21:02:12","6446"
"src\features\dashboard\DashboardPage.tsx","DashboardPage.tsx","DashboardPage","src\features\dashboard","feature-pages-and-logic","05/03/2026 21:02:12","17272"
"src\components\DefaultHeader.tsx","DefaultHeader.tsx","DefaultHeader","src\components","shared-or-legacy-components","05/03/2026 21:02:12","1368"
"src\components\welcome\DefaultWelcome.tsx","DefaultWelcome.tsx","DefaultWelcome","src\components\welcome","shared-or-legacy-components","05/03/2026 21:02:12","2096"
"src\app\components\Footer.tsx","Footer.tsx","Footer","src\app\components","app-components","05/03/2026 21:02:11","1259"
"src\app\layout\Footer.tsx","Footer.tsx","Footer","src\app\layout","app-layout","05/03/2026 21:02:11","132"
"src\components\layout\Footer.tsx","Footer.tsx","Footer","src\components\layout","legacy-layout-components","05/03/2026 21:02:11","1177"
"src\app\layout\Header.tsx","Header.tsx","Header","src\app\layout","app-layout","05/03/2026 21:02:11","132"
"src\components\layout\Header.tsx","Header.tsx","Header","src\components\layout","legacy-layout-components","05/03/2026 21:02:11","2153"
"src\pages\Landing.tsx","Landing.tsx","Landing","src\pages","legacy-pages","05/03/2026 21:02:12","128"
"src\ui2\components\PageHeader.tsx","PageHeader.tsx","PageHeader","src\ui2\components","other","05/03/2026 21:02:12","743"
"src\app\layout\PageShell.tsx","PageShell.tsx","PageShell","src\app\layout","app-layout","05/03/2026 21:02:11","2068"
"src\components\layout\PageShell.tsx","PageShell.tsx","PageShell","src\components\layout","legacy-layout-components","05/03/2026 21:02:11","125"
"src\_legacy\components\ProfileModal.tsx","ProfileModal.tsx","ProfileModal","src\_legacy\components","other","05/03/2026 21:02:11","8960"
"src\app\components\ProfileModal.tsx","ProfileModal.tsx","ProfileModal","src\app\components","app-components","05/03/2026 21:02:11","939"
"src\app\ProfileModal.tsx","ProfileModal.tsx","ProfileModal","src\app","other","05/03/2026 21:02:11","130"
"src\components\ProfileModal.tsx","ProfileModal.tsx","ProfileModal","src\components","shared-or-legacy-components","05/03/2026 21:02:12","8952"
"src\features\projects\ProjectsPage.tsx","ProjectsPage.tsx","ProjectsPage","src\features\projects","feature-pages-and-logic","05/03/2026 21:02:12","9026"
"src\pages\ProjectsPage.tsx","ProjectsPage.tsx","ProjectsPage","src\pages","legacy-pages","05/03/2026 21:02:12","13640"
