"Step","File","Action"
"AuditRootPage","src\pages\AgentInputForm.tsx","LikelyRealPage"
"AuditRootPage","src\pages\AnalyticsPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\ComparisonPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\CompetitorComparisonPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\DesignCoPilot.tsx","LikelyRealPage"
"AuditRootPage","src\pages\GuidedProjectWizard.tsx","LikelyRealPage"
"AuditRootPage","src\pages\LoginPage.tsx","RealPage"
"AuditRootPage","src\pages\ProjectOverviewPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\ProjectSetupScreen.tsx","LikelyRealPage"
"AuditRootPage","src\pages\PublicLandingPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\QuickQuestionPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\RoomEditorEntry.tsx","LikelyRealPage"
"AuditRootPage","src\pages\SignupPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\TemplateBrowserScreen.tsx","LikelyRealPage"
"AuditRootPage","src\pages\VideoGeneratorPage.tsx","LikelyRealPage"
"AuditRootPage","src\pages\WorkspaceHomePage.tsx","RealPage"
