"FileName","Kind","Directory","Path","FamilySize"
"AncillaryCostsForm.tsx","RealImplementation","src\components","src\components\AncillaryCostsForm.tsx","2"
"AncillaryCostsForm.tsx","Other","src\components\financials","src\components\financials\AncillaryCostsForm.tsx","2"
"AuthContext.tsx","RealImplementation","src\auth","src\auth\AuthContext.tsx","2"
"AuthContext.tsx","RealImplementation","src\context","src\context\AuthContext.tsx","2"
"competitorComparisonService.ts","RealImplementation","src\features\competitor","src\features\competitor\competitorComparisonService.ts","2"
"competitorComparisonService.ts","Other","src\services","src\services\competitorComparisonService.ts","2"
"CompetitorMatchFinderPanel.tsx","WrapperOrReExport","src\components\app\tools\competitor-compare","src\components\app\tools\competitor-compare\CompetitorMatchFinderPanel.tsx","2"
"CompetitorMatchFinderPanel.tsx","RealImplementation","src\components\competitor","src\components\competitor\CompetitorMatchFinderPanel.tsx","2"
"CostSummaryDisplay.tsx","RealImplementation","src\components","src\components\CostSummaryDisplay.tsx","2"
"CostSummaryDisplay.tsx","Other","src\components\financials","src\components\financials\CostSummaryDisplay.tsx","2"
"docxExporterPro.ts","Other","src\services\export","src\services\export\docxExporterPro.ts","2"
"docxExporterPro.ts","WrapperOrReExport","src\utils","src\utils\docxExporterPro.ts","2"
"extractRequirements.ts","RealImplementation","src\app\import","src\app\import\extractRequirements.ts","2"
"extractRequirements.ts","RealImplementation","src\import","src\import\extractRequirements.ts","2"
"Footer.tsx","RealImplementation","src\app\components","src\app\components\Footer.tsx","2"
"Footer.tsx","RealImplementation","src\app\layout","src\app\layout\Footer.tsx","2"
"Icons.tsx","WrapperOrReExport","src\app","src\app\Icons.tsx","2"
"Icons.tsx","WrapperOrReExport","src\components","src\components\Icons.tsx","2"
"index.ts","WrapperOrReExport","src\context","src\context\index.ts","11"
"index.ts","Other","src\core\engineering\explain","src\core\engineering\explain\index.ts","11"
"index.ts","WrapperOrReExport","src\core\engineering","src\core\engineering\index.ts","11"
"index.ts","WrapperOrReExport","src\core\engineering\patterns","src\core\engineering\patterns\index.ts","11"
"index.ts","WrapperOrReExport","src\core\engineering\rules","src\core\engineering\rules\index.ts","11"
"index.ts","Other","src\core\engineering\validate","src\core\engineering\validate\index.ts","11"
"index.ts","Other","src\services\auth","src\services\auth\index.ts","11"
"index.ts","Other","src\services\database","src\services\database\index.ts","11"
"index.ts","WrapperOrReExport","src\state","src\state\index.ts","11"
"index.ts","Other","src\utils\cableRouting","src\utils\cableRouting\index.ts","11"
"index.ts","WrapperOrReExport","src\utils\types","src\utils\types\index.ts","11"
"MobileNavMenu.tsx","RealImplementation","src\app\layout","src\app\layout\MobileNavMenu.tsx","2"
"MobileNavMenu.tsx","WrapperOrReExport","src\components\layout","src\components\layout\MobileNavMenu.tsx","2"
"NavDropdown.tsx","RealImplementation","src\app\layout","src\app\layout\NavDropdown.tsx","2"
"NavDropdown.tsx","WrapperOrReExport","src\components\layout","src\components\layout\NavDropdown.tsx","2"
"PageShell.tsx","RealImplementation","src\app\layout","src\app\layout\PageShell.tsx","2"
"PageShell.tsx","WrapperOrReExport","src\components\layout","src\components\layout\PageShell.tsx","2"
"PlannerCanvas.tsx","Other","src\components\planner","src\components\planner\PlannerCanvas.tsx","2"
"PlannerCanvas.tsx","RealImplementation","src\components","src\components\PlannerCanvas.tsx","2"
"pricing.ts","WrapperOrReExport","src\data","src\data\pricing.ts","3"
"pricing.ts","Other","src\features\pricing","src\features\pricing\pricing.ts","3"
"pricing.ts","RealImplementation","src\proposal\bom","src\proposal\bom\pricing.ts","3"
"ProfileModal.tsx","RealImplementation","src\app\components","src\app\components\ProfileModal.tsx","2"
"ProfileModal.tsx","RealImplementation","src\app","src\app\ProfileModal.tsx","2"
"projectsStore.ts","WrapperOrReExport","src\state\app","src\state\app\projectsStore.ts","2"
"projectsStore.ts","RealImplementation","src\state","src\state\projectsStore.ts","2"
"projectStore.ts","RealImplementation","src\features\projects","src\features\projects\projectStore.ts","2"
"projectStore.ts","Other","src\services\database","src\services\database\ProjectStore.ts","2"
"recentTools.ts","RealImplementation","src\components\app\tools","src\components\app\tools\recentTools.ts","2"
"recentTools.ts","RealImplementation","src\components\tools","src\components\tools\recentTools.ts","2"
"recommendWyrestorm.ts","RealImplementation","src\app\import","src\app\import\recommendWyrestorm.ts","2"
"recommendWyrestorm.ts","RealImplementation","src\import","src\import\recommendWyrestorm.ts","2"
"schemas.ts","WrapperOrReExport","src\services","src\services\schemas.ts","2"
"schemas.ts","Other","src\services\schemas","src\services\schemas\schemas.ts","2"
"technologyAnalyzer.ts","RealImplementation","src\utils\cableRouting","src\utils\cableRouting\technologyAnalyzer.ts","2"
"technologyAnalyzer.ts","RealImplementation","src\utils","src\utils\technologyAnalyzer.ts","2"
"TemplatesPage.tsx","RealImplementation","src\features\misc","src\features\misc\TemplatesPage.tsx","2"
"TemplatesPage.tsx","RealImplementation","src\features\tools","src\features\tools\TemplatesPage.tsx","2"
"textExtractors.ts","RealImplementation","src\app\import","src\app\import\textExtractors.ts","2"
"textExtractors.ts","RealImplementation","src\import","src\import\textExtractors.ts","2"
"theme.ts","RealImplementation","src\app\theme","src\app\theme\theme.ts","2"
"theme.ts","RealImplementation","src\ui2\theme","src\ui2\theme\theme.ts","2"
"ToolGrid.tsx","RealImplementation","src\components\app\tools","src\components\app\tools\ToolGrid.tsx","2"
"ToolGrid.tsx","RealImplementation","src\components\tools","src\components\tools\ToolGrid.tsx","2"
"types.ts","Other","src\catalog","src\catalog\types.ts","11"
"types.ts","Other","src\competitor","src\competitor\types.ts","11"
"types.ts","Other","src\components","src\components\types.ts","11"
"types.ts","Other","src\core\engineering\rules","src\core\engineering\rules\types.ts","11"
"types.ts","Other","src\core\engineering","src\core\engineering\types.ts","11"
"types.ts","Other","src\proposal\bom","src\proposal\bom\types.ts","11"
"types.ts","Other","src\services\auth","src\services\auth\types.ts","11"
"types.ts","Other","src\services\database","src\services\database\types.ts","11"
"types.ts","Other","src\services\export","src\services\export\types.ts","11"
"types.ts","Other","src\state","src\state\types.ts","11"
"types.ts","Other","src\utils\cableRouting","src\utils\cableRouting\types.ts","11"
"useLocalStorage.ts","Other","src\app\storage","src\app\storage\useLocalStorage.ts","2"
