"FileName","FamilySize","Kinds"
"AncillaryCostsForm.tsx","2","Other, RealImplementation"
"AuthContext.tsx","2","RealImplementation"
"competitorComparisonService.ts","2","Other, RealImplementation"
"CompetitorMatchFinderPanel.tsx","2","RealImplementation, WrapperOrReExport"
"CostSummaryDisplay.tsx","2","Other, RealImplementation"
"docxExporterPro.ts","2","Other, WrapperOrReExport"
"extractRequirements.ts","2","RealImplementation"
"Footer.tsx","2","RealImplementation"
"Icons.tsx","2","WrapperOrReExport"
"index.ts","11","Other, WrapperOrReExport"
"MobileNavMenu.tsx","2","RealImplementation, WrapperOrReExport"
"NavDropdown.tsx","2","RealImplementation, WrapperOrReExport"
"PageShell.tsx","2","RealImplementation, WrapperOrReExport"
"PlannerCanvas.tsx","2","Other, RealImplementation"
"pricing.ts","3","Other, RealImplementation, WrapperOrReExport"
"ProfileModal.tsx","2","RealImplementation"
"projectsStore.ts","2","RealImplementation, WrapperOrReExport"
"projectStore.ts","2","Other, RealImplementation"
"recentTools.ts","2","RealImplementation"
"recommendWyrestorm.ts","2","RealImplementation"
"schemas.ts","2","Other, WrapperOrReExport"
"technologyAnalyzer.ts","2","RealImplementation"
"TemplatesPage.tsx","2","RealImplementation"
"textExtractors.ts","2","RealImplementation"
"theme.ts","2","RealImplementation"
"ToolGrid.tsx","2","RealImplementation"
"types.ts","11","Other"
"useLocalStorage.ts","2","Other"
"wyrestormSkuCatalog.2026.ts","2","Other, WrapperOrReExport"
