"FileName","Path","Directory","Kind","LineCount","NormalizedHash"
"Footer.tsx","src\app\components\Footer.tsx","src\app\components","RealImplementation","44","c0b31c1b49dc31657b6b807c568e1a31f142e549759fcaaf8a3ae6fdddb425b0"
"GuruFloatingButton.tsx","src\app\components\GuruFloatingButton.tsx","src\app\components","RealImplementation","37","17876251e06ec8b6019ba00bc9b5e4ce2987aa17dc350f013c9d6eb02e7e200a"
"ProfileModal.tsx","src\app\components\ProfileModal.tsx","src\app\components","RealImplementation","24","6510ace5d5f9e2ccdbc37ddd8fdce656769579d9948cfad1249015a38fd163ef"
"extractRequirements.ts","src\app\import\extractRequirements.ts","src\app\import","RealImplementation","68","30b85d607a72042dee2e34968517e8f0040cfe0ce481911e7156091ff816832c"
"recommendWyrestorm.ts","src\app\import\recommendWyrestorm.ts","src\app\import","RealImplementation","26","41bcb6bd9902d3cec6642bd169c998fdd09748c80d3b3e25a8a22bc95b862690"
"recommendWyrestorm.tsx","src\app\import\recommendWyrestorm.tsx","src\app\import","WrapperOrReExport","3","725f2a71b37d26d3c37a2f029891037b82e4abf9b91d7d7f9c5265c0a4ca2cb6"
"textExtractors.ts","src\app\import\textExtractors.ts","src\app\import","RealImplementation","17","2651f3b1ac76bfc50b62c6187a93abafba8fc3d4847a6d1cbedf0dae960017c1"
"AppLayout.tsx","src\app\layout\AppLayout.tsx","src\app\layout","RealImplementation","41","a4bf040442b4852852f0c19af5a851ab9c70dba81be443d7cc3641f2671a5f5b"
"AppPageFrame.tsx","src\app\layout\AppPageFrame.tsx","src\app\layout","RealImplementation","14","7c04ea85fc096eec287dcc2e5daf250aa7e36168f5877719d5ff62ff43346258"
"Footer.tsx","src\app\layout\Footer.tsx","src\app\layout","RealImplementation","28","4e0edbf1a9bd01fb5d1a9f43bb78ead13cf031e5c1de6f6e2936d8f115f9da74"
"Header.tsx","src\app\layout\Header.tsx","src\app\layout","RealImplementation","47","3de2cd9d993694339887f2504f0c6c24b446ced52905bd8fe18110b4a4d73d60"
"Logo.tsx","src\app\layout\Logo.tsx","src\app\layout","RealImplementation","21","e3899a04286ba9d638cb4821c575e5527bc0bc0d58f683699f24340e22737c90"
"MobileNavMenu.tsx","src\app\layout\MobileNavMenu.tsx","src\app\layout","RealImplementation","44","03d6db0b21cdaefd42616f31e99547a9b90828bc8e44eda904964b82e1eeabe6"
"NavDropdown.tsx","src\app\layout\NavDropdown.tsx","src\app\layout","RealImplementation","43","665a4a824f38cfa53876e2d2703c8a9cddbc4f50556111eb1379f3ecc062e07d"
"PageShell.tsx","src\app\layout\PageShell.tsx","src\app\layout","RealImplementation","61","096a397b925719c12c6951f115bffa2d2c7b03f8cc551c5862a8785ba062aaec"
"ProposalLayout.tsx","src\app\layout\ProposalLayout.tsx","src\app\layout","RealImplementation","12","9d68d74eceb6470dc89f0358a33c8d60098a38b28bef747f3ae9978c9dfecd55"
"Search.tsx","src\app\layout\Search.tsx","src\app\layout","RealImplementation","184","88319b6b478040b2171bf6c97f6f56df4e1e7f9a0fe1e9ac79c39353e1520f93"
"CategoryMenu.tsx","src\app\navigation\CategoryMenu.tsx","src\app\navigation","RealImplementation","119","d291fad6d70c95de641befe5af4b47f718ebba53170eb65ce33f5b4956b6a9d7"
"nav.data.ts","src\app\navigation\nav.data.ts","src\app\navigation","Other","28","d40d0e409211ec9c04ba52ad17c1aa05fae678e7862526488767fa94fe237586"
"TopBar.tsx","src\app\navigation\TopBar.tsx","src\app\navigation","RealImplementation","81","6b1752eeff1b04cb3a590238c2aa46e434c12246bd31025b95b1978f8b0f9bb0"
"CompletionChecklistPage.tsx","src\app\pages\CompletionChecklistPage.tsx","src\app\pages","RealImplementation","470","89a72cda74613c269a09d19095918d5744ad6d08578d8ea58e797427ef80552c"
"WingmanProviders.tsx","src\app\providers\WingmanProviders.tsx","src\app\providers","RealImplementation","16","5e46267feea72adacacaa0821a6bdcdbd24f882ed70d01178bce9a464747acb0"
"navConfig.ts","src\app\routes\navConfig.ts","src\app\routes","RealImplementation","26","48a7809305c3f8bee1a842ba67b5d3eacee84add309410623b93feecce8fc28a"
"routes.ts","src\app\routing\routes.ts","src\app\routing","Other","22","8be740058ce176d59263de8503a6b1d95badb51e1feef819f7014ca53d791a34"
"templateSeed.ts","src\app\schema\templateSeed.ts","src\app\schema","RealImplementation","93","8c38d95447a969d9cf033eeb9b41193f2ad9759642fa1fdf5735bcf7e3016839"
"AppShell.tsx","src\app\shell\AppShell.tsx","src\app\shell","RealImplementation","50","8db39b2bd7f7ae6590fbb17adf7d83bb1f13665df0942d62802a074784f13b63"
"PublicShell.tsx","src\app\shell\PublicShell.tsx","src\app\shell","RealImplementation","168","5abce482ad4fd0c068516c4a82f8e8d053522271b67dbfa693240d56484c2def"
"ToolsLayout.tsx","src\app\shell\ToolsLayout.tsx","src\app\shell","RealImplementation","42","faec1586a8038eadc2ab30ae5f76ef7ac64f573b6c3417911adff42dc5ac84ca"
"useLocalStorage.ts","src\app\storage\useLocalStorage.ts","src\app\storage","Other","15","f706b34fb9bd64c032503f965bf7ebfb22c138bc992081b0d42ab5567a91384a"
"userProfile.ts","src\app\storage\userProfile.ts","src\app\storage","RealImplementation","27","f7c5083eb2b26c8658b29c4569744b7f413f6055e57868b3ce2cd25fd86ea2ce"
"NotFoundPage.tsx","src\app\system\NotFoundPage.tsx","src\app\system","RealImplementation","14","2498f80ce3d3bbd23ab8775e6a89888746cecdf9f8e678048d62db1d649cd3ce"
"theme.ts","src\app\theme\theme.ts","src\app\theme","RealImplementation","55","8ced9336681c9db7bcf46563444c5e4fb3c98a47832ceaffb92bd19e77519093"
"ThemeToggle.tsx","src\app\theme\ThemeToggle.tsx","src\app\theme","RealImplementation","40","ffc3297e7d4863ccd6ad7336bdde3bdd7312bd0d831207ead9b51ad896f959cf"
"safeLazy.tsx","src\app\utils\safeLazy.tsx","src\app\utils","RealImplementation","39","f318487d0038f17964772764453ec225de4b849704b836070fe6a7bddcf4111d"
"schema.ts","src\app\utils\schema.ts","src\app\utils","RealImplementation","19","97cb0b41da9b068d2270c8518b4707e3ff0f74f807ab11b0d9f8a85841c3765f"
"ComparisonTray.tsx","src\app\ComparisonTray.tsx","src\app","RealImplementation","39","f535ef4ec076a5875a9b7674f2d9953468f0eb4f4e83e08ca6aebf9c6e4f6d60"
"FeedbackModal.tsx","src\app\FeedbackModal.tsx","src\app","RealImplementation","69","4c9cfbd430fa9c184ff35e7afae5d4dc63e7d8fb091c74bd42bccbf8e17431ce"
"Icons.tsx","src\app\Icons.tsx","src\app","WrapperOrReExport","2","3eeb9dc207593bae0ac99908d7a07ec203ba076631e45cd3cebfe93c6a1c7e79"
"ProfileModal.tsx","src\app\ProfileModal.tsx","src\app","RealImplementation","169","31192a36a2d72a7886c3ef16bed6a6db479cb88c4a37bed6a7e08722b5da432e"
"auth.ts","src\auth\auth.ts","src\auth","RealImplementation","28","2a52a99b6416e42f0f97ab9ce8f40f2dcae1f5aa131495acb0aaedb996eff2a3"
"AuthContext.tsx","src\auth\AuthContext.tsx","src\auth","RealImplementation","31","9ae114fd0da6e88fa9580bc4aa9f30ae8fb7208edc114f3d34ff1d54f86224d2"
"authStore.ts","src\auth\authStore.ts","src\auth","RealImplementation","20","9ced9b763b701abe0a95636f5eac69e3570f89c7d9be7b458b4596832b020b63"
"RequireAuth.tsx","src\auth\RequireAuth.tsx","src\auth","RealImplementation","9","950cf7f2b5bf3325322e1333264fa18b3ab7334f49a2345c2e91a163542125b2"
"CatalogAdvisor.ts","src\catalog\intelligence\CatalogAdvisor.ts","src\catalog\intelligence","RealImplementation","15","9911c39fc8c8c826868bc57c597c7b293afae09f10731b1b27b6ca441b0cff6b"
"CatalogRepository.ts","src\catalog\CatalogRepository.ts","src\catalog","RealImplementation","17","15405714715f1a8ad65cd7b9b95f20d1516faa26d9926fca6e2022d25e0a992c"
"CatalogService.ts","src\catalog\CatalogService.ts","src\catalog","Other","3","8f0d55c59bc42ddd9728d178ac86c344134109ee288a7c7ff790cfc9cd8f5958"
"model.ts","src\catalog\model.ts","src\catalog","Other","45","f96c08bff1ab8dd88cd3a91c15d68e3db839deb2317135dc98099f57c90f8aec"
"types.ts","src\catalog\types.ts","src\catalog","Other","12","cae8be22e925b4d1fd9d2b13ad54cbe47c1a8238445c10032c65592ed4cf603e"
"competitorDataset.ts","src\competitor\competitorDataset.ts","src\competitor","Other","45","352e6c93b246a9967705a8d510f006e7b741f4f4b97ac61413a15e495cd8d665"
"CompetitorMatchService.ts","src\competitor\CompetitorMatchService.ts","src\competitor","RealImplementation","123","84306091038c7c67de9009237557b472c2ee23fbd470373c9268bae291d60832"
"CompetitorStore.ts","src\competitor\CompetitorStore.ts","src\competitor","RealImplementation","11","5e70ce074a4943e40ad41770d47f5ecc9a6a8b09118ca588538e760516498c8c"
"csv.ts","src\competitor\csv.ts","src\competitor","RealImplementation","137","ede7bac96885d39591550a1e2aa8490a680120c03b4626b3b4b5a3bb86a52966"
"types.ts","src\competitor\types.ts","src\competitor","Other","51","9b46418ebf0c0ab19901ff964e9c83b6071780ca170b8781901ec52f596812f4"
"Room3DViewer.tsx","src\components\3D\Room3DViewer.tsx","src\components\3D","RealImplementation","179","ce751c0af7972c0b48839830b19501fda929502d9e795ac1e00e3f4726be9304"
"Room3DViewerAdvanced.tsx","src\components\3D\Room3DViewerAdvanced.tsx","src\components\3D","RealImplementation","364","9d9c4dfe146421d13b2a091b265a577fea596518e001de9888af8af3a9c30014"
"CompetitorMatchFinderPanel.tsx","src\components\app\tools\competitor-compare\CompetitorMatchFinderPanel.tsx","src\components\app\tools\competitor-compare","WrapperOrReExport","3","09d8906f95fc827c50914378ded92091d89eb9e25f12e5489a586bf08a740cbd"
"recentTools.ts","src\components\app\tools\recentTools.ts","src\components\app\tools","RealImplementation","78","14ef29351470566935ef36a90eb2c1a851d0868fb53a988e590ee8661f59250f"
"recentTools.tsx","src\components\app\tools\recentTools.tsx","src\components\app\tools","WrapperOrReExport","3","277f503d5ff20d227f5e7ad4151f3565d065048e34a3ec2ed253e2a48567a490"
"ToolGrid.tsx","src\components\app\tools\ToolGrid.tsx","src\components\app\tools","RealImplementation","21","4247d9b83546f6d7e5b8b8a8a1fe1821d7108eaa3ffb74c89a7396355f9123e7"
"LoginForm.tsx","src\components\auth\LoginForm.tsx","src\components\auth","RealImplementation","35","0bf7b722bfd5379c2ea077f804c5fbe5242de29e08ed8ad77cf60b6164a67329"
"LogoLockup.tsx","src\components\brand\LogoLockup.tsx","src\components\brand","RealImplementation","4","6550044820aa27efd8ebe36673c5c06b95f7bf75c15207e9655df20fc3c0a8f1"
"BrandLogo.tsx","src\components\branding\BrandLogo.tsx","src\components\branding","RealImplementation","54","a26fb623720b9c585899be5f04fa57ea3ca0276c7853b53bd1d6c8cb5615cdb6"
"WingmanBrand.tsx","src\components\branding\WingmanBrand.tsx","src\components\branding","RealImplementation","14","d901d4526b2154b454b6e3ab82e6fa9b6b079f5167c79180d7d98f0df5ab320b"
"Chips.tsx","src\components\catalog\Chips.tsx","src\components\catalog","RealImplementation","6","bd283675032b956ad8028088fc7f1bcf1e5947c9e5aa3680c018fcb7643288d2"
"CompetitorMatchFinderPanel.tsx","src\components\competitor\CompetitorMatchFinderPanel.tsx","src\components\competitor","RealImplementation","4","0caff526ae6f2f57faa5dcb58b6a9fb98cd4b10f6b0f6cf177b0a33c1743dee2"
"AncillaryCostsForm.tsx","src\components\financials\AncillaryCostsForm.tsx","src\components\financials","Other","1","dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c"
"CostSummaryDisplay.tsx","src\components\financials\CostSummaryDisplay.tsx","src\components\financials","Other","1","dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c"
"AudioDesignStep.tsx","src\components\guidedWizard\steps\AudioDesignStep.tsx","src\components\guidedWizard\steps","RealImplementation","159","5152011f3a8a4c3f1ec675043bf78fd787044d52d454a82d4c6c713cfa0e5b8b"
"DisplayOutputsStep.tsx","src\components\guidedWizard\steps\DisplayOutputsStep.tsx","src\components\guidedWizard\steps","RealImplementation","194","50edd838da4157eae3825eabf664934078d7f4dfbb83bfb3d9cb02974c542499"
"InputSourcesStep.tsx","src\components\guidedWizard\steps\InputSourcesStep.tsx","src\components\guidedWizard\steps","RealImplementation","216","d53636e6dfc305dfaa3152ad84dafa468692b5346c34fb1ed2335337fd28bc2b"
