"Hash","FileName","Kind","LineCount","Path","Directory","GroupSize"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","AncillaryCostsForm.tsx","Other","1","src\components\financials\AncillaryCostsForm.tsx","src\components\financials","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","CostSummaryDisplay.tsx","Other","1","src\components\financials\CostSummaryDisplay.tsx","src\components\financials","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","DefaultThemeBrowser.tsx","Other","1","src\components\templateBrowser\DefaultThemeBrowser.tsx","src\components\templateBrowser","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","OutputConfigCard.tsx","Other","1","src\components\roomWizard\outputs\OutputConfigCard.tsx","src\components\roomWizard\outputs","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","PlannerCanvas.tsx","Other","1","src\components\planner\PlannerCanvas.tsx","src\components\planner","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","StepDisplay.tsx","Other","1","src\components\roomWizard\StepDisplay.tsx","src\components\roomWizard","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","StepMultiMonitor.tsx","Other","1","src\components\roomWizard\StepMultiMonitor.tsx","src\components\roomWizard","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","StepSources.tsx","Other","1","src\components\roomWizard\StepSources.tsx","src\components\roomWizard","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","StepSummary.tsx","Other","1","src\components\roomWizard\videoWall\StepSummary.tsx","src\components\roomWizard\videoWall","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","StepTechnology.tsx","Other","1","src\components\roomWizard\videoWall\StepTechnology.tsx","src\components\roomWizard\videoWall","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","themes.ts","Other","1","src\data\themes.ts","src\data","12"
"dab1872173eb598c48a1fcee6a54efeba83d471d7fb63848e659d68aace3628c","VideoWallWizardModal.tsx","Other","1","src\components\roomWizard\VideoWallWizardModal.tsx","src\components\roomWizard","12"
