"RelativePath","LiveExists","LiveBroken","Candidate","CandidateBytes","Action"
"src\components\financials\AncillaryCostsForm.tsx","True","True","_RESCUE\ReactImportNormalize_20260305_151548\src\components\AncillaryCostsForm.tsx","12962","Restored"
"src\components\financials\CostSummaryDisplay.tsx","True","True","_RESCUE\EncodingFix_20260305_210211\src\components\CostSummaryDisplay.tsx","12388","Restored"
"src\components\planner\PlannerCanvas.tsx","True","True","_RESCUE\ReactImportNormalize_20260305_151548\src\components\PlannerCanvas.tsx","6661","Restored"
"src\components\roomWizard\outputs\OutputConfigCard.tsx","True","True","","0","NoRestoreCandidate"
"src\components\roomWizard\StepDisplay.tsx","True","True","","0","NoRestoreCandidate"
"src\components\roomWizard\StepMultiMonitor.tsx","True","True","","0","NoRestoreCandidate"
"src\components\roomWizard\StepSources.tsx","True","True","","0","NoRestoreCandidate"
"src\components\roomWizard\videoWall\StepSummary.tsx","True","True","","0","NoRestoreCandidate"
"src\components\roomWizard\videoWall\StepTechnology.tsx","True","True","","0","NoRestoreCandidate"
"src\components\roomWizard\VideoWallWizardModal.tsx","True","True","","0","NoRestoreCandidate"
"src\components\templateBrowser\DefaultThemeBrowser.tsx","True","True","","0","NoRestoreCandidate"
"src\data\themes.ts","True","True","","0","NoRestoreCandidate"
