"FolderName","Count","Paths"
"20260212_114955","2","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955 | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114955"
"20260212_115225","2","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225 | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_115225"
"app","6","C:\Users\steve\wingman\src\app | C:\Users\steve\wingman\src\components\app | C:\Users\steve\wingman\src\services\app | C:\Users\steve\wingman\src\state\app | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\app | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\app"
"auth","3","C:\Users\steve\wingman\src\auth | C:\Users\steve\wingman\src\components\auth | C:\Users\steve\wingman\src\services\auth"
"branding","3","C:\Users\steve\wingman\src\assets\branding | C:\Users\steve\wingman\src\components\branding | C:\Users\steve\wingman\src\ui2\branding"
"catalog","4","C:\Users\steve\wingman\src\catalog | C:\Users\steve\wingman\src\components\catalog | C:\Users\steve\wingman\src\core\catalog | C:\Users\steve\wingman\src\features\catalog"
"competitor","4","C:\Users\steve\wingman\src\competitor | C:\Users\steve\wingman\src\components\competitor | C:\Users\steve\wingman\src\features\competitor | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components\competitor"
"components","6","C:\Users\steve\wingman\src\components | C:\Users\steve\wingman\src\app\components | C:\Users\steve\wingman\src\ui2\components | C:\Users\steve\wingman\src\_legacy\components | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112709\src\components | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\components"
"data","3","C:\Users\steve\wingman\data | C:\Users\steve\wingman\public\data | C:\Users\steve\wingman\src\data"
"export","2","C:\Users\steve\wingman\src\features\export | C:\Users\steve\wingman\src\services\export"
"features","2","C:\Users\steve\wingman\docs\features | C:\Users\steve\wingman\src\features"
"guru","3","C:\Users\steve\wingman\src\guru | C:\Users\steve\wingman\src\features\guru | C:\Users\steve\wingman\src\features\ai\guru"
"icons","2","C:\Users\steve\wingman\src\components\icons | C:\Users\steve\wingman\src\ui2\icons"
"import","5","C:\Users\steve\wingman\src\import | C:\Users\steve\wingman\src\app\import | C:\Users\steve\wingman\src\features\import | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\import | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\app\import"
"layout","3","C:\Users\steve\wingman\src\layout | C:\Users\steve\wingman\src\app\layout | C:\Users\steve\wingman\src\components\layout"
"locales","2","C:\Users\steve\wingman\src\locales | C:\Users\steve\wingman\src\hooks\locales"
"nav","3","C:\Users\steve\wingman\src\components\nav | C:\Users\steve\wingman\src\ui2\nav | C:\Users\steve\wingman\_ARCHIVE_CSS_UNIFY\CssEngineeringUnify_20260302_072527\src\ui2\nav"
"pages","4","C:\Users\steve\wingman\src\pages | C:\Users\steve\wingman\src\app\pages | C:\Users\steve\wingman\src\_legacy\pages | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages"
"pricing","2","C:\Users\steve\wingman\src\core\pricing | C:\Users\steve\wingman\src\features\pricing"
"proposal","2","C:\Users\steve\wingman\src\proposal | C:\Users\steve\wingman\src\components\proposal"
"proposals","2","C:\Users\steve\wingman\src\proposals | C:\Users\steve\wingman\src\features\proposals"
"public","2","C:\Users\steve\wingman\public | C:\Users\steve\wingman\src\pages\public"
"roomWizard","2","C:\Users\steve\wingman\src\components\roomWizard | C:\Users\steve\wingman\src\features\roomwizard"
"rules","2","C:\Users\steve\wingman\src\core\rules | C:\Users\steve\wingman\src\core\engineering\rules"
"schema","2","C:\Users\steve\wingman\src\app\schema | C:\Users\steve\wingman\src\core\engineering\schema"
"services","3","C:\Users\steve\wingman\src\services | C:\Users\steve\wingman\src\core\services | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112709\src\services"
"sku","3","C:\Users\steve\wingman\data\sku | C:\Users\steve\wingman\src\data\sku | C:\Users\steve\wingman\src\services\sku"
