"Hash","Count","FileName","Extension","Size","Paths"
"A52CC7E0BFF2699B42493035E04E645C434394C756ADF077A20D06CF8149DBBD","17","app_competitor-compare.png",".png","219506","audit\screenshots\app_competitor-compare.png | audit\screenshots\app_dashboard.png | audit\screenshots\app_design-copilot.png | audit\screenshots\app_import.png | audit\screenshots\app_projects__id.png | audit\screenshots\app_projects.png | audit\screenshots\app_room-editor.png | audit\screenshots\app_video-wall.png | audit\screenshots\app_wizard_customer-discovery.png | audit\screenshots\app_wizard_guided-project.png | audit\screenshots\app_workspace.png | audit\screenshots\app.png | audit\screenshots\dashboard.png | audit\screenshots\login.png | audit\screenshots\root.png | audit\screenshots\settings.png | audit\screenshots\tools.png"
"32BB4FDB83E2159A0EBF77050A759E563A7B2C60F2176B58C230D29DB8352FFE","12","AncillaryCostsForm.tsx",".tsx","36","src\components\financials\AncillaryCostsForm.tsx | src\components\financials\CostSummaryDisplay.tsx | src\components\planner\PlannerCanvas.tsx | src\components\roomWizard\StepDisplay.tsx | src\components\roomWizard\StepMultiMonitor.tsx | src\components\roomWizard\StepSources.tsx | src\components\roomWizard\VideoWallWizardModal.tsx | src\components\roomWizard\outputs\OutputConfigCard.tsx | src\components\roomWizard\videoWall\StepSummary.tsx | src\components\roomWizard\videoWall\StepTechnology.tsx | src\components\templateBrowser\DefaultThemeBrowser.tsx | src\data\themes.ts"
"FFFD152518A9CEBE307F25A835277D1C58E2188DC26E34EDE18AF9019F66B4D3","9","pages.txt",".txt","840","_AUDITS\Wingman_Audit_20260212_102703\pages.txt | _AUDITS\Wingman_Audit_20260212_102752\pages.txt | _AUDITS\Wingman_Audit_20260212_114620\pages.txt | _AUDITS\Wingman_Audit_20260212_114910\pages.txt | _AUDITS\Wingman_Audit_20260212_115003\pages.txt | _AUDITS\Wingman_Audit_20260212_115233\pages.txt | _AUDITS\Wingman_Audit_20260212_115504\pages.txt | _AUDITS\Wingman_Audit_20260212_115924\pages.txt | _AUDITS\Wingman_Audit_20260212_122405\pages.txt"
"7C3E9ED2B2E8BFF3C38BCD823ED4BBC73EE8E68C64B64CC123A2E5EEEC5E0098","9","env.txt",".txt","89","_AUDITS\Wingman_Audit_20260212_102703\env.txt | _AUDITS\Wingman_Audit_20260212_102752\env.txt | _AUDITS\Wingman_Audit_20260212_114620\env.txt | _AUDITS\Wingman_Audit_20260212_114910\env.txt | _AUDITS\Wingman_Audit_20260212_115003\env.txt | _AUDITS\Wingman_Audit_20260212_115233\env.txt | _AUDITS\Wingman_Audit_20260212_115504\env.txt | _AUDITS\Wingman_Audit_20260212_115924\env.txt | _AUDITS\Wingman_Audit_20260212_122405\env.txt"
"E5AA560475CE52D4976136B44516A02C599B21BFD5A7A09D84AFEDF0F30F2CDA","8","heroLogo.png",".png","286269","public\heroLogo.png | public\wyrestorm-wingman-logo.png | src\assets\hero-logo.png | src\assets\heroLogo.png | src\assets\wyrestorm-wingman-logo.png | src\assets\branding\hero-logo.png | src\assets\branding\heroLogo.png | src\assets\branding\wyrestorm-wingman-logo.png"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".env.example",".example","0",".env.example | src\app\shell\New Text Document.txt | src\context\New Text Document.txt | src\features\projects\New Text Document.txt | src\pages\New Text Document.txt | src\ui2\components\New Text Document.txt | tools\New Text Document.txt | _AUDITS\CSS_Audit_20260305_143646\stray-noncss.csv"
"AF843C9A71A8D1A17AAFCD12BD5B12123D979335D96FCECEFD56C5FFE6634042","7","routes.txt",".txt","46","_AUDITS\Wingman_Audit_20260212_114620\routes.txt | _AUDITS\Wingman_Audit_20260212_114910\routes.txt | _AUDITS\Wingman_Audit_20260212_115003\routes.txt | _AUDITS\Wingman_Audit_20260212_115233\routes.txt | _AUDITS\Wingman_Audit_20260212_115504\routes.txt | _AUDITS\Wingman_Audit_20260212_115924\routes.txt | _AUDITS\Wingman_Audit_20260212_122405\routes.txt"
"FF4854A4425EC4A4C10021AE9222D37ACC7C2704A2D95403435BBC1F958CD070","6","AppRoutes.tsx",".tsx","6139","_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx | _ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx | _ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx | _ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx | _ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx | _ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx"
"CFAE8E255B991A8E490C66D4F81AB0604A02A09D2ABA3BC51602DB86CEAF53FF","2","IMPLEMENTATION_SUMMARY.md",".md","10540","docs\architecture\legacy-implementation\IMPLEMENTATION_SUMMARY.md | docs\implementation\IMPLEMENTATION_SUMMARY.md"
"D725AA27103AC08D87493513424987D104AB84809B3ACD735ED813E1EED47167","2","PAGE_HEIGHT_FIX.md",".md","10660","docs\change-log\legacy-fixes\PAGE_HEIGHT_FIX.md | docs\fixes\PAGE_HEIGHT_FIX.md"
"AD1CA9011D62EAA00CE4093E8B8DED6FFFDBABDAFFFDD53BC9D7717F7402E994","2","QUICK_FIX_FOOTER.md",".md","5984","docs\change-log\legacy-fixes\QUICK_FIX_FOOTER.md | docs\fixes\QUICK_FIX_FOOTER.md"
"DFCB3EF0C041A7954CD549BE7427E88626C0BAFD14DE75306F7724C187B0673D","2","git.txt",".txt","148","_AUDITS\Wingman_Audit_20260212_102703\git.txt | _AUDITS\Wingman_Audit_20260212_102752\git.txt"
"8DB2BC39F1074504F4A74FE2191C5568C2A499C9C6A974242AEB51A59996A6E9","2","QUICK_WINS.md",".md","14426","docs\feature-specs\legacy-features\QUICK_WINS.md | docs\features\QUICK_WINS.md"
"7E0A2CE8091118A4EEB3A1A1F34ABE17AEDBD1E26ED6CEB0C1502D974B46A98D","2","INFRASTRUCTURE_HYBRID_GUIDE.md",".md","12246","docs\guides\INFRASTRUCTURE_HYBRID_GUIDE.md | docs\strategy\legacy-guides\INFRASTRUCTURE_HYBRID_GUIDE.md"
"7C8269B7E00CBA67D301BEED570A98779C5D5B73CD3A12B244A8AADD058A6A43","2","2026 Wyrestorm SKU (1).xlsx",".xlsx","19403","data\sku\2026 Wyrestorm SKU (1).xlsx | src\data\sku\2026 Wyrestorm SKU (1).xlsx"
"C809234F532B3A07CBD3B72D0FF2624560BDB6D3C9F238952253D7DC74AFEF14","2","ar.json",".json","357","src\hooks\locales\ar.json | src\locales\ar.json"
"B31BAFD905D9D6847B23B1E8FC4CF4AB1DC3BD0B5FE725D263D727A7087DAE65","2","af.json",".json","268","src\hooks\locales\af.json | src\locales\af.json"
"6FE43D9A8B8E745181BD22C14F6D0B5FE46A10DCFC1877B21B759844656BA251","2","da.json",".json","272","src\hooks\locales\da.json | src\locales\da.json"
"62F91C815C6CBDEC791F9B082E69FDA0384F6CF50F977B83D1EBA210D8C49FB3","2","RecentRouteTracker.tsx",".tsx","708","_TYPECHECK_FIX_BACKUP\20260212_112351\RecentRouteTracker.tsx | _TYPECHECK_FIX_BACKUP\20260212_112709\src\components\tools\RecentRouteTracker.tsx"
"5D8A15C4AAD6E8D16EEBB9DCC1B27B96238C2C7DF62A4446472C43C5E6D1B88D","2","routes.txt",".txt","414","_AUDITS\Wingman_Audit_20260212_102703\routes.txt | _AUDITS\Wingman_Audit_20260212_102752\routes.txt"
"5C0C00CBDC5FC7F57245A5E168E0C5477A11C4BC12E0C777D1A11498A05C2215","2","ru.json",".json","456","src\hooks\locales\ru.json | src\locales\ru.json"
"5AB7CF0A0EFF1E0AB9991C3757C1ABD6F37ACEA45290132F5FDD464266D20F13","2","nl.json",".json","276","src\hooks\locales\nl.json | src\locales\nl.json"
"5168FBF73D34F379885E3FA85E4CE41BC8E3909B86A7C412630DDD0D87F40C60","2","it.json",".json","287","src\hooks\locales\it.json | src\locales\it.json"
"505A7326D0A5F50B899765924575CDFA0EA1BCEF8AEE83AE8F23C7E10E87EAAD","2","CABLE_ROUTING_GUIDE.md",".md","21627","docs\guides\CABLE_ROUTING_GUIDE.md | docs\strategy\legacy-guides\CABLE_ROUTING_GUIDE.md"
"5053FA07EBA442238A4981651C02B3AAE0DC44EDBC6A3CF9216B7FB429CAFE74","2","es.json",".json","286","src\hooks\locales\es.json | src\locales\es.json"
"45AE33736B97B2B4AE9EAF2638755CF00647FCD8D8CF0D2C88969D949FF4A393","2","HIGH_IMPACT_FEATURES.md",".md","22394","docs\feature-specs\legacy-features\HIGH_IMPACT_FEATURES.md | docs\features\HIGH_IMPACT_FEATURES.md"
"3C69E1FBB423A216D0392F11DF72CD61E873A1286306A021DB850D26998EA1F8","2","zh-CN.json",".json","250","src\hooks\locales\zh-CN.json | src\locales\zh-CN.json"
"32AAA42356DECC5148298E39F586516519A942292D11070BC25FEF02C9AE9858","2","wingman.completion-checklist.json",".json","27376","public\data\wingman.completion-checklist.json | src\data\wingman.completion-checklist.json"
"17531E011C13D63AC96895ADC467375C27912F29099A66C14ED9CD8B1D23779E","2","README_NEW_FEATURES.md",".md","15056","docs\feature-specs\legacy-features\README_NEW_FEATURES.md | docs\features\README_NEW_FEATURES.md"
"0F9C50CF8ACCA1FED185BDCA18774D412C873AB72B4FA300071FD7B45413CEBF","2","son","","2138","_TYPECHECK_FIX_BACKUP\20260212_112351\son | _TYPECHECK_FIX_BACKUP\20260212_112709\tsconfig.typecheck.json"
"0EB48BB00BEB3F5D14D5A5021CABEA7BD1EC332B831EEEBC57BCF3D8D48AC4F4","2","INTEGRATION_GUIDE.md",".md","9143","docs\guides\INTEGRATION_GUIDE.md | docs\strategy\legacy-guides\INTEGRATION_GUIDE.md"
"06462AAF05E097A96315709409C692891FC5CE8E0D450455904A9F17420C07EF","2","en-US.json",".json","3052","src\hooks\locales\en-US.json | src\locales\en-US.json"
"71612A37CD8E48B8D09938287BF57F34B47B893BB803A63F42869EAAAAC79FF4","2","fr.json",".json","294","src\hooks\locales\fr.json | src\locales\fr.json"
"024F4E5396E244B25602655D43DFC4A3C45194213884E25B860F4D30EABDA0AD","2","torComparisonService.ts",".ts","103","_TYPECHECK_FIX_BACKUP\20260212_112351\torComparisonService.ts | _TYPECHECK_FIX_BACKUP\20260212_112709\src\services\competitorComparisonService.ts"
