"FullName","Length","LastWriteTime"
"C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_124527\src\pages\WelcomeScreen.tsx","1401","03/03/2026 15:18:41"
"C:\Users\steve\wingman\audit\screenshots\app_dashboard.png","219506","03/03/2026 15:18:41"
"C:\Users\steve\wingman\audit\screenshots\dashboard.png","219506","03/03/2026 15:18:41"
"C:\Users\steve\wingman\audit\screenshots\login.png","219506","03/03/2026 15:18:41"
"C:\Users\steve\wingman\public\data\catalog.json","332","16/02/2026 21:23:40"
"C:\Users\steve\wingman\public\data\pricing-gbp-q1-2026.json","330","16/02/2026 21:23:40"
"C:\Users\steve\wingman\public\data\wingman.completion-checklist.json","27376","03/03/2026 16:33:03"
"C:\Users\steve\wingman\public\heroLogo.png","286269","11/02/2026 00:00:10"
"C:\Users\steve\wingman\public\wyrestorm-wingman-logo.png","286269","11/02/2026 00:00:10"
"C:\Users\steve\wingman\src\app\pages\_BACKUP\PublicAboutPage.tsx.bak_20260226_172703","1393","26/02/2026 17:11:02"
"C:\Users\steve\wingman\src\app\shell\PublicShell.legacy.tsx","575","05/03/2026 21:02:11"
"C:\Users\steve\wingman\src\app\shell\PublicShell.tsx","4898","05/03/2026 21:02:11"
"C:\Users\steve\wingman\src\components\AnalyticsDashboard.tsx","450","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\auth\LoginForm.tsx","922","05/03/2026 21:02:11"
"C:\Users\steve\wingman\src\components\LoginModal.tsx","3649","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\welcome\ActionButton.tsx","1021","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\welcome\ActionButtons.tsx","805","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\welcome\DefaultWelcome.tsx","2096","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\welcome\RecentProjectCard.tsx","1920","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\welcome\RecentProjects.tsx","1080","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\components\welcome\WelcomeHeader.tsx","602","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\features\dashboard\DashboardPage.tsx","17272","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\features\dashboard\SalesActionStrip.tsx","5966","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\features\misc\WelcomeScreen.tsx","2705","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\layout\PublicShell.tsx","5069","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\Landing.tsx","128","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\LoginPage.tsx","286","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\public\PublicAboutPage.tsx","14300","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\public\PublicLandingPage.tsx","15579","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\PublicLandingPage.tsx","1771","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\SignupPage.tsx","720","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\pages\WelcomeScreen.tsx","2060","05/03/2026 21:02:12"
"C:\Users\steve\wingman\src\styles\wm-dashboard.css","339","05/03/2026 21:02:12"
