"Term","Path","LineNumber","Line"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""@/pages/PublicLandingPage""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx","45","<Route path=""/"" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""@/pages/PublicLandingPage""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx","46","<Route path=""/"" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx","54","<Route path=""""/"""" element={<PublicLandingPage />} />"
"PublicLandingPage","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx","7","const PublicLandingPage = lazy(() => import(""""@/pages/PublicLandingPage""""));"
