"FileName","Count","Paths"
"_REFACTOR_REPORT.txt","8","C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114522\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114610\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114901\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_114955\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_115138\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_115225\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_SCRIPT_REFACTOR_BACKUP\20260212_115455\_REFACTOR_REPORT.txt | C:\Users\steve\wingman\_TYPECHECK_FIX_BACKUP\20260212_112709\_REFACTOR_REPORT.txt"
"_ROUTING_STABILISE_REPORT.txt","8","C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\_ROUTING_STABILISE_REPORT.txt | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\_ROUTING_STABILISE_REPORT.txt"
"2026 Wyrestorm SKU (1).xlsx","2","C:\Users\steve\wingman\data\sku\2026 Wyrestorm SKU (1).xlsx | C:\Users\steve\wingman\src\data\sku\2026 Wyrestorm SKU (1).xlsx"
"af.json","2","C:\Users\steve\wingman\src\hooks\locales\af.json | C:\Users\steve\wingman\src\locales\af.json"
"AncillaryCostsForm.tsx","2","C:\Users\steve\wingman\src\components\AncillaryCostsForm.tsx | C:\Users\steve\wingman\src\components\financials\AncillaryCostsForm.tsx"
"AppLayout.tsx","2","C:\Users\steve\wingman\src\app\layout\AppLayout.tsx | C:\Users\steve\wingman\src\components\layout\AppLayout.tsx"
"AppRoutes.tsx","10","C:\Users\steve\wingman\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_110915\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114611\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114902\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_114955\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115225\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115456\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_115917\src\AppRoutes.tsx | C:\Users\steve\wingman\_ROUTING_BACKUP\20260212_122356\src\AppRoutes.tsx | C:\Users\steve\wingman\_STABILISE_BACKUP\20260213_095858\src\AppRoutes.tsx"
"AppShell.tsx","2","C:\Users\steve\wingman\src\app\shell\AppShell.tsx | C:\Users\steve\wingman\src\layout\AppShell.tsx"
"ar.json","2","C:\Users\steve\wingman\src\hooks\locales\ar.json | C:\Users\steve\wingman\src\locales\ar.json"
"AuthContext.tsx","2","C:\Users\steve\wingman\src\auth\AuthContext.tsx | C:\Users\steve\wingman\src\context\AuthContext.tsx"
