"File","Pattern","LineNumber","Line"
"src\AppRoutes.tsx","PublicLandingPage","8","const PublicLandingPage = React.lazy(() => import(""@/pages/PublicLandingPage""));"
"src\AppRoutes.tsx","PublicLandingPage","58","<Route path=""/"" element={<PublicLandingPage />} />"
"src\AppRoutes.tsx","Landing","8","const PublicLandingPage = React.lazy(() => import(""@/pages/PublicLandingPage""));"
"src\AppRoutes.tsx","Landing","58","<Route path=""/"" element={<PublicLandingPage />} />"
"src\AppRoutes.tsx","DashboardPage","13","const DashboardPage = React.lazy(() => import(""@/features/dashboard/DashboardPage""));"
"src\AppRoutes.tsx","DashboardPage","67","<Route path=""dashboard"" element={<DashboardPage />} />"
"src\AppRoutes.tsx","ProjectsPage","14","const ProjectsPage = React.lazy(() => import(""@/features/projects/ProjectsPage""));"
"src\AppRoutes.tsx","ProjectsPage","70","<Route path=""projects"" element={<ProjectsPage />} />"
"src\AppRoutes.tsx","ToolHubPage","15","const ToolHubPage = React.lazy(() => import(""@/features/tools/ToolHubPage""));"
"src\AppRoutes.tsx","ToolHubPage","74","<Route path=""tools"" element={<ToolHubPage />} />"
"src\AppRoutes.tsx","RoomWizardPage","22","const RoomWizardPage = React.lazy(() => import(""@/features/roomwizard/RoomWizardPage""));"
"src\AppRoutes.tsx","RoomWizardPage","82","<Route path=""tools/room-wizard"" element={<RoomWizardPage />} />"
"src\AppRoutes.tsx","ProposalBuilderPage","23","const ProposalBuilderPage = React.lazy(() => import(""@/features/proposals/ProposalBuilderPage""));"
"src\AppRoutes.tsx","ProposalBuilderPage","77","<Route path=""tools/proposal"" element={<ProposalBuilderPage />} />"
"src\AppRoutes.tsx","ProposalBuilderPage","83","<Route path=""tools/proposal-builder"" element={<ProposalBuilderPage />} />"
"src\AppRoutes.tsx","CompetitorComparePage","21","const CompetitorComparePage = React.lazy(() => import(""@/features/compare/CompetitorComparePage""));"
"src\AppRoutes.tsx","CompetitorComparePage","81","<Route path=""tools/compare"" element={<CompetitorComparePage />} />"
"src\AppRoutes.tsx","ImportIntakePage","24","const ImportIntakePage = React.lazy(() => import(""@/features/import/ImportIntakePage""));"
"src\AppRoutes.tsx","ImportIntakePage","76","<Route path=""tools/import"" element={<ImportIntakePage />} />"
"src\AppRoutes.tsx","ImportIntakePage","84","<Route path=""tools/import-intake"" element={<ImportIntakePage />} />"
"src\AppRoutes.tsx","AppShell","5","import AppShell from ""@/app/shell/AppShell"";"
"src\AppRoutes.tsx","AppShell","63","<Route path=""/app"" element={<AppShell />}>"
