"File","Name","InRoutes","ReferencedSomewhere","LikelyStatus"
"src\app\pages\CompletionChecklistPage.tsx","CompletionChecklistPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\ai\guru\GuruMount.tsx","GuruMount.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\ai\guru\GuruWidget.tsx","GuruWidget.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\dashboard\SalesActionStrip.tsx","SalesActionStrip.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\guru\GuruPage.tsx","GuruPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\misc\ProfilePage.tsx","ProfilePage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\projects\ProjectNewPage.tsx","ProjectNewPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\proposals\ProposalHandoffPanel.tsx","ProposalHandoffPanel.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\AgentInputForm.tsx","AgentInputForm.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\AnalyticsPage.tsx","AnalyticsPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\CompetitorComparisonPage.tsx","CompetitorComparisonPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\DesignCoPilot.tsx","DesignCoPilot.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\ProjectSetupScreen.tsx","ProjectSetupScreen.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\public\PublicAboutPage.tsx","PublicAboutPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\RoomEditorEntry.tsx","RoomEditorEntry.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\SurveyImportPage.tsx","SurveyImportPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\TemplateBrowserScreen.tsx","TemplateBrowserScreen.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\WorkspaceHomePage.tsx","WorkspaceHomePage.tsx","False","False","ORPHAN (no obvious refs)"
