"File","Name","InRoutes","ReferencedSomewhere","LikelyStatus"
"src\_legacy\pages\QuickQuestionPage.tsx","QuickQuestionPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\catalog\CatalogPage.tsx","CatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\compare\CompetitorComparePage.tsx","CompetitorComparePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\discovery\AdvancedSignalPathPanel.tsx","AdvancedSignalPathPanel.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\discovery\DiscoveryWizardPage.tsx","DiscoveryWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\import\ImportIntakePage.tsx","ImportIntakePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\ProductCatalogPage.tsx","ProductCatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\TrainingHubPage.tsx","TrainingHubPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\VideoWallPlannerPage.tsx","VideoWallPlannerPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\WelcomeScreen.tsx","WelcomeScreen.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\proposals\ProposalBuilderPage.tsx","ProposalBuilderPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\roomwizard\RoomWizardPage.tsx","RoomWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\CompetitorComparePage.tsx","CompetitorComparePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\ProductCatalogPage.tsx","ProductCatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\ProposalBuilderPage.tsx","ProposalBuilderPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\RoomWizardPage.tsx","RoomWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\TrainingHubPage.tsx","TrainingHubPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\VideoWallPlannerPage.tsx","VideoWallPlannerPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ComparisonPage.tsx","ComparisonPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\GuidedProjectWizard.tsx","GuidedProjectWizard.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ImportIntakePage.tsx","ImportIntakePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ProjectOverviewPage.tsx","ProjectOverviewPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ProposalDisplay.tsx","ProposalDisplay.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\public\PublicShell.tsx","PublicShell.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\QuickQuestionPage.tsx","QuickQuestionPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\CompetitorComparePage.tsx","CompetitorComparePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\ProductCatalogPage.tsx","ProductCatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\ProposalBuilderPage.tsx","ProposalBuilderPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\RoomWizardPage.tsx","RoomWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\TrainingHubPage.tsx","TrainingHubPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\VideoWallPlannerPage.tsx","VideoWallPlannerPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\TrainingPage.tsx","TrainingPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\VideoGeneratorPage.tsx","VideoGeneratorPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\VideoWallPage.tsx","VideoWallPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\WelcomeScreen.tsx","WelcomeScreen.tsx","False","True","UNWIRED (used, but not routed)"
