"File","Name","InRoutes","ReferencedSomewhere","LikelyStatus"
"src\app\system\NotFoundPage.tsx","NotFoundPage.tsx","True","True","OK (wired)"
"src\features\dashboard\DashboardPage.tsx","DashboardPage.tsx","True","True","OK (wired)"
"src\features\export\ExportSnapshotPage.tsx","ExportSnapshotPage.tsx","True","True","OK (wired)"
"src\features\misc\TemplatesPage.tsx","TemplatesPage.tsx","True","True","OK (wired)"
"src\features\misc\TemplatesRoute.tsx","TemplatesRoute.tsx","True","False","OK (wired)"
"src\features\projects\ProjectsPage.tsx","ProjectsPage.tsx","True","True","OK (wired)"
"src\features\tools\TemplatesPage.tsx","TemplatesPage.tsx","True","True","OK (wired)"
"src\features\tools\ToolHubPage.tsx","ToolHubPage.tsx","True","True","OK (wired)"
"src\pages\Landing.tsx","Landing.tsx","True","True","OK (wired)"
"src\pages\LoginPage.tsx","LoginPage.tsx","True","True","OK (wired)"
"src\pages\NotFoundPage.tsx","NotFoundPage.tsx","True","True","OK (wired)"
"src\pages\ProjectsPage.tsx","ProjectsPage.tsx","True","True","OK (wired)"
"src\pages\public\PublicLandingPage.tsx","PublicLandingPage.tsx","True","True","OK (wired)"
"src\pages\PublicLandingPage.tsx","PublicLandingPage.tsx","True","True","OK (wired)"
"src\pages\SignupPage.tsx","SignupPage.tsx","True","True","OK (wired)"
"src\pages\ToolHubPage.tsx","ToolHubPage.tsx","True","True","OK (wired)"
"src\app\pages\CompletionChecklistPage.tsx","CompletionChecklistPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\ai\guru\GuruMount.tsx","GuruMount.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\ai\guru\GuruWidget.tsx","GuruWidget.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\dashboard\SalesActionStrip.tsx","SalesActionStrip.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\guru\GuruPage.tsx","GuruPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\misc\ProfilePage.tsx","ProfilePage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\projects\ProjectNewPage.tsx","ProjectNewPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\features\proposals\ProposalHandoffPanel.tsx","ProposalHandoffPanel.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\AgentInputForm.tsx","AgentInputForm.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\AnalyticsPage.tsx","AnalyticsPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\CompetitorComparisonPage.tsx","CompetitorComparisonPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\DesignCoPilot.tsx","DesignCoPilot.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\ProjectSetupScreen.tsx","ProjectSetupScreen.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\public\PublicAboutPage.tsx","PublicAboutPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\RoomEditorEntry.tsx","RoomEditorEntry.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\SurveyImportPage.tsx","SurveyImportPage.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\TemplateBrowserScreen.tsx","TemplateBrowserScreen.tsx","False","False","ORPHAN (no obvious refs)"
"src\pages\WorkspaceHomePage.tsx","WorkspaceHomePage.tsx","False","False","ORPHAN (no obvious refs)"
"src\_legacy\pages\QuickQuestionPage.tsx","QuickQuestionPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\catalog\CatalogPage.tsx","CatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\compare\CompetitorComparePage.tsx","CompetitorComparePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\discovery\AdvancedSignalPathPanel.tsx","AdvancedSignalPathPanel.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\discovery\DiscoveryWizardPage.tsx","DiscoveryWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\import\ImportIntakePage.tsx","ImportIntakePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\ProductCatalogPage.tsx","ProductCatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\TrainingHubPage.tsx","TrainingHubPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\VideoWallPlannerPage.tsx","VideoWallPlannerPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\misc\WelcomeScreen.tsx","WelcomeScreen.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\proposals\ProposalBuilderPage.tsx","ProposalBuilderPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\roomwizard\RoomWizardPage.tsx","RoomWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\CompetitorComparePage.tsx","CompetitorComparePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\ProductCatalogPage.tsx","ProductCatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\ProposalBuilderPage.tsx","ProposalBuilderPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\RoomWizardPage.tsx","RoomWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\TrainingHubPage.tsx","TrainingHubPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\features\tools\VideoWallPlannerPage.tsx","VideoWallPlannerPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ComparisonPage.tsx","ComparisonPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\GuidedProjectWizard.tsx","GuidedProjectWizard.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ImportIntakePage.tsx","ImportIntakePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ProjectOverviewPage.tsx","ProjectOverviewPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\ProposalDisplay.tsx","ProposalDisplay.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\public\PublicShell.tsx","PublicShell.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\QuickQuestionPage.tsx","QuickQuestionPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\CompetitorComparePage.tsx","CompetitorComparePage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\ProductCatalogPage.tsx","ProductCatalogPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\ProposalBuilderPage.tsx","ProposalBuilderPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\RoomWizardPage.tsx","RoomWizardPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\TrainingHubPage.tsx","TrainingHubPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\tools\VideoWallPlannerPage.tsx","VideoWallPlannerPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\TrainingPage.tsx","TrainingPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\VideoGeneratorPage.tsx","VideoGeneratorPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\VideoWallPage.tsx","VideoWallPage.tsx","False","True","UNWIRED (used, but not routed)"
"src\pages\WelcomeScreen.tsx","WelcomeScreen.tsx","False","True","UNWIRED (used, but not routed)"
