"sku","family","workbookDescription","duplicateCount","sourceUrl","pageStatus","productName","pageTitle","summary","fetchError"
"4K HDBASET MATRIX KITS","Unclassified","","1","https://www.wyrestorm.com/product/4k hdbaset matrix kits/",,"4K HDBASET MATRIX KITS","","","The request was aborted: The connection was closed unexpectedly."
"4K60 HDBASET MATRIX SWITCHERS+RECEIVERS","Unclassified","","1","https://www.wyrestorm.com/product/4k60 hdbaset matrix switchers+receivers/",,"4K60 HDBASET MATRIX SWITCHERS+RECEIVERS","","","The request was aborted: The connection was closed unexpectedly."
"4K60 HDMI MATRIX SWITCHERS","Unclassified","","1","https://www.wyrestorm.com/product/4k60 hdmi matrix switchers/",,"4K60 HDMI MATRIX SWITCHERS","","","The request was aborted: The connection was closed unexpectedly."
"4K60 SEAMLESS MATRIX SWITCHERS","Unclassified","","1","https://www.wyrestorm.com/product/4k60 seamless matrix switchers/",,"4K60 SEAMLESS MATRIX SWITCHERS","","","The request was aborted: The connection was closed unexpectedly."
"4K60/8K60HZ HDMI SPLITTERS","Unclassified","","1","https://www.wyrestorm.com/product/4k60/8k60hz hdmi splitters/",,"4K60/8K60HZ HDMI SPLITTERS","","","The request was aborted: The connection was closed unexpectedly."
"4K60/8K60HZ HDMI SWITCHERS","Unclassified","","1","https://www.wyrestorm.com/product/4k60/8k60hz hdmi switchers/",,"4K60/8K60HZ HDMI SWITCHERS","","","The request was aborted: The connection was closed unexpectedly."
"AMP-260-DNT","Unclassified","120W Network Amplifier | 2 x 60w or 4 x 25w Channel Output @ 4ohm | Dual Power Options | Advanced DSP with Dante Integration","1","https://www.wyrestorm.com/product/amp-260-dnt/","200","UC BUILDER","Advanced 2 or 4 Channel Dante Amplifier - WyreStorm","The AMP-260-DNT is a cutting-edge two or four channel network amplifier designed to cater to the advanced audiovisual needs of professional environments such as medium to large meeting rooms and university lecture halls. This robust amplifier integrates both local line-level and Dante audio inputs, ensuring flexible connectivity and superior audio distribution tailored to the acoustics of the space. With its dual power supply capability, sophisticated DSP for custom audio shaping, and intelligent IO detection for seamless paging integration, the AMP-260-DNT stands as an indispensable tool in professional AV setups.",
"APO-210-UC","Apollo","Apollo 4K30 Video-speakerphone switcher | 4K30Hz 4:4:4 | USB-C & HDMI input  | USB-C 60w PD | HDMI Out & HDBaseT Out  | 10W Speaker | Omni-Direction 4xMics | Multiview | Airplay & Miracast & APO-DG1 dongle","1","https://www.wyrestorm.com/product/apo-210-uc/","200","UC BUILDER","Conference Speakerphone for Clear Audio - Wyrestom","Conference speakerphone with crystal-clear sound for meetings. Explore wireless, USB, and Bluetooth options to upgrade your conference calls today.",
"APO-COM-MIC","Apollo","Apollo companion mic | MINI USB connection | Mounting on table","1","https://www.wyrestorm.com/product/apo-com-mic/","200","UC BUILDER","Add-On Microphone for Apollo Video Bar - WyreStorm","Add-On microphone for use with the Apollo VX20 video bar. Connect this mic to expand the pickup range in your meeting spaces. Connects to the VX20 via an included USB cable. The APO-COM-MIC can be cascaded up to 3 times. For longer extension requirements the APO-MIC-EXT ethernet extender can be used.",
"APO-DG2","Apollo","Apollo  4K USB-C(DP Atl mode) dongle for wireless casting and wireless conferencing( with APP)","1","https://www.wyrestorm.com/product/apo-dg2/","200","UC BUILDER","Apollo USB-C Wireless Casting Dongle - WyreStorm","The APO-DG2 is a USB-C 4K30 casting dongle compatible with a number of WyreStorm solutions including the SW-640L-TX-W presentation switcher. The DG2 uses a single USB-C connection to power the dongle and transmit video. Tap the casting button to start sharing content, press it again to stop sharing. Getting connected couldn’t be easier!",
"APO-DG-DOCK","Apollo","Docking station for APO-DG1, APO-DG2, APO-DG2-PRO & APO-DG-HDMI","1","https://www.wyrestorm.com/product/apo-dg-dock/","200","UC BUILDER","Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm","The Docking Cradle securely stores the APO-DG2 wireless casting dongle and APO-DG-HDMI adapter together, preventing loss or misplacement. Featuring durable, sturdy construction with a sleek, professional finish, it organizes essential components while complementing and enhancing any modern workspace.",
"APO-DG-HDMI","Apollo","HDMI – USB C Adapter for the APO-DG2","2","https://www.wyrestorm.com/product/apo-dg-hdmi/","200","UC BUILDER","HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm","The APO-DG-HDMI expands your connectivity options by enabling the HDMI output of your laptop to work seamlessly with our USB-C Casting Dongles (APO-DG1 and APO-DG2). This enhancement allows for greater device compatibility across both the Synergy and Apollo product lines. Supporting DisplayPort Alt Mode 1.2 and featuring a USB-A port, the APO-DG-HDMI facilitates the transmission of up to 4K resolution at 60Hz, as well as USB 2.0 data, to compatible devices.",
