sku,product_name,family,product_type,role,lifecycle_status,do_not_spec,successor,inputs,outputs,transport_type,resolution_bandwidth,usb,audio,control,network_requirement,dependencies,compatible_families,application_fit,disqualifiers,quote_warnings,evidence_source,last_reviewed,reviewer
AMP-2120,Advanced 2 or 4 Channel Amplifier,Audio,Advanced 2 or 4 Channel Amplifier,primary-hardware,review,false,,,,Audio,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
AMP-2120-DNT,Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm,Audio,Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm,primary-hardware,review,false,,,,Audio,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
AMP-260-DNT,Advanced 2 or 4 Channel Dante Amplifier - WyreStorm,Audio,Advanced 2 or 4 Channel Dante Amplifier - WyreStorm,primary-hardware,review,false,,,,Audio,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-100-UC,Apollo Series Conference Speakerphone - WyreStorm,Presentation / UC,Apollo Series Conference Speakerphone - WyreStorm,primary-hardware,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-200-UC,Apollo Series Conference Speakerphone & Switcher - WyreStorm,Presentation / UC,Apollo Series Conference Speakerphone & Switcher - WyreStorm,primary-hardware,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-210-UC,Apollo TM Video-speakerphone switcher,UC / conferencing,Apollo TM Video-speakerphone switcher,primary-hardware,review,false,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-COM-MIC,Add-On Microphone for Apollo Video Bar - WyreStorm,Presentation / UC,Add-On Microphone for Apollo Video Bar - WyreStorm,accessory,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG-DOCK,Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm,Presentation / UC,Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm,workflow-endpoint,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG-HDMI,HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm,Presentation / UC,HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm,workflow-endpoint,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG1,Apollo TM 1080p USB-C(DP Atl mode) dongle for wireless casting,UC / conferencing,Apollo TM 1080p USB-C(DP Atl mode) dongle for wireless casting,workflow-endpoint,review,false,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG2,Apollo USB-C Wireless Casting Dongle - WyreStorm,Presentation / UC,Apollo USB-C Wireless Casting Dongle - WyreStorm,workflow-endpoint,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG2-PRO,Apollo USB-C Wireless Casting Dongle - WyreStorm,Presentation / UC,Apollo USB-C Wireless Casting Dongle - WyreStorm,workflow-endpoint,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-MIC-EXT,USB Extender for Apollo Add-On Mic - WyreStorm,Presentation / UC,USB Extender for Apollo Add-On Mic - WyreStorm,accessory,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-SKY-MIC,Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm,Presentation / UC,Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm,accessory,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-VX20-MNT,Display Mount for Apollo VX20 Video Bars - WyreStorm,Presentation / UC,Display Mount for Apollo VX20 Video Bars - WyreStorm,accessory,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-VX20-UC,Apollo TM Video Bar & Switcher,UC / conferencing,Apollo TM Video Bar & Switcher,primary-hardware,review,false,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-VX20-UC-V2,Video Bar for Conference Rooms: Advanced Meeting Solution,Presentation / UC,Video Bar for Conference Rooms: Advanced Meeting Solution,primary-hardware,review,false,,,,Presentation / UC,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-DAOC-10-C,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm",Cables,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm",cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-DAOC-10-P,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm",Cables,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm",cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-10,10m/32ft HDMI 2.0 AOC,Cable / accessory,10m/32ft HDMI 2.0 AOC,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-15,15m/49ft HDMI 2.0 AOC,Cable / accessory,15m/49ft HDMI 2.0 AOC,cable,review,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-15-C,Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm,Cables,Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm,cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-15-P,24Gbps 4-core Active Optical HDMI Cable | WyreStorm,Cables,24Gbps 4-core Active Optical HDMI Cable | WyreStorm,cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
CAB-HAOC-2,"24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",Cables,"24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",cable,review,false,,,,Cables,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
