sku,lifecycle_status,do_not_spec,successor,reason,evidence_source,last_reviewed,reviewer
AMP-2120,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
AMP-2120-DNT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
AMP-260-DNT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-100-UC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-200-UC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-210-UC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-COM-MIC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG-DOCK,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG-HDMI,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG1,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG2,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-DG2-PRO,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-MIC-EXT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-SKY-MIC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-VX20-MNT,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
APO-VX20-UC,review,false,,Generated starter lifecycle row; confirm lifecycle before promotion.,Existing Wingman product intelligence index,2026-06-28,Wingman import scaffold
