manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
AMX,DGX1600-ENC,DGX1600-ENC,,MATRIX,,Matrix,approved,curated-fingerprint,,16,16,4K60 4:4:4,4:4:4,MATRIX,,,"[{""type"": ""Modular I/O (HDMI/DVI/DXLink)"", ""count"": 16}]","[{""type"": ""Modular I/O (HDMI/DVI/DXLink)"", ""count"": 16}]","[""TCP/IP"", ""RS-232"", ""802.1X"", ""Web UI""]","[""Embedded Audio"", ""De-Embedded Audio""]","[""Modular Enova DGX matrix enclosure (4 video input + 4 video output board slots, 4 connections per board, max 16x16)"", ""InstaGate Pro HDCP management"", ""SmartScale automatic output scaling"", ""4K60 4:4:4 / UHD ready"", ""HDCP over fiber up to 10km (single mode) / 300m (multimode)"", ""AV + control + power over twisted pair up to 100m via DXLink"", ""Integrated NetLinx NX controller with embedded Ethernet switch"", ""Dual NIC network isolation, 802.1X, LDAP security"", ""Automatic DXLink endpoint setup"", ""Audio breakaway via optional Audio Switching Boards"", ""Hot-swappable I/O boards"", ""Redundant power supplies""]","{""matrix"": {""maxInputs"": 16, ""maxOutputs"": 16, ""connectionsPerBoard"": 4, ""inputBoardSlots"": 4, ""outputBoardSlots"": 4}, ""fiber"": {""singleModeKm"": 10, ""multimodeMeters"": 300}, ""twistedPair"": {""maxMeters"": 100}, ""rackUnits"": 4, ""weightLbs"": 55}","AMX Enova DGX1600-ENC is a modular 16x16 max digital media matrix switcher enclosure with an integrated NetLinx NX controller, supporting 4K60 4:4:4/UHD, InstaGate Pro HDCP management, SmartScale auto-scaling, and DXLink twisted-pair/fiber distribution up to 100m (copper) or 10km (fiber).",,Large-scale digital matrix switcher,MX-1616-SCL (16x16 seamless scaling matrix),medium,https://www.amx.com/en-US/site_elements/data-sheet-dgx1600-enc,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""dgx1600enc"",""dgx1600""]",,,,,,,,,,,
AMX,DGX6400-ENC,DGX6400-ENC,,MATRIX,,Matrix,approved,curated-fingerprint,,64,64,4K60 4:4:4,4:4:4,MATRIX,,,"[{""type"": ""Modular I/O (HDMI/DVI/DXLink)"", ""count"": 64}]","[{""type"": ""Modular I/O (HDMI/DVI/DXLink)"", ""count"": 64}]","[""TCP/IP"", ""RS-232"", ""802.1X"", ""Web UI""]","[""Embedded Audio"", ""De-Embedded Audio""]","[""Modular Enova DGX matrix enclosure (16 video input + 16 video output board slots, 4 connections per board, max 64x64)"", ""InstaGate Pro HDCP management"", ""SmartScale automatic output scaling"", ""4K60 4:4:4 / UHD ready"", ""HDCP over fiber up to 10km (single mode) / 300m (multimode)"", ""AV + control + power over twisted pair up to 100m via DXLink"", ""Integrated NetLinx NX controller with embedded 64-port Ethernet switch"", ""Dual NIC network isolation, 802.1X, LDAP security"", ""Automatic DXLink endpoint setup"", ""Audio breakaway via Audio Switching Boards"", ""Hot-swappable I/O boards"", ""Fully redundant power supplies"", ""26 Gbps high-speed digital switching"", ""3D and Deep Color pass-through""]","{""matrix"": {""maxInputs"": 64, ""maxOutputs"": 64, ""connectionsPerBoard"": 4, ""inputBoardSlots"": 16, ""outputBoardSlots"": 16}, ""fiber"": {""singleModeKm"": 10, ""multimodeMeters"": 300}, ""twistedPair"": {""maxMeters"": 100}, ""rackUnits"": 13, ""weightLbs"": 150, ""dataRateGbps"": 26, ""memory"": {""sdramMB"": 512, ""flashGB"": 8}}","AMX Enova DGX6400-ENC is a modular 64x64 max digital media matrix switcher enclosure with an integrated NetLinx NX controller, 26Gbps switching, 4K60 4:4:4/UHD support, InstaGate Pro HDCP management, SmartScale auto-scaling, and DXLink twisted-pair/fiber distribution up to 100m (copper) or 10km (fiber).",,Large-scale digital matrix switcher,MX-1616-SCL (16x16 seamless scaling matrix),medium,https://www.amx.com/en-US/product_documents/dgx-6400-enc-datasheet-pdf,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""dgx6400enc"",""dgx6400""]",,,,,,,,,,,
AMX,DVX-2265-4K,DVX-2265-4K,,PRESENTATION,,presentation switcher,approved,curated-fingerprint,,6,2,4K60 4:4:4,4:4:4,PRESENTATION,,,"[{""type"": ""HDMI"", ""count"": 4}, {""type"": ""DXLink"", ""count"": 2}]","[{""type"": ""HDMI"", ""count"": 2}, {""type"": ""DXLink"", ""count"": 1}]","[""TCP/IP"", ""RS-232"", ""IR"", ""Relay"", ""GPIO"", ""Web UI"", ""Telnet""]","[""Embedded Audio"", ""De-Embedded Audio"", ""Dante"", ""AES67"", ""Analog Audio""]","[""6x2+1 4K60 4:4:4 all-in-one presentation switcher"", ""HDMI 2.0, HDCP 2.2, HDR10, 36-bit Deep Color"", ""Dante Audio 8x8 IP audio channels"", ""Crown DriveCore 120W/ch amplifier (stereo 4/8 ohm or 70/100V mono)"", ""BSS DSP with 10-band parametric EQ"", ""dbx AFS2 feedback suppression"", ""DXLink twisted-pair extension up to 100m (video/audio/USB2.0/Ethernet/control)"", ""USB 2.0 routing"", ""Audio breakaway / de-embedding"", ""SmartScale automatic output scaling"", ""802.1X, LDAP, dual NIC network security"", ""HTML5 web interface""]","{""video"": {""maxResolution"": ""4K60 4:4:4"", ""hdmiVersion"": ""HDMI 2.0"", ""hdcp"": ""2.2"", ""dataRateGbps"": 18}, ""amplifier"": {""powerWattsPerChannel"": 120, ""impedanceOhms"": ""4-8"", ""mono70_100V"": 120}, ""dante"": {""inputs"": 8, ""outputs"": 8}, ""matrix"": {""videoInputs"": 6, ""videoOutputs"": 2, ""audioInputs"": 12, ""audioOutputs"": 4}}","AMX Enova DVX-2265-4K is an all-in-one 6x2+1 4K60 4:4:4 presentation switcher combining a NetLinx NX controller, matrix video/audio switching, a 120W Crown DriveCore amplifier, Dante 8x8 IP audio, and DXLink twisted-pair extension, with 4 HDMI + 2 DXLink inputs and 2 HDMI + 1 mirrored DXLink output.",,All-in-one presentation switcher,SW-0401-H2 / SW-510-TX (presentation switching),medium,https://www.amx.com/en-US/site_elements/amx-data-sheet-dvx-2265-4k,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""dvx22654k"",""dvx2265"",""dvx3266"",""dvx2266""]",,,,,,,,,,,
AMX,DXL-RX-4K60,DXL-RX-4K60,,HDBASET,,receiver,approved,curated-fingerprint,,1,1,4K60 4:4:4,4:4:4,HDBASET,,,"[{""type"": ""HDBaseT (DXLite)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""RS-232"", ""IR""]","[""Embedded Audio""]","[""4K60 4:4:4, HDMI 2.0, HDCP 2.2 support"", ""Single-cable audio/video/USB2.0/control/power over twisted pair"", ""Distance transport up to 80m (4K) / 100m (1080p)"", ""USB 2.0 pass-through"", ""Native NetLinx IR/RS-232 control of destination devices""]","{""video"": {""maxResolution"": ""4K60 4:4:4"", ""hdcp"": ""2.2"", ""dataRateGbps"": 10.2, ""pixelClockMhzMax"": 600}, ""distance"": {""metersUpTo4K"": 80, ""metersUpTo1080p"": 100}, ""cableType"": ""Shielded Cat6A/Cat7""}","AMX DXL-RX-4K60 is a DXLite HDBaseT-based receiver module that delivers 4K60 4:4:4 HDMI 2.0/HDCP 2.2 video plus USB 2.0, RS-232, and IR control over a single twisted-pair cable up to 80m (4K) from an Incite/DVX presentation switcher.",,HDBaseT extender receiver,RX-70-4K / EX-70-H2,medium,https://www.amx.com/en-US/site_elements/data-sheet-dxl-rx-4k60,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""dxlrx4k60"",""dxlrx""]",,,,,,,,,,,
AMX,DXL-TX-4K60,DXL-TX-4K60,,HDBASET,,transmitter,approved,curated-fingerprint,,1,1,4K60 4:4:4,4:4:4,HDBASET,,,"[{""type"": ""HDMI"", ""count"": 1}]","[{""type"": ""HDBaseT (DXLite)"", ""count"": 1}]","[""RS-232"", ""IR""]","[""Embedded Audio""]","[""4K60 4:4:4 and HDCP 2.2 over HDBaseT with Display Stream Compression"", ""Power over HDBaseT from receiving device"", ""USB 2.0 transmission (host or peripheral, switchable)"", ""HDR10 and Dolby Vision support (under 10.2 Gbps)"", ""Distance transport up to 100m over Cat6/6A/7""]","{""video"": {""maxResolution"": ""4K60 4:4:4"", ""hdcp"": ""2.2"", ""dataRateGbps"": 10.2, ""pixelClockMhzMax"": 600}, ""distance"": {""metersMax"": 100}, ""cableType"": ""Shielded Cat6, Cat6A, Cat7"", ""technology"": ""HDBaseT""}","AMX DXL-TX-4K60 is an HDBaseT-based DXLite transmitter that extends HDMI video up to 4K60 4:4:4 with HDCP 2.2, HDR10/Dolby Vision, embedded audio, USB 2.0, and RS-232/IR control over a single Cat6A/7 cable up to 100m.",,HDBaseT extender transmitter,EX-70-H2 / TX-35-IW,medium,https://www.amx.com/ja/site_elements/amx-data-sheet-dxl-tx-4k60,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""dxltx4k60"",""dxltx""]",,,,,,,,,,,
AMX,MUSE Automator,MUSE Automator,,Software,Automation Programming Tool,software,approved,sku-seed,,,,,,CONTROL,programming environment,,[],[],"[""Node-RED"", ""JavaScript""]",[],"[""Visual drag-and-drop programming (Node-RED based)"", ""MUSE-specific node palette"", ""Custom JavaScript coding support"", ""Loads flows to MUSE Automation Controllers"", ""Runs on Windows 10+, 8GB RAM""]","{""requirements"": {""os"": ""Windows 10+ 64-bit"", ""cpu"": ""2GHz"", ""ramGB"": 8}}","AMX MUSE Automator is a Node-RED-based visual programming tool for building room/campus automation flows on MUSE Automation Controllers, with optional custom JavaScript.","Software tool, not a hardware endpoint; requires a MUSE Automation Controller to deploy flows to.",No direct WyreStorm hardware equivalent,WyreStorm has no automation-programming platform; SYN-CTL-HUB only bridges IP to RS232/relay/IR,high,https://www.amx.com/en-US/products/muse-automator,2026-08-15,Claude research pass,"Verified via official AMX MUSE Automator page: Node-RED-based visual programming with custom JS support, deploys to MUSE Automation Controllers. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,,,,
AMX,NMX-DEC-N2422A,NMX-DEC-N2422A,,AVOIP,,Decoder,approved,curated-fingerprint,,1,1,4K60 4:4:4,4:4:4,AVOIP,,,"[{""type"": ""LAN (RJ45)"", ""count"": 1}, {""type"": ""SFP"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""RS-232"", ""IR"", ""802.1X"", ""Web UI""]","[""Embedded Audio"", ""AES67""]","[""JPEG2000 4K60 4:4:4 & HDR (HDR10) video-over-IP decoder"", ""Sub-frame latency (8ms at 60fps)"", ""PoE+ powered"", ""KVM (USB) capable"", ""1Gb Ethernet (RJ45) or 1G SFP fiber network video"", ""Active Directory / 802.1X enterprise network security""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdr"":""HDR10"",""hdcp"":""2.2""},""latencyMs"":8,""power"":{""poe"":""802.3at Type 2 (PoE+)""},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""JPEG2000""}","AMX NMX-DEC-N2422A is a JPEG2000-based SVSI 4K60 4:4:4 HDR video-over-IP decoder with PoE+, KVM/USB, AES67 audio, and sub-frame (8ms) latency over standard 1Gb Ethernet or SFP fiber.",,NetworkHD 500 (premium 1GbE AVoIP),NHD-500-RX,medium,https://www.amx.com/en-US/site_elements/amx-data-sheet-nmx-dec-n2422a,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""nmxdecn2422a""]",,,,,,,,1GbE managed AV network,,JPEG2000,not-publicly-confirmed
AMX,NMX-DEC-N2622S,NMX-DEC-N2622S,,AVoIP,AV over IP decoder,decoder,review,sku-seed,AVoIP,,1,4K60 4:4:4 (MWC) / 1080p (H.26x),,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Analog Stereo (Balanced)"", ""count"": 1}]","[""USB 2.0 over IP""]","[""Embedded HDMI Audio"", ""Analog Stereo"", ""Dante AV-A""]","[""Multi-codec: 4K60 4:4:4 MWC or low-bandwidth 1080p H.26x"", ""Dante AV-A interoperability"", ""Full-bandwidth USB 2.0 routing"", ""Virtual Network USB Hub (up to 4 decoders to 1 host)"", ""Resolutions up to 4096x2160""]","{""video"":{""maxResolution"":""4096x2160""},""audio"":{""danteAvA"":true},""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}","AMX SVSI NMX-DEC-N2622S multi-codec AVoIP decoder supporting 4K60 4:4:4 MWC or low-bandwidth 1080p H.26x, Dante AV-A audio interoperability, and full-bandwidth USB 2.0 routing.",,NetworkHD 500 (premium 1GbE AVoIP),NHD-500-RX,high,https://www.amx.com/en-US/products/nmx-dec-n2622s,2026-08-15,Claude research pass,"Verified via official AMX NMX-DEC-N2622S product/data sheet page: multi-codec (MWC 4K60 4:4:4 or H.26x 1080p), Dante AV-A, USB2.0 Virtual Network Hub. | 2026-08-15 batch review: evidence-complete row promoted to approved. | AVoIP network speed requires 1GbE/10GbE verification before approval.",[],,,,,,,comparison-only-verify,Unconfirmed - verify 1GbE or 10GbE,,,not-publicly-confirmed
AMX,NMX-DEC-N2625D-WP,NMX-DEC-N2625D-WP,,AVoIP,AV over IP decoder wallplate,decoder,review,sku-seed,AVoIP,,1,4K60 4:4:4 (MWC),,AVOIP,endpoint (wallplate),unidirectional,"[{""type"": ""LAN (RJ45)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""USB 2.0 over IP""]","[""Embedded HDMI Audio"", ""Dante AV-A""]","[""Wallplate form factor (black/white faceplates)"", ""4K60 4:4:4 MWC codec"", ""Dante AV-A (Dante Controller/Domain Manager/Director compatible)"", ""Virtual Network USB 2.0 Hub (N2600D models)"", ""NA and EU/UK versions""]","{""video"":{""maxResolution"":""4096x2160""},""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}","AMX SVSI NMX-DEC-N2625D-WP decoder wallplate delivering 4K60 4:4:4 MWC video with Dante AV-A audio interoperability and Virtual Network USB Hub support, in US/EU faceplate variants.",,NetworkHD 500 in-wall decoder,"NHD-500-IW-TX-V2 (in-wall series, decoder-side positioning)",high,https://www.amx.com/en/site_elements/data-sheet-nmx-dec-n2625d-wp,2026-08-15,Claude research pass,"Verified via official AMX NMX-DEC-N2625D-WP data sheet: wallplate decoder, 4K60 4:4:4 MWC, Dante AV-A, Virtual Network USB Hub, NA/EU variants. | 2026-08-15 batch review: evidence-complete row promoted to approved. | AVoIP network speed requires 1GbE/10GbE verification before approval.",[],,,,,,,comparison-only-verify,Unconfirmed - verify 1GbE or 10GbE,,,not-publicly-confirmed
AMX,NMX-ENC-N2412A,NMX-ENC-N2412A,,AVOIP,,Encoder,approved,curated-fingerprint,,2,1,4K60 4:4:4,4:4:4,AVOIP,,,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""VGA (HD-15)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""LAN (RJ45)"", ""count"": 1}, {""type"": ""SFP"", ""count"": 1}]","[""RS-232"", ""IR"", ""802.1X"", ""Web UI""]","[""Embedded Audio"", ""Analog Audio"", ""AES67""]","[""JPEG2000 4K60 4:4:4 & HDR (HDR10) video-over-IP encoder"", ""Sub-frame latency (8ms at 60fps)"", ""PoE+ powered"", ""KVM (USB) capable"", ""1Gb Ethernet (RJ45) or 1G SFP fiber network video"", ""Active Directory / 802.1X enterprise network security"", ""Analog VGA/Component input support""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdr"":""HDR10"",""hdcp"":""2.2""},""latencyMs"":8,""power"":{""poe"":""802.3at Type 2 (PoE+)""},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""JPEG2000""}","AMX NMX-ENC-N2412A is a JPEG2000-based SVSI 4K60 4:4:4 HDR video-over-IP encoder with HDMI and VGA/component analog inputs, PoE+, KVM/USB, AES67 audio, and sub-frame (8ms) latency over standard 1Gb Ethernet or SFP fiber.",,NetworkHD 500 (premium 1GbE AVoIP),NHD-500-TX,medium,https://www.amx.com/en-US/site_elements/data-sheet-nmx-enc-n2412a,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""nmxencn2412a""]",,,,,,,,1GbE managed AV network,,JPEG2000,not-publicly-confirmed
