manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
Barco,C-10,C-10,,Wireless Presentation,Wireless Presentation Hub,receiver / hub,review,sku-seed,Wireless,,1,4K UHD @30Hz 4:4:4,,PRESENTATION,wireless presentation,bidirectional,"[{""type"": ""Wireless"", ""count"": 1}, {""type"": ""USB-C (Gen2, DP)"", ""count"": 1}]","[{""type"": ""HDMI 1.4b"", ""count"": 1}, {""type"": ""Ethernet LAN"", ""count"": 1}, {""type"": ""USB-A"", ""count"": 1}, {""type"": ""USB-C"", ""count"": 1}]","[""Web UI"", ""Ethernet 1Gbit""]","[""HDMI Embedded Audio""]","[""Interactive wireless presentation for any meeting space"", ""4K UHD @30Hz via HDMI or USB-C DP (Gen2)"", ""1Gbit LAN + front USB-A/USB-C"", ""2.4/5GHz wireless, 30m range""]","{""video"":{""maxResolution"":""3840x2160@30Hz"",""hdmi"":""1.4b"",""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""wireless"":{""rangeMeters"":30,""bands"":[""2.4GHz"",""5GHz""]},""network"":{""lanGbit"":1}}","Barco ClickShare C-10 wireless presentation base unit with 4K UHD30 output, 1Gbit LAN, front USB-A/USB-C ports, and up to 30m wireless button range.",Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,Wireless presentation hub,APO-VX20-UC-V2 + APO-DG2,high,https://assets.barco.com/m/45c38ffba94824fb/original/ClickShare-C-10-en-Spec-sheet.pdf,2026-07-05,Claude research pass,"Verified via official Barco ClickShare C-10 spec sheet: 4K UHD30, 1Gbit LAN, front USB-A(2.0)/USB-C(2.0) or USB 3.0 on Gen2.",[],,,,,,,
Barco,C-5,C-5,,Wireless Presentation,Wireless Presentation Hub (Huddle),receiver / hub,review,sku-seed,Wireless,,1,4K UHD @30Hz 4:4:4,,PRESENTATION,wireless presentation,bidirectional,"[{""type"": ""Wireless"", ""count"": 1}, {""type"": ""USB-C (Gen2)"", ""count"": 1}]","[{""type"": ""HDMI 1.4b"", ""count"": 1}]","[""Web UI""]","[""HDMI Embedded Audio""]","[""One-click wireless presentation for huddle spaces"", ""4K UHD @30Hz via HDMI or USB-C DP (Gen2)"", ""2.4/5GHz wireless, 30m range"", ""Compact form factor (900g)""]","{""video"":{""maxResolution"":""3840x2160@30Hz"",""hdmi"":""1.4b"",""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""wireless"":{""rangeMeters"":30,""bands"":[""2.4GHz"",""5GHz""]},""power"":{""consumptionW"":""5-10 typical, 24 max""},""usb"":{""standard"":""USB 2.0""}}",Barco ClickShare C-5 entry-level wireless presentation base unit for huddle spaces with 4K UHD30 HDMI output and up to 30m wireless button range.,Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,Wireless presentation hub (huddle),APO-DG2 (Apollo wireless casting dongle),high,https://assets.barco.com/m/531d289aaa651a77/original/ClickShare-C-5-en-Spec-sheet.pdf,2026-07-05,Claude research pass,"Verified via official Barco ClickShare C-5 spec sheet: 4K UHD30, HDMI 1.4b (USB-C DP on Gen2), 2.4/5GHz wireless, 900g.",[],,,,,,,
Barco,CLICKSHARE-BAR-PRO,ClickShare Bar Pro,ClickShare,UC,,video-bar,review,structured-catalog,Local,,,4K UHD @30Hz (or 2x 1080p30) 4:4:4,,Unified Communications,collaboration appliance,bidirectional,"[{""type"":""LAN"",""count"":1},{""type"":""Wi-Fi"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB-A"",""count"":2},{""type"":""USB-C"",""count"":1}]","[""TCP/IP"",""XMS Cloud"",""Web UI"",""USB""]","[""Beamforming Microphones"",""Stereo Speakers"",""USB Audio"",""Speaker""]","[""All-in-one video bar for wireless conferencing"", ""6 beamforming MEMS mics, 4m pickup range"", ""4K UHD30 or dual 1080p30 via HDMI/USB-C DP"", ""USB-C 3.1 video in/out + USB-A + Ethernet"", ""5-year warranty""]","{""video"":{""maxResolution"":""3840x2160@30Hz"",""hdmi"":""1.4b"",""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""audio"":{""micType"":""6x beamforming MEMS"",""pickupRangeM"":4},""wireless"":{""rangeMeters"":30},""usb"":{""standard"":""USB-C 3.1 (x2: to-screen DP output, video input), USB-A 2.0, USB-C 2.0 (side)""}}","All-in-one video bar for wireless conferencing with integrated camera, speakers, microphones, and ClickShare room sharing workflows.",Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,UC video bar with wireless casting,APO-VX20-UC-V2 + APO-DG2,high,https://assets.barco.com/m/5845718ef172a597/original/ClickShare-Bar-Pro-en-Spec-sheet.pdf,2026-07-05,Claude research pass,"Official Barco ClickShare Bar Pro product page. | data/product-intelligence-db.json#7 merged into deployed competitor catalog. | data/product-intelligence-db.json#8 merged into deployed competitor catalog. | data/product-intelligence-db.json#19 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ClickShare Bar Pro is an all-in-one conferencing bar with wireless collaboration built in. | Compare ClickShare Bar Pro against UC video bars and room appliances, not matrix switchers or extenders. | Official competitor family guidance applied during canonical sync. | Verified via official Barco ClickShare Bar Pro spec sheet: 4K UHD30/dual 1080p30, 6 beamforming mics (4m pickup), USB-C 3.1 DP in/out, 5-year warranty.",[],,,,,,,
Barco,CLICKSHARE-BUTTON-5TH-GEN,ClickShare Button 5th Generation,ClickShare,Accessories,Accessory,accessory,review,structured-catalog,Local,,,4K,,Wireless Collaboration,accessory,bidirectional,"[{""type"":""USB-C"",""count"":1}]","[{""type"":""Wireless Presentation"",""count"":1}]","[""App Pairing""]","[""Embedded Audio""]","[""Wi-Fi 6E for lower latency/interference"", ""USB-C DisplayPort, driverless"", ""One-click 4K wireless sharing"", ""30m range to base unit""]","{""video"": {""maxResolution"": ""4K""}, ""wireless"": {""standard"": ""Wi-Fi 6E"", ""rangeMeters"": 30}, ""usb"": {""standard"": ""USB-C 3.1 Gen 1 (DisplayPort Alt Mode)""}}",USB-C wireless presentation dongle and meeting trigger button for one-click ClickShare room sharing.,,Wireless casting button accessory,APO-DG2 (Apollo wireless casting dongle),high,https://www.barco.com/en/product/clickshare-conferencing-button-5-gen,2026-07-05,Claude research pass,"Official Barco ClickShare Button support page. | data/product-intelligence-db.json#8 merged into deployed competitor catalog. | data/product-intelligence-db.json#9 merged into deployed competitor catalog. | data/product-intelligence-db.json#20 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ClickShare Buttons are wireless collaboration accessories for sharing into a ClickShare room endpoint. | Treat ClickShare buttons as accessories, not as room endpoints or switchers. | Official competitor family guidance applied during canonical sync. | Verified via official Barco 5th-gen ClickShare Button page: Wi-Fi 6E, USB-C DisplayPort, driverless 4K sharing, 30m range.",[],,,,,,,
Barco,CLICKSHARE-C-10,ClickShare C-10,ClickShare,Wireless Presentation,,wireless-presentation-hub,review,structured-catalog,Local,,,4K UHD @30Hz 4:4:4,,Wireless Presentation,collaboration appliance,bidirectional,"[{""type"":""LAN"",""count"":1},{""type"":""Wi-Fi"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDMI"",""count"":1}]","[""TCP/IP"",""XMS Cloud"",""Web UI""]","[""HDMI Audio""]","[""Wireless presentation"",""AirPlay"",""Google Cast"",""Miracast"",""Button support"",""App sharing"",""Meeting room collaboration""]","{""video"":{""maxResolution"":""4K"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":false,""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""usb"":{""standard"":""USB 2.0 (Gen1 unit); USB 3.0 (Gen2 unit, USB-A & USB-C)""}}","Wireless presentation hub for huddle spaces with app or button sharing, 4K output, and native casting support.",Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,Wireless presentation hub,APO-DG2,high,https://assets.barco.com/m/45c38ffba94824fb/original/ClickShare-C-10-en-Spec-sheet.pdf,2026-07-05,Claude research pass,"Official Barco ClickShare C-10 product page. | data/product-intelligence-db.json#9 merged into deployed competitor catalog. | data/product-intelligence-db.json#10 merged into deployed competitor catalog. | data/product-intelligence-db.json#21 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ClickShare C-series products are wireless presentation hubs for meeting rooms and huddle spaces. | Compare ClickShare C-series against wireless presentation hubs, not room matrices or wall systems. | Official competitor family guidance applied during canonical sync. | Verified against official Barco ClickShare C-10 spec sheet: 4K UHD30, 1Gbit LAN, USB-A/USB-C front ports. Note: this row duplicates the separate 'C-10' SKU-seed row in this file.",[],,,,,,,
Barco,CLICKSHARE-CX-20,ClickShare CX-20,ClickShare,UC,,wireless-conferencing-hub,review,structured-catalog,Local,,,4K UHD @30Hz 4:4:4,,Wireless Conferencing,collaboration appliance,bidirectional,"[{""type"":""LAN"",""count"":1},{""type"":""Wi-Fi"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB-A"",""count"":2},{""type"":""USB-C"",""count"":1}]","[""TCP/IP"",""XMS Cloud"",""Web UI""]","[""USB Audio"",""HDMI Audio""]","[""Wireless conferencing"",""Wireless presentation"",""BYOM"",""AirPlay"",""Google Cast"",""Miracast"",""USB peripheral sharing"",""Room collaboration""]","{""video"":{""maxResolution"":""4K"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":false,""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""usb"":{""standard"":""USB 2.0 (Gen1 unit); USB 3.0 (Gen2 unit, USB-A & USB-C)""}}",Wireless conferencing and presentation hub for small meeting spaces with USB peripheral sharing and app or button workflows.,Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,Wireless conferencing hub,APO-VX20-UC-V2 + APO-DG2,high,https://www.barco.com/en/product/clickshare-cx-20,2026-07-05,Claude research pass,"Official Barco ClickShare CX-20 product page. | data/product-intelligence-db.json#10 merged into deployed competitor catalog. | data/product-intelligence-db.json#11 merged into deployed competitor catalog. | data/product-intelligence-db.json#22 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ClickShare CX products are wireless conferencing hubs for BYOM meeting spaces. | Compare ClickShare CX against wireless conferencing and BYOM room systems, not generic switchers. | Official competitor family guidance applied during canonical sync. | Verified against official Barco ClickShare CX-20 product page: 4K UHD30, USB peripheral sharing. Note: this row duplicates the separate 'CX-20'/'CX-20 Gen2' SKU-seed rows in this file.",[],,,,,,,
Barco,CLICKSHARE-CX-30,ClickShare CX-30,ClickShare,UC,,wireless-conferencing-hub,review,structured-catalog,Local,,,4K UHD @30Hz 4:4:4,,Wireless Conferencing,collaboration appliance,bidirectional,"[{""type"":""LAN"",""count"":1},{""type"":""Wi-Fi"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB-A"",""count"":2},{""type"":""USB-C"",""count"":1}]","[""TCP/IP"",""XMS Cloud"",""Web UI""]","[""USB Audio"",""HDMI Audio""]","[""Wireless conferencing"",""Wireless presentation"",""AirPlay"",""Google Cast"",""Miracast"",""BYOM"",""USB peripheral sharing"",""Room collaboration""]","{""video"":{""maxResolution"":""4K"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":false,""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""usb"":{""standard"":""USB 2.0 (Gen1 unit); USB 3.0 (Gen2 unit, USB-A & USB-C)""}}","Wireless conferencing and presentation hub with HDMI output, USB peripherals, AirPlay, Google Cast, and Miracast support for medium meeting rooms.",Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,Wireless conferencing hub,APO-VX20-UC-V2 + APO-DG2,high,https://www.barco.com/en/product/clickshare-cx-30,2026-07-05,Claude research pass,"Official Barco ClickShare CX-30 page. | data/product-intelligence-db.json#11 merged into deployed competitor catalog. | data/product-intelligence-db.json#12 merged into deployed competitor catalog. | data/product-intelligence-db.json#23 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ClickShare CX products are wireless conferencing hubs for BYOM meeting spaces. | Compare ClickShare CX against wireless conferencing and BYOM room systems, not generic switchers. | Official competitor family guidance applied during canonical sync. | Verified against official Barco ClickShare CX-30 product page: 4K UHD30, AirPlay/Google Cast/Miracast, USB peripheral sharing. Note: this row duplicates the separate 'CX-30'/'CX-30 Gen2' SKU-seed rows in this file.",[],,,,,,,
Barco,CS-100,CS-100,,Wireless Presentation,Wireless Presentation Hub (Standalone),receiver / hub,review,sku-seed,Wireless,,1,HD/4K (Button-dependent),,PRESENTATION,wireless presentation,bidirectional,"[{""type"": ""Wireless"", ""count"": 1}, {""type"": ""USB Button"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""Web UI""]","[""HDMI Embedded Audio""]","[""Stand-alone wireless presentation system"", ""Up to 8 users connect, 1 shares at a time"", ""USB-powered ClickShare Button or app-based sharing"", ""Standard ClickShare security (encryption, login mgmt, HTTPS, hidden SSID)"", ""30m wireless range""]","{""wireless"": {""rangeMeters"": 30}, ""users"": {""maxConnected"": 8, ""simultaneousSharers"": 1}, ""video"": {""hdmi"": ""1.2""}}","Barco ClickShare CS-100 standalone wireless presentation system with HDMI output, USB-button or app sharing for up to 8 connected users (1 sharing at a time).",,Standalone wireless presentation hub,APO-DG2,high,https://assets.barco.com/m/20ea67ff340e53a0/original/ClickShare-CS-100-en-Spec-sheet.pdf,2026-07-05,Claude research pass,"Verified via official Barco ClickShare CS-100 spec sheet: HDMI out, up to 8 users/1 sharer, standard ClickShare security, 30m wireless range.",[],,,,,,,
Barco,CS-100 Huddle,CS-100 Huddle,,Wireless Presentation,Wireless Presentation Hub (Huddle),receiver / hub,review,sku-seed,Wireless,,1,HD/4K (Button-dependent),,PRESENTATION,wireless presentation,bidirectional,"[{""type"": ""Wireless"", ""count"": 1}, {""type"": ""USB Button"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""Web UI""]","[""HDMI Embedded Audio""]","[""Compact presentation server for huddle spaces"", ""100Mb LAN + Wi-Fi (2.4/5GHz)"", ""USB-button or app-based sharing"", ""30m wireless range"", ""Compact 205x115x45mm, 600g""]","{""wireless"": {""rangeMeters"": 30}, ""network"": {""lanMbit"": 100}, ""physical"": {""dimensionsMm"": ""205x115x45"", ""weightG"": 600}, ""video"": {""hdmi"": ""1.2""}}","Barco ClickShare CS-100 Huddle compact wireless presentation server for huddle spaces with HDMI output, 100Mb LAN, and Wi-Fi 2.4/5GHz connectivity.",,Huddle-room wireless presentation hub,APO-DG2,high,https://assets.barco.com/m/5d861a3a807c8ee9/original/ClickShare-CS-100-Huddle-en-Spec-sheet.pdf,2026-07-05,Claude research pass,"Verified via official Barco ClickShare CS-100 Huddle spec sheet: 100Mb LAN, Wi-Fi 2.4/5GHz, 600g compact chassis, 30m wireless range.",[],,,,,,,
Barco,CX-20,CX-20,,Wireless Presentation,Wireless Conferencing Hub,receiver / hub,review,sku-seed,Wireless,,1,4K UHD @30Hz 4:4:4,,PRESENTATION,wireless presentation,bidirectional,"[{""type"": ""Wireless"", ""count"": 1}, {""type"": ""USB-A"", ""count"": 1}, {""type"": ""USB-C"", ""count"": 1}]","[{""type"": ""HDMI 1.4b"", ""count"": 1}]","[""Web UI""]","[""USB Audio"", ""HDMI Audio""]","[""1st-generation wireless conferencing hub"", ""4K UHD @30Hz via HDMI"", ""1x USB-A / 1x USB-C for peripheral/PC passthrough"", ""2.4/5GHz wireless, 30m range""]","{""video"":{""maxResolution"":""3840x2160@30Hz"",""hdmi"":""1.4b"",""chroma"":""4:4:4"",""chromaEvidence"":""inferred""},""wireless"":{""rangeMeters"":30},""usb"":{""standard"":""USB 2.0""}}",Barco ClickShare CX-20 (1st generation) wireless conferencing hub with 4K UHD30 HDMI output and USB-A/USB-C peripheral connectivity for small meeting rooms.,Chroma 4:4:4 inferred: 4K30 fits well within any HDMI generation's bandwidth at full chroma (no subsampling needed).,Wireless conferencing hub,APO-VX20-UC-V2 + APO-DG2,high,https://assets.barco.com/m/22e6bb4ca5a1d52/original/ClickShare-CX-20-po-Spec-sheet.pdf,2026-07-05,Claude research pass,"Verified via official Barco ClickShare CX-20 spec sheet (1st-gen base unit, predecessor to CX-20 Gen2): 4K UHD30, USB-A/USB-C, 30m wireless range.",[],,,,,,,
