manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
BirdDog,4K EYE,4K EYE,,Camera,PTZ Camera,camera,review,sku-seed,NDI,,1,"4K (14.2MP, 12x-24x zoom range)",,CAMERA,point-to-point,,[],"[{""type"": ""6G-SDI"", ""count"": 2}, {""type"": ""HDMI 2.0"", ""count"": 1}, {""type"": ""NDI (Full bandwidth)"", ""count"": 1}]","[""RS-232"", ""RS-422"", ""RS-485"", ""NDI/IP Control"", ""IR""]","[""Embedded Audio""]","[""1\"" Sony Exmor R CMOS backlit sensor (14.4MP)"", ""10-bit, Full NDI (NDI4 10-bit workflow)"", ""12x optical / 18x (4K) / 24x (FHD) zoom"", ""Dual 6G-SDI + HDMI 2.0 outputs"", ""PoE++""]","{""camera"": {""opticalZoom"": ""12x"", ""sensor"": ""1-type Sony Exmor R CMOS"", ""sensorMP"": 14.4}, ""video"": {""maxResolution"": ""4K"", ""bitDepth"": 10}, ""network"": {""ndiBandwidthMbps"": 300}}","BirdDog's flagship 1-inch sensor 4K full-NDI PTZ camera (P4K/'Eyes' family) with dual 6G-SDI and HDMI 2.0 outputs, 10-bit NDI4 workflow, and PoE++ single-cable operation.",CSV model name '4K EYE' maps to BirdDog's marketed 'P4K' (Eyes P4K) camera; verify exact SKU/part number before quoting.,Broadcast PTZ camera with NDI,CAM-210-NDI-PTZ,medium,https://birddog.tv/p4k-overview/p4k-techspecs/,2026-07-05,Claude research pass,"Matched to BirdDog P4K (marketed as 'Eyes P4K'): 1"" Sony sensor, 12x zoom, dual 6G-SDI + HDMI2.0, full NDI, PoE++. SKU naming in source feed ('4K EYE') not an exact BirdDog part number — confidence set to medium pending confirmation.",[],,,,,,,
BirdDog,Air 4K Quad,Air 4K Quad,,Encoder/Decoder,Multi-channel NDI Encoder/Decoder,encoder/decoder,review,sku-seed,NDI,4,4,4K60,,AVOIP,multi-channel converter,,"[{""type"": ""12G-SDI"", ""count"": 4}]","[{""type"": ""12G-SDI"", ""count"": 4}, {""type"": ""NDI (Ethernet/SFP+)"", ""count"": 1}]","[""Ethernet"", ""USB 3.0"", ""Web Console""]","[""3.5mm Audio In/Out""]","[""4-channel selectable 12G-SDI in/out"", ""SFP+ slot (1-10GbE fiber)"", ""Tally system with bicolor light"", ""4-line OLED display"", ""BirdDog Comms Lite intercom"", ""PoE+ or standard PSU""]","{""video"": {""maxResolution"": ""4Kp60""}, ""network"": {""ports"": 4, ""sfpPlus"": true}}","BirdDog 4-channel 12G-SDI NDI encoder/decoder supporting UHD 4Kp60 per channel, SFP+ fiber expansion, tally, and integrated intercom.",CSV model name 'Air 4K Quad' matches BirdDog's '4K QUAD' (BD4KQUAD) multi-channel encoder/decoder; the 'Air' prefix could not be independently confirmed as a distinct product line — verify exact SKU before quoting.,NDI encoder/decoder (SDI-based),NHD-128-NDI-TRX (NDI-to-AVoIP gateway; no dedicated WyreStorm quad-SDI/NDI unit),medium,https://www.bhphotovideo.com/c/product/1472919-REG/birddog_bd4kquad_4k_quad_4_channel_12g.html,2026-07-05,Claude research pass,"Matched to BirdDog 4K QUAD (BD4KQUAD): 4x 12G-SDI in/out, SFP+ fiber slot, tally, OLED display. 'Air' prefix in source feed not confirmed as separate SKU — confidence set to medium.",[],,,,,,,
BirdDog,Eyes HDMI,Eyes HDMI,,Encoder/Decoder,HDMI-to-NDI Converter,encoder/decoder,review,sku-seed,NDI,1,2,4Kp60,,AVOIP,point-to-point converter,,"[{""type"": ""HDMI 2.0"", ""count"": 1}]","[{""type"": ""HDMI 2.0"", ""count"": 1}, {""type"": ""12G-SDI"", ""count"": 1}, {""type"": ""NDI (Ethernet/SFP+)"", ""count"": 1}]","[""Ethernet"", ""USB 3.0"", ""Web Console""]","[""3.5mm Audio In/Out""]","[""Built-in HDMI-to-SDI cross converter"", ""SFP+ slot (1-10GbE fiber)"", ""Tally system"", ""4-line OLED display"", ""PoE+""]","{""video"": {""maxResolution"": ""4Kp60""}}","BirdDog 4K HDMI-to-NDI encoder/decoder (BD4KHDMI) with built-in HDMI-to-SDI cross conversion, SFP+ fiber slot, and tally system.","CSV model 'Eyes HDMI' matches BirdDog's '4K HDMI' (BD4KHDMI) converter, marketed under the historical 'BirdDog Eyes' product branding; verify exact SKU before quoting.",HDMI-to-NDI converter,NHD-128-NDI-TRX,medium,https://www.bhphotovideo.com/c/product/1472917-REG/birddog_bd4khdmi_4k_hdmi_hdmi2_0_4kp60_ndi.html,2026-07-05,Claude research pass,"Matched to BirdDog 4K HDMI (BD4KHDMI): HDMI2.0 in, HDMI2.0+12G-SDI out, cross-converter, SFP+, tally. 'Eyes' is BirdDog's historical product branding — confidence set to medium pending exact SKU confirmation.",[],,,,,,,
BirdDog,Eyes SDI,Eyes SDI,,Encoder/Decoder,SDI-to-NDI Converter,encoder/decoder,review,sku-seed,NDI,1,2,4Kp60,,AVOIP,point-to-point converter,,"[{""type"": ""12G-SDI"", ""count"": 1}]","[{""type"": ""12G-SDI"", ""count"": 1}, {""type"": ""HDMI 2.0"", ""count"": 1}, {""type"": ""NDI (Ethernet/SFP+)"", ""count"": 1}]","[""Ethernet"", ""USB 3.0"", ""Web Console""]","[""3.5mm Audio In/Out""]","[""Built-in SDI-to-HDMI cross converter"", ""SFP+ slot (1-10GbE fiber)"", ""Tally system"", ""4-line OLED display"", ""PoE+""]","{""video"": {""maxResolution"": ""4Kp60""}}","BirdDog 4K 12G-SDI-to-NDI encoder/decoder (BD4KSDI) with built-in SDI-to-HDMI cross conversion, SFP+ fiber slot, and tally system.","CSV model 'Eyes SDI' matches BirdDog's '4K SDI' (BD4KSDI) converter, marketed under the historical 'BirdDog Eyes' product branding; verify exact SKU before quoting.",SDI-to-NDI converter,NHD-128-NDI-TRX,medium,https://www.bhphotovideo.com/c/product/1472918-REG/birddog_bd4ksdi_4k_sdi_12g_sdi_4kp60.html,2026-07-05,Claude research pass,"Matched to BirdDog 4K SDI (BD4KSDI): 12G-SDI in, 12G-SDI+HDMI2.0 out, cross-converter, SFP+, tally. 'Eyes' is BirdDog's historical product branding — confidence set to medium pending exact SKU confirmation.",[],,,,,,,
BirdDog,FLEX 4K,FLEX 4K,,Encoder/Decoder,Compact NDI Encoder/Decoder,encoder/decoder,review,sku-seed,NDI,1,1,UHD 2160p30 / 1080p60,,AVOIP,point-to-point converter,,"[{""type"": ""HDMI"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""SDI (loop)"", ""count"": 1}, {""type"": ""NDI (Ethernet)"", ""count"": 1}]","[""Ethernet"", ""RS-232 (VISCA, 2.5mm 4-pole)"", ""Web Console""]","[""HDMI 2Ch 48kHz"", ""3.5mm mic/line in"", ""3.5mm headphone/line out""]","[""World's smallest 4K NDI encoder/decoder family"", ""Simultaneous HDMI + SDI loop outputs"", ""Integrated Halo Tally"", ""VISCA PTZ control passthrough"", ""Dante audio in/out via 3.5mm jack"", ""PoE (802.3at)""]","{""video"": {""maxResolution"": ""UHD2160p30 / 1080p60""}, ""network"": {""ndiBitrateMbps"": ""60-360""}, ""physical"": {""dimensionsMm"": ""107x63x31"", ""weightG"": 140}}","BirdDog Flex 4K compact IN/OUT NDI encoder/decoder family with simultaneous HDMI/SDI loop, VISCA PTZ passthrough, Dante-capable audio, and PoE single-cable operation.",,Compact NDI encoder/decoder,NHD-128-NDI-TRX,high,https://birddog.tv/flex-overview/flex-techspecs/,2026-07-05,Claude research pass,Verified via BirdDog official Flex 4K Family tech specs page (covers Flex 4K IN/OUT variants).,[],,,,,,,
BirdDog,MAKI ULTRA,MAKI ULTRA,,Camera,Box/PTZ Camera,camera,review,sku-seed,NDI,,1,4K60 (2160p),,CAMERA,point-to-point,,[],"[{""type"": ""NDI|HX3 (Ethernet)"", ""count"": 1}, {""type"": ""USB-C (UVC)"", ""count"": 1}]","[""NDI/IP Control"", ""Physical buttons""]","[""Embedded Audio""]","[""1/2.8\"" CMOS sensor"", ""12x or 20x optical zoom variants"", ""NDI|HX3"", ""ToF sensor autofocus"", ""USB-C UVC for Zoom/Teams/Meet"", ""HALO Tally"", ""PoE (<15W)""]","{""camera"": {""opticalZoom"": ""12x/20x"", ""sensor"": ""1/2.8\"" CMOS""}, ""video"": {""maxResolution"": ""2160p60""}, ""power"": {""poeMaxW"": 15}}","BirdDog MAKI Ultra compact NDI|HX3 box camera with 12x/20x zoom variants, ToF autofocus, USB-C UVC webcam mode, and sub-15W PoE.",,Box/PTZ camera with NDI,CAM-210-NDI-PTZ,high,https://birddog.tv/makiultra-overview/makiultra-techspecs/,2026-07-05,Claude research pass,Verified via BirdDog official MAKI Ultra tech specs page.,[],,,,,,,
BirdDog,P100,P100,,Camera,PTZ Camera,camera,review,sku-seed,NDI,,1,1080p60,,CAMERA,point-to-point,,[],"[{""type"": ""3G-SDI"", ""count"": 1}, {""type"": ""HDMI"", ""count"": 1}, {""type"": ""USB 2.0"", ""count"": 1}, {""type"": ""NDI (Ethernet)"", ""count"": 1}]","[""NDI/IP Control""]","[""3.5mm Audio (BirdDog Comms)""]","[""Custom NDI silicon + Sony CMOS sensor"", ""10x optical zoom"", ""350\u00b0 pan / -15 to 90\u00b0 tilt, up to 150\u00b0/s"", ""128 presets"", ""0.5 lux low light"", ""PoE+ (802.3at)""]","{""camera"": {""opticalZoom"": ""10x"", ""minLux"": 0.5}, ""video"": {""maxResolution"": ""1080p60""}, ""mechanical"": {""pan"": ""350deg"", ""tilt"": ""-15 to 90deg""}}","BirdDog Eyes P100 entry-level full-NDI PTZ camera with 10x optical zoom, simultaneous 3G-SDI/HDMI/USB2.0/NDI outputs, and PoE+ power.",,PTZ camera with NDI,CAM-210-NDI-PTZ,high,https://birddog.tv/p100-overview/p100-techspecs/,2026-07-05,Claude research pass,"Verified via BirdDog official P100 tech specs page: 10x zoom, simultaneous SDI/HDMI/USB2.0/NDI, PoE+.",[],,,,,,,
BirdDog,P200,P200,,Camera,PTZ Camera,camera,review,sku-seed,NDI,,1,1080p60,,CAMERA,point-to-point,,[],"[{""type"": ""3G-SDI"", ""count"": 1}, {""type"": ""HDMI"", ""count"": 1}, {""type"": ""NDI (Ethernet)"", ""count"": 1}]","[""RS-422"", ""RS-485"", ""RS-232"", ""NDI/IP Control""]","[""3.5mm Audio (BirdDog Comms)""]","[""Sony Exmor R CMOS backlit sensor + BirdDog NDI chip"", ""30x optical zoom"", ""NDI|HX2, SRT Cloud Connect, RTSP, RTMP"", ""PoE""]","{""camera"": {""opticalZoom"": ""30x"", ""sensorMP"": 2.13}, ""video"": {""maxResolution"": ""1080p60""}}","BirdDog Eyes P200 full-NDI PTZ camera with Sony Exmor R sensor, 30x optical zoom, simultaneous SDI/HDMI/NDI outputs, and NDI|HX2/SRT/RTSP/RTMP support.",,PTZ camera with NDI,CAM-210-NDI-PTZ,high,https://birddog.tv/p200-overview/p200-techspecs/,2026-07-05,Claude research pass,"Verified via BirdDog official P200 tech specs page: 30x zoom, Sony sensor, SDI/HDMI/NDI, NDI|HX2/SRT/RTSP/RTMP.",[],,,,,,,
BirdDog,P400,P400,,Camera,PTZ Camera,camera,review,sku-seed,NDI,,1,4K30 / 1080p60,,CAMERA,point-to-point,,[],"[{""type"": ""6G-SDI"", ""count"": 1}, {""type"": ""HDMI"", ""count"": 1}, {""type"": ""NDI (Ethernet, 4:2:2 10-bit)"", ""count"": 1}]","[""NDI/IP Control""]","[""3.5mm Audio (BirdDog Comms)""]","[""1/2.5\"" Sony backlit CMOS sensor"", ""20x optical / up to 40x Super Resolution digital zoom"", ""World's first 4K NDI with 4:2:2 chroma subsampling"", ""\u00b1175\u00b0 pan, +90/-30\u00b0 tilt"", ""PoE++ single cable""]","{""camera"": {""opticalZoom"": ""20x"", ""sensor"": ""1/2.5\"" Sony CMOS""}, ""video"": {""maxResolution"": ""UHD 4K30 / FHD 1080p60"", ""chroma"": ""4:2:2""}, ""mechanical"": {""pan"": ""\u00b1175deg"", ""tilt"": ""+90/-30deg""}}","BirdDog Eyes P400 full-NDI 4K PTZ camera with Sony sensor, 20x optical zoom, 4:2:2 chroma-subsampled NDI, and simultaneous 6G-SDI/HDMI/NDI outputs over PoE++.",,PTZ camera with NDI,CAM-420-PTZ (4K dual-lens AI PTZ),high,https://birddog.tv/p400-overview/,2026-07-05,Claude research pass,"Verified via BirdDog official P400 product page: 20x zoom, 4K30/1080p60, 4:2:2 NDI, 6G-SDI/HDMI/NDI outputs, PoE++.",[],,,,,,,
BirdDog,P4K,P4K 4K Full NDI PTZ Camera with 1-inch Sony Sensor,P Series,Camera,Broadcast PTZ Camera,ptz-camera,approved,structured-catalog,NDI / HDMI / SDI,0,3,4Kp29.97 / 1080p60,,Camera,point-to-point,one-to-many,[],"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""6G-SDI"", ""count"": 2}, {""type"": ""NDI (1GbE)"", ""count"": 1}]","[""NDI"", ""VISCA"", ""VISCA IP"", ""RS-232/422/485"", ""IR""]","[""3.5mm analog audio in/out"", ""Embedded audio over HDMI/SDI/NDI""]","[""1.0-type back-illuminated Sony Exmor R CMOS sensor, 14.2MP"", ""12x optical zoom (18x at 4K / 24x at FHD with SRZ)"", ""Simultaneous NDI (full bandwidth) + HDMI + 6G-SDI output"", ""4Kp29.97/25/24/23.98 and up to 1080p60"", ""130dB WDR, image stabilizer"", ""PoE+ (IEEE 802.3at) powered""]","{""video"": {""maxResolution"": ""4Kp29.97 / 1080p60"", ""sensor"": ""1.0-type Sony Exmor R, 14.2MP""}, ""zoom"": {""opticalX"": 12, ""digitalX"": 12}, ""matrixInputs"": 0, ""matrixOutputs"": 3, ""routedInputCount"": 0, ""routedOutputCount"": 3, ""physicalOutputCount"": 3, ""mirroredOutputCount"": 0}","BirdDog P4K: broadcast-grade PTZ camera with a 1.0-type Sony Exmor R sensor (14.2MP), 12x optical zoom, and simultaneous full-bandwidth NDI, HDMI, and 6G-SDI output, supporting 4Kp29.97 and up to 1080p60.",4K capped at ~30fps (29.97/25/24/23.98); higher frame rates (50/60) only available at 1080p/720p.,Broadcast PTZ camera with NDI,CAM-420-PTZ,high,https://birddog.tv/p4k-overview/p4k-techspecs/,2026-07-06,Claude research pass,Added during competitor SKU-coverage expansion (PTZ camera category). Verified via BirdDog official tech specs page.,"[""BDP4K""]",0,3,3,,derived,Spec sheet: HDMI (1) + 6G-SDI (2) + NDI (1) simultaneous outputs,comparison-only-verify
