manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
Blustream,ACM210,ACM210,,CONTROL,,controller,approved,curated-fingerprint,,,,,,CONTROL,,,[],[],"[""RS-232"", ""TCP/IP"", ""IR""]",[],"[""Web GUI"", ""PoE"", ""Drag And Drop Source Selection"", ""GPIO""]","{""ports"": {""lan"": 2, ""rs232"": 1, ""gpio"": 1, ""irInput"": 1}, ""power"": {""poe"": true, ""poeConsumptionW"": 4.0}}","Blustream ACM210 Advanced Control Module Gen 2 providing advanced third-party control (TCP/IP, RS-232, IR) of Blustream IP50HD/IP200UHD/IP250UHD/IP300UHD/IP350UHD Multicast AVoIP systems, with a web-based drag-and-drop control interface and PoE power.",,No direct WyreStorm hardware equivalent,Standalone AV control/automation module; no WyreStorm equivalent,medium,https://www.blustream-us.com/video-over-ip-extenders-acm210,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""acm210""]",,,,,,,,,,,
Blustream,C44-KIT,C44-KIT,,Matrix,HDBaseT Matrix Kit,matrix switcher,approved,sku-seed,HDBaseT,4,4,4K UHD (40m) / 4K60 4:2:0,,HDBASET,matrix,many-to-many,"[{""type"": ""HDMI"", ""count"": 4}]","[{""type"": ""HDBaseT"", ""count"": 4}, {""type"": ""HDMI (local)"", ""count"": 1}]","[""RS-232"", ""TCP/IP"", ""IR""]","[""HDMI Embedded Audio""]","[""4x4 HDBaseT matrix kit, includes 4x HEX70B-RX receivers"", ""70m HDBaseT range (40m at 4K)"", ""VGA-WUXGA and 480i-4K support"", ""Bidirectional IR + RS-232 pass-through""]","{""video"": {""maxResolution"": ""4K""}, ""distance"": {""meters70"": ""1080p"", ""meters40"": ""4K""}, ""matrixInputs"": 4, ""matrixOutputs"": 4, ""routedInputCount"": 4, ""routedOutputCount"": 4}",Blustream C44-KIT 4x4 HDBaseT matrix kit (bundled with 4 receivers) extending HDMI up to 70m (40m at 4K UHD) with bidirectional IR/RS-232 control.,,4x4 HDBaseT matrix kit,MXV-0404-H2A-KIT-V2,high,https://www.blustream-us.com/4x4-hdbaset-matrix-c44-kit,2026-08-15,Claude research pass,"Verified via official Blustream C44-KIT page: 4x4 matrix bundled with 4 HEX70B-RX receivers, 70m/40m(4K) range, RS-232/TCP-IP/IR control. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],4,4,,,,,,,,,
Blustream,C88CS,C88CS,,Matrix,HDBaseT Matrix,matrix switcher,approved,sku-seed,HDBaseT,8,8,4K60 4:4:4,,HDBASET,matrix,many-to-many,"[{""type"": ""HDMI"", ""count"": 8}]","[{""type"": ""HDBaseT"", ""count"": 8}, {""type"": ""HDMI (mirrored on output 1)"", ""count"": 1}]","[""RS-232"", ""IR"", ""Web GUI""]","[""HDMI Embedded Audio""]","[""8x8 HDMI2.0 4K60 4:4:4 HDCP2.2 matrix using CSC technology"", ""40m at 4K60 4:4:4 (70m at 1080p) over single CAT cable"", ""Output 1: simultaneous HDMI + HDBaseT"", ""Video down-conversion on HDBaseT outputs"", ""Bidirectional IR/RS-232 on all outputs"", ""Web browser control""]","{""video"": {""maxResolution"": ""4K60 4:4:4""}, ""distance"": {""meters"": 40}, ""matrixInputs"": 8, ""matrixOutputs"": 8, ""routedInputCount"": 8, ""routedOutputCount"": 8, ""physicalOutputCount"": 9, ""mirroredOutputCount"": 1}","Blustream C88CS 8x8 HDMI 2.0 HDBaseT CSC matrix delivering 4K60 4:4:4 with PoC, video down-conversion, mirrored HDMI+HDBaseT on output 1, and bidirectional IR/RS-232.",,8x8 HDBaseT matrix,MXV-0808-H2A-KIT,high,https://www.blustream-us.com/8x8-hdbaset-matrix-c88cs,2026-08-15,Claude research pass,"Verified via official Blustream C88CS page: 8x8 CSC matrix, 4K60 4:4:4, 40m/70m(1080p), simultaneous HDMI+HDBaseT on output 1, down-conversion. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],8,8,,,,,,,,,
Blustream,HMX44-18G-KIT,HMX44-18G-KIT,,MATRIX,,Matrix,approved,curated-fingerprint,,4,4,4K60 4:4:4,4:4:4,MATRIX,,,"[{""type"": ""HDMI"", ""count"": 4}]","[{""type"": ""HDBaseT"", ""count"": 4}, {""type"": ""HDMI (local, output 1)"", ""count"": 1}]","[""RS-232"", ""TCP/IP"", ""IR"", ""Web GUI""]","[""HDMI Embedded Audio"", ""Analog Audio"", ""Optical S/PDIF Audio"", ""ARC""]","[""4x4 independent HDMI to HDBaseT routing"", ""Simultaneous HDMI+HDBaseT on output 1"", ""14x4 independent audio matrix"", ""HDR10/10+ support"", ""PoC (Power over Cable)"", ""HDBaseT 3"", ""Includes 4x RX18G receivers"", ""1U rackmountable""]","{""video"": {""maxResolution"": ""4K60 4:4:4"", ""hdmiVersion"": ""2.0"", ""bandwidthGbps"": 18, ""hdcp"": ""2.3/2.2"", ""hdr"": [""HDR10"", ""HDR10+""]}, ""distance"": {""meters"": 100}, ""audioMatrix"": ""14x4"", ""matrixInputs"": 4, ""matrixOutputs"": 4, ""routedInputCount"": 4, ""routedOutputCount"": 4}","Blustream HMX44-18G-KIT 4x4 uncompressed HDBaseT 3 matrix delivering HDMI2.0 18Gbps 4K60 4:4:4 (HDR10/10+) up to 100m over CAT6A, with simultaneous HDMI+HDBaseT on output 1, an independent 14x4 audio matrix, ARC, and bundled 4x RX18G receivers.",,4x4 HDMI matrix kit,MX-0404-KIT (4x4 HDBaseT matrix with receiver),medium,https://www.blustream-us.com/4x4-hdbaset-matrix-hmx44-18g-kit,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""hmx4418gkit""]",4,4,,,,,,,,,
Blustream,HMX88-18G-KIT,HMX88-18G-KIT,,MATRIX,,Matrix,approved,curated-fingerprint,,8,8,4K60 4:4:4,4:4:4,MATRIX,,,"[{""type"": ""HDMI"", ""count"": 8}]","[{""type"": ""HDBaseT"", ""count"": 8}, {""type"": ""HDMI (local, outputs 1 & 2)"", ""count"": 2}]","[""RS-232"", ""TCP/IP"", ""IR"", ""Web GUI""]","[""HDMI Embedded Audio"", ""Analog Audio"", ""Optical S/PDIF Audio"", ""ARC""]","[""8x8 independent HDMI to HDBaseT routing"", ""Simultaneous HDMI+HDBaseT on outputs 1 & 2"", ""26x8 independent audio matrix"", ""HDR10/10+ support"", ""PoC (Power over Cable)"", ""HDBaseT 3"", ""2U rackmountable""]","{""video"": {""maxResolution"": ""4K60 4:4:4"", ""hdmiVersion"": ""2.0"", ""bandwidthGbps"": 18, ""hdcp"": ""2.3/2.2"", ""hdr"": [""HDR10"", ""HDR10+""]}, ""distance"": {""meters"": 100}, ""audioMatrix"": ""26x8"", ""matrixInputs"": 8, ""matrixOutputs"": 8, ""routedInputCount"": 8, ""routedOutputCount"": 8}","Blustream HMX88-18G 8x8 uncompressed HDBaseT 3 matrix delivering HDMI2.0 18Gbps 4K60 4:4:4 (HDR10/10+) up to 100m over CAT6A, with simultaneous HDMI+HDBaseT on outputs 1 & 2 and an independent 26x8 audio matrix with ARC.","Could not confirm a distinct 'HMX88-18G-KIT' SKU; Blustream's current site lists the matrix as 'HMX88-18G' whose box contents do not include bundled RX18G receivers (unlike the HMX44-18G-KIT, which ships with 4 receivers). Data reflects the HMX88-18G base unit — verify exact kit/bundle contents before quoting.",8x8 HDMI matrix kit,MX-0808-KIT-V2,medium,https://www.blustream-us.com/hmxl88arc-2,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""hmx8818gkit""]",8,8,,,,,,,,,
Blustream,IP200UHD-RX,IP200UHD-RX,,AVoIP,AV over IP decoder,decoder,approved,sku-seed,AVoIP,,1,4K30,,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN (1Gb)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""IR (bidirectional)"", ""RS-232"", ""USB/KVM""]","[""HDMI Embedded Audio"", ""Analog L/R breakout""]","[""Visually-lossless UHD over 1Gb network, 100m reach"", ""Up/down-scaling"", ""PoE"", ""HDCP 2.2, advanced EDID management"", ""4 modes: matrix, video wall, 1-to-1, 1-to-many extension""]","{""video"":{""maxResolution"":""3840x2160@30""},""distance"":{""meters"":100},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless proprietary compression""}","Blustream IP200UHD-RX 4K HDCP2.2 AVoIP receiver delivering HDMI/IR/RS-232/USB-KVM over 1Gb network up to 100m, supporting matrix, video wall, and point-to-point/multipoint extension modes.",,NetworkHD 100 (standard 1GbE AVoIP decoder),NHD-120-RX,high,https://www.blustream-us.com/video-over-ip-extenders-ip200uhd-rx,2026-08-15,Claude research pass,"Verified via official Blustream IP200UHD-RX page: 100m over 1Gb network, PoE, HDCP2.2, 4 operational modes (matrix/video wall/1:1/1:many). | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,1GbE managed AV network,,Visually lossless proprietary compression,not-publicly-confirmed
Blustream,IP200UHD-TX,AV over IP encoder,IP,AVoIP,AV over IP encoder,encoder,approved,structured-catalog,AVoIP,1,,4K60 4:2:0 / 4K30 4:4:4,,AVOIP,endpoint,unidirectional,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Analog Audio (3.5mm)"", ""count"": 1}]","[{""type"": ""LAN (1Gb)"", ""count"": 1}]","[""IR (bidirectional)"", ""RS-232"", ""USB-B/KVM""]","[""HDMI Embedded Audio"", ""RCA L/R Analog Out""]","[""1-frame latency HDMI over 1Gb network switch"", ""4K HDR UHD (3840x2160@30 4:4:4, 4096x2160@24 4:4:4, 4K60 4:2:0)"", ""PoE (switch or local)"", ""HDCP 2.2""]","{""video"":{""maxResolution"":""4K60 4:2:0""},""power"":{""poe"":true},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless proprietary compression""}","Blustream IP200UHD-TX 4K HDCP2.2 AVoIP transmitter delivering near-zero-latency (1-frame) HDMI/IR/RS-232/USB-KVM over a 1Gb network switch, PoE powered.",,AVoIP,NetworkHD encoder direction,high,https://www.blustream-us.com/video-over-ip-extenders-ip200uhd-tx,2026-07-05,Claude research pass,"competitor-compare.seed.json#14 merged into deployed competitor catalog. | competitor-compare.seed.json#5 merged into deployed competitor catalog. | data/product-intelligence-db.json#13 merged into deployed competitor catalog. | data/product-intelligence-db.json#24 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Blustream IP200 products are AV-over-IP transport endpoints for distributed video systems. | Compare IP200 devices against AVoIP encoder and decoder endpoints rather than fixed matrices. | Official competitor family guidance applied during canonical sync. | Closest Wingman recommendation is WyreStorm NetworkHD encoder/decoder architecture. | Check multicast / network readiness | Confirm USB requirements | Assess endpoint count | Verified via official Blustream IP200UHD-TX page: 1-frame latency, 4K HDR UHD up to 4K60 4:2:0, PoE, HDCP2.2, USB-B KVM.",[],,,,,,,,1GbE managed AV network,,Visually lossless proprietary compression,not-publicly-confirmed
Blustream,IP250UHD-RX,IP250UHD-RX,,AVoIP,AV over IP decoder,decoder,approved,sku-seed,AVoIP,,1,4K UHD (10Gb HDMI),,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN (dual RJ45)"", ""count"": 2}, {""type"": ""SFP Fiber"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""IR (bidirectional)"", ""RS-232"", ""USB/KVM (x2)""]","[""Optical S/PDIF In"", ""5-pin Phoenix Audio Out""]","[""10Gb HDMI + Dante distribution over managed 1Gb network"", ""Dual RJ45 for independent/combined HDMI + Dante"", ""SFP fiber uplink for extended distance"", ""100m over copper"", ""PoE""]","{""distance"":{""meters"":100},""network"":{""lanPorts"":2,""sfp"":true},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless proprietary compression""}","Blustream IP250UHD-RX 4K HDCP2.2 AVoIP receiver with Dante-capable dual-LAN network interface, SFP fiber uplink, and 100m copper reach, supporting independent or combined video/Dante distribution.",,"NetworkHD 500 (premium AVoIP, fibre/dual-LAN)",NHD-500-RX,high,https://www.blustream-us.com/video-over-ip-extenders-ip250uhd-rx,2026-08-15,Claude research pass,"Verified via official Blustream IP250UHD-RX page: dual RJ45 (HDMI/Dante), SFP fiber, 100m copper reach, PoE, USB/KVM x2. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,1GbE managed AV network,,Visually lossless proprietary compression,not-publicly-confirmed
Blustream,IP250UHD-TX,IP250UHD-TX,,AV-over-IP endpoint,,encoder,approved,reviewed-import,1GbE AVoIP,1,1,4K60 4:2:0 / 4K30 4:4:4,,,,,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Analog Audio (5-pin Phoenix)"", ""count"": 1}]","[{""type"": ""LAN (dual RJ45)"", ""count"": 2}, {""type"": ""SFP Fiber"", ""count"": 1}, {""type"": ""HDMI (loop-out)"", ""count"": 1}, {""type"": ""Analog Audio (5-pin Phoenix)"", ""count"": 1}]","[""IR (bidirectional)"", ""RS-232"", ""USB/KVM (USB-B)""]","[""HDMI Embedded Audio"", ""Dante (2ch TX/RX)"", ""Analog Audio""]","[""10Gb HDMI over 1Gb network (visually lossless)"", ""Dante integration"", ""SFP fiber uplink"", ""PoE"", ""HDMI loop-out"", ""OLED front panel display"", ""4 operational modes (Matrix/Video Wall/1:1/1:many)"", ""USB/KVM extension"", ""1-frame latency""]","{""video"":{""maxResolution"":""4K60 4:2:0 / 4K30 4:4:4"",""hdr"":true},""distance"":{""meters"":100},""network"":{""lanPorts"":2,""sfp"":true},""latency"":""1 frame (16-33ms)"",""power"":{""poe"":true,""poeDrawW"":8,""poeMaxW"":9.2},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless proprietary compression""}","Blustream IP250UHD-TX 4K HDCP2.2 AVoIP transmitter delivering visually-lossless 10Gb HDMI plus 2-channel Dante audio over a 1Gb network (100m copper or SFP fiber uplink), with HDMI loop-out, USB/KVM and RS-232/IR extension, and PoE power.",USB/KVM connectivity noted by Blustream as limited to bulk-mode USB devices (e.g. bulk mode cameras); not confirmed to support isochronous USB data transfer for video-conferencing cameras.,NetworkHD 500 encoder,NHD-500-TX,medium,https://www.blustream-us.com/video-over-ip-extenders-ip250uhd-tx,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],,,,,,,,1GbE managed AV network,,Visually lossless proprietary compression,not-publicly-confirmed
Blustream,IP300UHD-RX,IP300UHD Decoder,IP300,AVoIP,,Receiver,approved,curated-fingerprint,AVoIP,1,1,4K60,,AVOIP,endpoint,bidirectional,"[{""type"":""LAN"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""LAN"",""count"":1},{""type"":""USB 2.0"",""count"":1}]","[""TCP/IP"",""RS-232"",""IR""]","[""Embedded Audio"",""Analog Audio""]","{""receiverKit"":true}","{""video"":{""maxResolution"":""4K60"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless proprietary compression""}","4K HDCP 2.2 HDMI-over-IP multicast decoder with HDMI output, USB and control extension, and one-gigabit AV transport.",,"NetworkHD 500 (premium 1GbE AVoIP decoder, USB)",NHD-500-RX,high,https://www.blustream-us.com/ip300uhd-rx,2026-06-28,Wingman curated fingerprint migration,"Official Blustream IP300UHD-RX page. | data/product-intelligence-db.json#12 merged into deployed competitor catalog. | data/product-intelligence-db.json#14 merged into deployed competitor catalog. | data/product-intelligence-db.json#25 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Blustream IP300 products are AV-over-IP endpoints for managed networked distribution. | Compare IP300 products against AVoIP endpoints, not against switchers or HDBaseT kits. | Official competitor family guidance applied during canonical sync.","[""ip300uhdrx""]",,,,,,,,1GbE managed AV network,,Visually lossless proprietary compression,not-publicly-confirmed
