manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
Crestron,AM-3200-WF-I,AirMedia Series 3 AM-3200-WF-I,AirMedia,UC,,wireless-conferencing-hub,draft,structured-catalog,Local,,,4K,,Wireless Conferencing,collaboration appliance,bidirectional,"[{""type"":""LAN"",""count"":1},{""type"":""Wi-Fi"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB-A"",""count"":2}]","[""TCP/IP"",""Cloud Management"",""Web UI""]","[""HDMI Audio"",""USB Audio""]","[""Wireless presentation"",""Wireless conferencing"",""AirPlay"",""Miracast"",""Digital signage"",""Cloud deployment"",""Multi-source presentation"",""BYOD"",""BYOM""]","{""video"":{""maxResolution"":""4K"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":false}}","Secure wireless presentation and conferencing system with native AirPlay and Miracast, digital signage, cloud management, and support for presenting multiple 4K sources onscreen.",,,,medium,https://www.crestron.com/Products/Workspace-Solutions/Wireless-Presentation/AirMedia-Presentation-Systems/AM-3200-WF-I,,,"Official Crestron AirMedia Series 3 page. | data/product-intelligence-db.json#19 merged into deployed competitor catalog. | data/product-intelligence-db.json#21 merged into deployed competitor catalog. | data/product-intelligence-db.json#32 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | AirMedia is Crestron's wireless presentation and conferencing platform for BYOD and BYOM rooms. | Compare AirMedia receivers against wireless presentation and conferencing hubs, not plain matrices. | Official competitor family guidance applied during canonical sync.",[],,,,,,,
Crestron,AM-TX3-100,AirMedia Connect Adaptor AM-TX3-100,AirMedia,Accessories,Accessory,accessory,draft,structured-catalog,Local,,,4K,,Wireless Collaboration,accessory,bidirectional,"[{""type"":""USB-C"",""count"":1}]","[{""type"":""Wireless Presentation"",""count"":1}]","[""Pairing""]","[""Embedded Audio""]","[""Wireless presentation"",""USB-C dongle"",""One-touch sharing"",""Guest collaboration"",""Wireless conferencing"",""BYOD"",""BYOM"",""Wireless collaboration accessory""]","{""video"":{""maxResolution"":""4K"",""hdr"":false}}",USB-C wireless presentation dongle for one-touch AirMedia room sharing and guest collaboration workflows.,,,,medium,https://www.crestron.com/Products/Workspace-Solutions/Wireless-Presentation/AirMedia-Wireless-Conferencing/AM-TX3-100,,,"Official Crestron AirMedia Connect Adaptor page. | data/product-intelligence-db.json#20 merged into deployed competitor catalog. | data/product-intelligence-db.json#22 merged into deployed competitor catalog. | data/product-intelligence-db.json#33 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | AirMedia is Crestron's wireless presentation and conferencing platform for BYOD and BYOM rooms. | Compare AirMedia receivers against wireless presentation and conferencing hubs, not plain matrices. | Official competitor family guidance applied during canonical sync. | AirMedia transmitter units are wireless collaboration accessories for AirMedia room systems. | Treat AirMedia transmitters as accessories, not as conferencing hubs or switchers.",[],,,,,,,
Crestron,DM-MD8X8,DM-MD8X8,DM Modular Matrix,Matrix,,matrix-switcher,draft,structured-catalog,Local,8,8,4K60 4:4:4,,Matrix Switching,matrix chassis,many-to-many,"[{""type"":""Modular Input"",""count"":8}]","[{""type"":""Modular Output"",""count"":8}]",[],[],"[""matrix"",""switching"",""Enterprise routing"",""Modular matrix""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""matrixInputs"":8,""matrixOutputs"":8,""routedInputCount"":8,""routedOutputCount"":8}",Matrix Switcher legacy competitor reference record.,,,,medium,https://www.crestron.com/search-results?query=DM-MD8X8,,,src/competitor/competitors.json#9 merged into deployed competitor catalog. | data/product-intelligence-db.json#23 merged into deployed competitor catalog. | data/product-intelligence-db.json#34 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DigitalMedia modular matrix products are enterprise routing chassis for large AV switching systems. | Compare DigitalMedia modular matrixes against modular or enterprise matrix systems rather than room switchers. | Official competitor family guidance applied during canonical sync.,[],8,8,,,derived,SKU evidence: DM-MD8X8,comparison-only-verify
Crestron,DM-NVX-350,DM-NVX-350,,AVOIP,,Transceiver,approved,curated-fingerprint,,1,1,4K60,4:4:4,AVOIP,,,[],[],[],[],"{""usbRouting"":true,""usbC"":false,""dante"":false,""tenGig"":false}",{},,,,,high,https://www.crestron.com/Products/Video/DM-NVX-Series,2026-06-28,Wingman curated fingerprint migration,,"[""dmnvx350""]",,,,,,,
Crestron,DM-NVX-351,DM-NVX-351,,,,,needs-evidence,sku-seed,,,,,,,,,[],[],[],[],[],{},,,,,low,,,,,[],,,,,,,
Crestron,DM-NVX-360,DM NVX 360 AV-over-IP Encoder/Decoder,DM NVX,AVoIP,AV over IP encoder/decoder,transceiver,draft,structured-catalog,AVoIP,,,4K60 4:4:4,,AVoIP,endpoint,bidirectional,"[{""type"":""Analog Audio"",""count"":1},{""type"":""HDMI"",""count"":1},{""type"":""LAN"",""count"":1}]","[{""type"":""Analog Audio"",""count"":1},{""type"":""HDMI"",""count"":1},{""type"":""LAN"",""count"":1},{""type"":""USB 2.0"",""count"":1}]","[""TCP/IP"",""RS-232"",""IR"",""802.1X""]","[""Embedded Audio"",""Analog Audio"",""DM NAX Audio Return"",""AES67""]","[""1Gb AV over IP"",""USB/KVM support"",""Enterprise AV routing"",""Control integration"",""AVoIP"",""AVoIP endpoint"",""USB 2.0 extension"",""PoE+"",""802.1X"",""AES encryption"",""Video wall"",""Matrix switching"",""Video wall processing"",""Scaling"",""USB/KVM"",""AES67""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","4K60 4:4:4 AV-over-IP endpoint over 1GbE with HDMI and analog audio I/O, USB 2.0 extension, PoE+, and secure enterprise-network features.",,AVoIP,NetworkHD 100/200 Series direction,medium,https://www.crestron.com/Products/Video/DigitalMedia-NVX-Endpoints/DM-NVX-360,,,"competitor-compare.seed.json#1 merged into deployed competitor catalog. | Official Crestron DM NVX 360 page. | data/product-intelligence-db.json#21 merged into deployed competitor catalog. | data/product-intelligence-db.json#24 merged into deployed competitor catalog. | data/product-intelligence-db.json#35 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DM NVX 360 is a bidirectional AV-over-IP endpoint with scaling, video wall processing, USB and KVM routing, and AES67 support. | Compare DM NVX 360 against high-function AVoIP endpoints with scaling and wall features, not against standalone multiview processors. | Official competitor family guidance applied during canonical sync. | Closest Wingman direction is WyreStorm NetworkHD family for 1Gb AV over IP distribution with enterprise-style routing. | Validate USB expectations | Confirm decoder/encoder quantity | Check control system integration needs",[],,,,,,,
Crestron,DM-NVX-363,DM-NVX-363,,,,,needs-evidence,sku-seed,,,,,,,,,[],[],[],[],[],{},,,,,low,,,,,[],,,,,,,
Crestron,DM-NVX-D30,DM-NVX-D30,DM-NVX,AVoIP,,Decoder,approved,curated-fingerprint,AVoIP,1,1,4K60,4:4:4,AVOIP,endpoint,rx,"[{""type"":""LAN"",""count"":1}]","[{""type"":""HDMI"",""count"":1}]",[],[],"{""usbRouting"":true,""tenGig"":false}","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}",AV over IP Decoder legacy competitor reference record.,,,,high,https://www.crestron.com/search-results?query=DM-NVX-D30,2026-06-28,Wingman curated fingerprint migration,"src/competitor/competitors.json#4 merged into deployed competitor catalog. | data/product-intelligence-db.json#25 merged into deployed competitor catalog. | data/product-intelligence-db.json#36 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DM NVX D-series products are decoder-side AV-over-IP endpoints for distributed Crestron routing systems. | Compare DM NVX decoders against AVoIP decoders by endpoint role, transport, and scaling features. | Official competitor family guidance applied during canonical sync.","[""dmnvxd30"",""dmnvxd31""]",,,,,,,
Crestron,DM-NVX-DIR2,DM NVX Director Virtual Switching Appliance,DM NVX,Control,,controller,draft,structured-catalog,AVoIP,,,,,AVoIP,controller,bidirectional,"[{""type"":""LAN"",""count"":2}]",[],"[""TCP/IP"",""HTTPS"",""Web UI"",""REST API""]",[],"[""AVoIP controller"",""Virtual matrix switching"",""Endpoint monitoring"",""Bulk configuration"",""Browser-based management"",""Diagnostics"",""Distributed AV decoder"",""AVoIP management"",""System orchestration""]",{},"AV over IP management appliance for DM NVX systems that provides browser-based virtual matrix switching, endpoint monitoring, bulk configuration, and diagnostics.",,,,medium,https://www.crestron.com/Products/Video/DigitalMedia-NVX-Management/DM-NVX-DIR-ENT,,,"Official Crestron DM NVX Director page. | data/product-intelligence-db.json#22 merged into deployed competitor catalog. | data/product-intelligence-db.json#26 merged into deployed competitor catalog. | data/product-intelligence-db.json#37 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DM NVX D-series products are decoder-side AV-over-IP endpoints for distributed Crestron routing systems. | Compare DM NVX decoders against AVoIP decoders by endpoint role, transport, and scaling features. | Official competitor family guidance applied during canonical sync. | DM NVX Director products are management and control platforms for Crestron DM NVX AVoIP systems. | Treat DM NVX Director as the control plane for an AVoIP deployment, not as a media endpoint.",[],,,,,,,
Crestron,DM-NVX-E30,DM NVX E30,DM NVX,AVoIP,,Encoder,approved,curated-fingerprint,AVoIP,1,1,4K60,4:4:4,AVOIP,endpoint,tx,"[{""type"":""HDMI"",""count"":1},{""type"":""LAN"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""LAN"",""count"":1},{""type"":""USB 2.0"",""count"":1}]","[""TCP/IP"",""RS-232"",""IR""]","[""Embedded Audio""]","{""usbRouting"":true,""tenGig"":false}","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","Compact 4K60 4:4:4 AV-over-IP endpoint for enterprise distribution, switching, and USB extension workflows over 1GbE.",,,,high,https://www.crestron.com/Products/Video/DigitalMedia-NVX-Endpoints/DM-NVX-E30,2026-06-28,Wingman curated fingerprint migration,Official Crestron DM NVX E30 page. | src/competitor/competitors.json#3 merged into deployed competitor catalog. | data/product-intelligence-db.json#23 merged into deployed competitor catalog. | data/product-intelligence-db.json#27 merged into deployed competitor catalog. | data/product-intelligence-db.json#38 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DM NVX E-series products are encoder-side AV-over-IP endpoints for Crestron distributed AV systems. | Compare DM NVX encoders against AVoIP encoders rather than room switchers or extenders. | Official competitor family guidance applied during canonical sync.,"[""dmnvxe30"",""dmnvxe31""]",,,,,,,
