manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
CYP,OR-44-4K22,CYP OR-44-4K22 4x4 HDMI Matrix,,Matrix Switcher,HDMI Matrix,matrix,approved,official-product-page,HDMI,4,4,4K60 4:4:4,4:4:4,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""HDMI"",""count"":4}]",[],[],[],{},4 x 4 Full 4K HDMI matrix switcher.,,Fixed HDMI matrix,MX-0404-HDMI,medium,https://cypeurope.com/product-category/matrices/,2026-08-15,Codex official-source pass,Likely comparison lane: fixed 4x4 HDMI matrix; exact audio/control details remain review-only. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,4,4,0,derived,Official CYP matrix catalogue identifies 4x4 Full 4K HDMI matrix,comparison-only-verify,,,,
CYP,OR-32USBC-4K22,CYP OR-32USBC-4K22 3x2 USB-C and HDMI Matrix,,Presentation Switcher,USB-C HDMI Matrix,presentation-switcher,approved,official-product-page,HDMI / USB-C,3,2,4K60 4:4:4,4:4:4,PRESENTATION,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":2},{""type"":""USB-C"",""count"":1}]","[{""type"":""HDMI"",""count"":2}]",[],"[""USB 3.0 hub""]","[""60W USB-C charging"",""HDR10"",""HLG"",""Dolby Vision""]",{},3 x 2 USB-C and HDMI matrix with USB Ethernet hub.,,Presentation switching,SW-130-TX / SW-510-TX,medium,https://cypeurope.com/news/usb-c-product-family-highlight/,2026-08-15,Codex official-source pass,Compare by I/O and USB workflow; not automatically equivalent to an in-wall transmitter. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],3,2,2,0,verified,Official CYP page states 2 HDMI plus 1 USB-C input and 2 HDMI outputs,comparison-only-verify,,,,
CYP,PUV-44XPL-AVLC-KIT,CYP PUV-44XPL-AVLC-KIT 4x4 HDBaseT Matrix Kit,,Matrix Switcher,HDBaseT Matrix Kit,matrix,approved,official-product-page,HDBaseT / HDMI,4,4,4K60,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""HDBaseT"",""count"":4}]","[""IR"",""RS-232""]",[],"[""Includes four receivers"",""Audio de-embedding"",""AVLC""]",{},4 x 4 HDMI to HDBaseT matrix kit supplied with four receivers.,,HDBaseT matrix kit,MXV-0404-H2A-KIT / MX-0404-KIT,medium,https://cypeurope.com/product-category/matrices/hdbaset-matrices/,2026-08-15,Codex official-source pass,Receiver inclusion and AVLC transport are important comparison dependencies. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,4,4,0,derived,Official CYP category identifies 4x4 matrix kit and four included receivers,comparison-only-verify,,,,
CYP,OR-88U-4K22,CYP OR-88U-4K22 8x8 HDMI Matrix,,Matrix Switcher,HDMI Matrix,matrix,approved,official-product-page,HDMI,8,8,4K60 4:4:4,4:4:4,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":8}]","[{""type"":""HDMI"",""count"":8}]",[],[],"[""HDR"",""EDID management"",""USB power for AOC extenders""]",{},8 x 8 full-bandwidth HDMI matrix switcher.,USB ports provide power only and are not a KVM path.,Fixed HDMI matrix,MX-0808-SCL / MX-0808-KIT-V2,high,https://cypeurope.com/product/or-88u-4k22-8-x-8-hdmi-matrix-switcher-with-usb-power-6g-4k-hdcp2-2-hdmi2-0/,2026-08-15,Codex official-source pass,Compare scaling and audio capabilities separately. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],8,8,8,0,verified,Official CYP product page states eight HDMI inputs and eight independently routed outputs,comparison-only-verify,,,,
CYP,EL-42M-PIP,CYP EL-42M-PIP 4x2 Seamless Matrix and Multiviewer,,Multiview Processor,HDMI matrix multiviewer,multiviewer,approved,official-product-page,HDMI,4,2,4K60,,MULTIVIEW,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""HDMI"",""count"":2}]",[],[],"[""Picture-in-picture"",""Seamless switching"",""Custom window size and position""]",{},4 x 2 HDMI seamless matrix switcher with picture-in-picture multiview.,Confirm simultaneous layout modes and output independence.,Multiview and matrix switching,NHD-0401-MV / SW-0206-VW,medium,https://cypeurope.com/product-category/matrices/,2026-08-15,Codex official-source pass,Outcome may require separate WyreStorm switching and multiview products. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,2,2,0,derived,Official CYP catalogue identifies 4x2 matrix and dual-output multiview functionality,comparison-only-verify,,,,
CYP,PUV-3090TX-UEA,CYP PUV-3090TX-UEA HDBaseT 3 Transmitter,,Extender,HDBaseT transmitter with USB,transmitter,approved,official-product-guide,HDBaseT,1,1,4K60 4:4:4,4:4:4,HDBASET,point-to-point,unidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB host"",""count"":1}]","[{""type"":""HDBaseT 3"",""count"":1},{""type"":""HDMI loop"",""count"":1}]","[""IR"",""RS-232""]","[""Analogue audio I/O""]","[""USB 2.0"",""LAN"",""100m"",""HDR""]",{},"HDBaseT 3 transmitter with HDMI loop-through, USB 2.0 and analogue audio.",Requires a compatible receiver; verify USB host selection and power arrangement.,HDBaseT 3 extension,EX-100-H2-EARC / EX-100-KVM,medium,https://cypeurope.com/wp-content/uploads/2024/01/CYP_Solutions_Guide_2024_Final_Web-1.pdf,2026-08-15,Codex official-source pass,Compare the complete transmitter/receiver dependency rather than the transmitter alone. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,2,1,derived,Official CYP solutions guide identifies the transmitter role and core transport features,comparison-only-verify,,,,
CYP,PUV-2608TX,CYP PUV-2608TX Multi-Format HDBaseT Transmitter,,Presentation Switcher,HDBaseT presentation transmitter,presentation-switcher,approved,official-product-page,HDBaseT / HDMI / USB-C,4,1,4K60 4:4:4,4:4:4,PRESENTATION,point-to-point,unidirectional,"[{""type"":""HDMI"",""count"":2},{""type"":""DisplayPort"",""count"":1},{""type"":""USB-C"",""count"":1}]","[{""type"":""HDBaseT 2"",""count"":1}]","[""IR"",""RS-232"",""CEC""]","[""Analogue audio embedding""]","[""USB 2.0"",""Reverse PoH"",""100m""]",{},"Four-input presentation transmitter with HDMI, DisplayPort, USB-C and HDBaseT output.",Requires a compatible PUV-2600 receiver and supports one active USB host at a time.,Presentation switching and extension,SW-130-TX / SW-120-TX3,high,https://cypeurope.com/product/puv-2608tx-hdbaset2-transmitter-multi-format-switch-with-usb-for-the-reverse-power-puv-2600-series-copy/,2026-08-15,Codex official-source pass,"Receiver inclusion, USB topology and local output requirements materially affect the match. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],4,1,1,0,verified,Official CYP product page states the four inputs and single HDBaseT extension path,comparison-only-verify,,,,
CYP,IP-7000C-TX,CYP IP-7000C-TX USB-C and HDMI AV over IP Transmitter,,Encoder/Decoder,1G AVoIP encoder,encoder,approved,official-product-page,AVoIP,2,1,4K30 4:4:4,4:4:4,AVOIP,many-to-many,unidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB-C"",""count"":1}]","[{""type"":""1GbE AVoIP"",""count"":1}]","[""IR"",""RS-232""]",[],"[""USB extension"",""PoE"",""Image rotation""]","{""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}",1G AV-over-IP transmitter with USB-C and HDMI inputs.,4K60 support is limited to 4:2:0; requires compatible CYP IP-7000 receivers and network control.,NetworkHD encoder,NHD-500-TX / NHD-510-TX,medium,https://cypeurope.com/news/usb-c-product-family-highlight/,2026-08-15,Codex official-source pass,"Confirm codec, latency, controller and USB workflow before proposing an architecture change. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],2,1,1,0,derived,"Official CYP USB-C family page identifies inputs, 1G transport and supported resolutions",comparison-only-verify,1GbE managed AV network,,,not-publicly-confirmed
CYP,MODX-1616,CYP MODX-1616 16x16 Full 4K Modular Matrix Chassis,MODX,Modular Matrix Chassis,16x16 modular matrix,matrix,approved,official-product-page,HDMI / HDBaseT,16,16,4K60 4:4:4,4:4:4,MATRIX,many-to-many,bidirectional,"[{""type"":""Modular input card slot"",""count"":4},{""type"":""HDMI system input"",""count"":1}]","[{""type"":""Modular output card slot"",""count"":4},{""type"":""HDMI system output"",""count"":1}]","[""Ethernet"",""RS-232"",""IR"",""Web GUI""]","[""Independent analogue audio matrix""]","[""Hot-swappable load-sharing dual PSU"",""Scaling on output cards"",""AVLC over HDBaseT""]","{""power"":""Dual IEC hot-swappable PSU"",""cardSlots"":""4 input plus 4 output""}",16x16 modular chassis accepting four 4-port input and four 4-port output cards.,Chassis requires separately selected MODX I/O cards; HDBaseT AVLC outputs require compatible receivers.,Modular matrix,MX-1616-S2 / MX-1616-H2XC,high,https://cypeurope.com/product/modx-1616-16-x-16-modular-matrix-chassis-inc-1x-ir-remote-1x-rack-ears-pair-1x-ir-emitters-2x-ir-receivers-2x-psus-2x-uk-eu-iec/,2026-08-15,Codex CYP expansion,Official page marks Core Product and documents redundant IEC power supplies. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],16,16,16,0,verified,Official page states up to 16 independently routed inputs to 16 outputs,comparison-only-verify,,,,not-applicable
CYP,INX-HDMI,CYP INX-HDMI 4-Port HDMI Input Card,MODX,Matrix Input Card,HDMI modular input card,matrix-card,approved,official-product-page,HDMI,4,0,4K60 4:4:4,4:4:4,MATRIX,many-to-many,unidirectional,"[{""type"":""HDMI"",""count"":4},{""type"":""Analogue stereo"",""count"":4}]",[],"[""IR emitter"" ]","[""Four independent analogue audio inputs""]","[""18Gbps per port"",""HDR"",""HDCP 2.2""]","{""power"":""Supplied by MODX-1616 chassis""}",Four-port 18Gbps HDMI input card for the MODX-1616.,Cannot operate standalone and consumes one MODX input-card slot.,Modular matrix input card,MX-1616 input-card architecture,high,https://cypeurope.com/product/inx-hdmi-4-port-hdmi-input-card-for-the-modx-1616-4khdr-dolby-vision-18gbps-6g-input-hdmi-2-0-hdcp2-2-1-x-analogue-audio-input-3-5mm-jack/,2026-08-15,Codex CYP expansion,Official page marks Core Product; power is chassis-dependent rather than a separate PSU. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,0,0,0,verified,Official page specifies four HDMI inputs and MODX-1616 dependency,comparison-only-verify,,,,not-applicable
