manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
Extron,DTP CROSSPOINT 84,DTP CrossPoint 84 4K,DTP CrossPoint,Matrix,Presentation Matrix with DTP Extension,matrix switcher,approved,structured-catalog,DTP,8,4,4K,,MATRIX,matrix,many-to-many,"[{""type"": ""HDMI"", ""count"": 6}, {""type"": ""DTP"", ""count"": 2}]","[{""type"": ""HDMI"", ""count"": 2}, {""type"": ""DTP"", ""count"": 2}]","[""RS-232"", ""IR"", ""TCP/IP"", ""IPCP Pro 350 (built-in)""]","[""Audio DSP"", ""Integrated Class D amplifier (2x50W@4ohm / 2x25W@8ohm / 1x100W@70V)""]","[""8x4 4K matrix with HDMI + DTP I/O"", ""Built-in IPCP Pro 350 control processor"", ""Comprehensive audio DSP + integrated amplifier"", ""330ft (100m) DTP extension"", ""2U enclosure""]","{""video"": {""maxResolution"": ""4K""}, ""distance"": {""feet"": 330, ""meters"": 100}, ""matrixInputs"": 8, ""matrixOutputs"": 4, ""routedInputCount"": 8, ""routedOutputCount"": 4}","Extron DTP CrossPoint 84 8x4 4K matrix switcher with 6 HDMI/2 DTP inputs, 2 HDMI/2 DTP outputs, built-in IPCP Pro 350 control processor, and integrated audio DSP/amplifier.",,8x4 hybrid matrix with extended-distance output,MX-1007-HYB (10x7 4K hybrid matrix),high,https://www.extron.com/product/dtpcp84ipcp,2026-07-05,Claude research pass,"Typical fixed matrix/switching requirement. | src/competitor/competitors.json#8 merged into deployed competitor catalog. | data/product-intelligence-db.json#31 merged into deployed competitor catalog. | data/product-intelligence-db.json#42 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Extron DTP CrossPoint products are presentation-centric matrix systems with scaling, integrated control, and DTP extension. | Compare DTP CrossPoint products as presentation matrices, not as plain local HDMI matrices. | Official competitor family guidance applied during canonical sync. | Verified via official Extron DTP CrossPoint 84 product page: 8x4 matrix (6 HDMI+2 DTP in, 2 HDMI+2 DTP out), built-in IPCP Pro 350, integrated amp, 100m DTP reach.",[],,,,,,,,,,,
Extron,DTP CROSSPOINT 84 4K,DTP CrossPoint 84 4K,DTP CrossPoint,Matrix,,matrix-switcher,approved,structured-catalog,HDBaseT,8,4,4K60 4:4:4,,Presentation Matrix,matrix chassis,many-to-many,"[{""type"":""DTP"",""count"":2},{""type"":""HDMI"",""count"":6}]","[{""type"":""DTP"",""count"":2},{""type"":""HDMI"",""count"":2}]","[""TCP/IP"",""RS-232"",""IR"",""Web UI""]","[""Embedded Audio"",""De-Embedded Audio"",""DSP""]","[""Matrix switching"",""Scaling"",""DTP extension"",""Control processor"",""Audio DSP"",""Presentation matrix"",""Integrated scaling""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","8x4 matrix switcher with HDMI and DTP inputs, dual HDMI outputs, scaled DTP outputs, and integrated control and audio functions.",,8x4 hybrid matrix with extended-distance output,MX-1007-HYB,high,https://www.extron.com/product/dtpcrosspoint84,2026-07-05,Claude research pass,"Official Extron DTP CrossPoint 84 4K product page and literature. | data/product-intelligence-db.json#43 merged into deployed competitor catalog. | data/product-intelligence-db.json#68 merged into deployed competitor catalog. | data/product-intelligence-db.json#44 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Extron DTP CrossPoint products are presentation-centric matrix systems with scaling, integrated control, and DTP extension. | Compare DTP CrossPoint products as presentation matrices, not as plain local HDMI matrices. | Official competitor family guidance applied during canonical sync. | Verified via official Extron DTP CrossPoint 84 4K page: 8x4 seamless scaling presentation matrix. Note: this row duplicates the separate 'DTP CROSSPOINT 84' SKU-seed row in this file.",[],,,,,,,,,,,
Extron,DTP T USW 233,HDBaseT switcher/transmitter,DTP,Switcher,HDBaseT Switcher/Transmitter,transmitter,approved,structured-catalog,DTP (HDBaseT-compatible),3,1,1920x1200 (1080p60 / 2K),,HDBASET,point-to-point,unidirectional,"[{""type"": ""HDMI"", ""count"": 2}, {""type"": ""RGBHV/Component"", ""count"": 1}]","[{""type"": ""DTP"", ""count"": 1}]","[""RS-232""]","[""Balanced/Unbalanced Analog Audio""]","[""3-input switcher with integrated DTP transmitter"", ""HDCP compliant"", ""230ft (70m) DTP extension"", ""Half-rack-wide enclosure""]","{""video"": {""maxResolution"": ""1920x1200""}, ""distance"": {""feet"": 230, ""meters"": 70}, ""physical"": {""dimensions"": ""1.0in H x 8.75in W x 6.0in D""}}","Extron DTP T USW 233 3-input (2 HDMI + 1 RGBHV/component) switcher with integrated DTP transmitter, extending signals up to 230ft (70m) with audio breakout.",,HDBaseT / Apollo,Apollo or HDBaseT presentation switching direction,high,https://www.extron.com/product/dtptusw233,2026-07-12,Claude research pass,"competitor-compare.seed.json#2 merged into deployed competitor catalog. | data/product-intelligence-db.json#32 merged into deployed competitor catalog. | data/product-intelligence-db.json#45 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DTP T USW products are presentation switcher transmitters that combine local source selection with DTP extension. | Compare DTP T USW products against presentation switcher transmitters and edge extenders, not fixed matrices. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#44 merged into deployed competitor catalog. | Closest WyreStorm direction is an Apollo or HDBaseT presentation-switching workflow depending on room and UC needs. | Check input mix | Confirm USB-C behavior | Assess room UC requirements | Verified via official Extron DTP T USW 233 product/spec pages: 2 HDMI + 1 RGBHV/component in, DTP out to 70m/230ft, half-rack enclosure.",[],,,,,,,,,,,
Extron,DTP2 R 211,DTP2 R 211,,HDBASET,,Receiver,review,curated-fingerprint,,1,1,4K60 4:4:4,4:4:4,HDBASET,,,"[{""type"":""HDBaseT"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""Analog Audio"",""count"":1}]","[""RS-232"",""IR""]","[""De-Embedded Audio""]","[""4K/60 4:4:4 HDMI receiver"",""HDCP 2.3"",""18Gbps max video data rate"",""330ft (100m) DTP2 extension"",""Bidirectional RS-232/IR pass-through"",""Audio de-embedding""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdcp"":""2.3"",""bandwidthGbps"":18},""distance"":{""feet"":330,""meters"":100}}",Extron DTP2 R 211 is a long-distance HDMI DTP2 receiver delivering 4K/60 4:4:4 video with audio de-embedding and bidirectional RS-232/IR pass-through up to 330ft (100m) over shielded twisted-pair cable.,,HDBaseT-class extender receiver,RX-70-4K,medium,https://www.extron.com/product/dtp2r211,2026-07-12,Claude research pass,,"[""dtp2r211""]",,,,,,,,,,,
Extron,DTP2 T 211,DTP2 T 211,,HDBASET,,Transmitter,review,curated-fingerprint,,1,1,4K60 4:4:4,4:4:4,HDBASET,,,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""HDBaseT"",""count"":1}]","[""RS-232"",""IR""]","[""Embedded Audio""]","[""4K/60 4:4:4 HDMI transmitter"",""HDCP 2.3"",""18Gbps max video data rate"",""330ft (100m) DTP2 extension"",""Bidirectional RS-232/IR pass-through"",""Analog audio embedding""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdcp"":""2.3"",""bandwidthGbps"":18},""distance"":{""feet"":330,""meters"":100}}",Extron DTP2 T 211 is a long-distance HDMI DTP2 transmitter delivering 4K/60 4:4:4 video with embedded analog audio and bidirectional RS-232/IR pass-through up to 330ft (100m) over shielded twisted-pair cable.,,HDBaseT-class extender transmitter,TX-35-IW,medium,https://www.extron.com/product/dtp2t211,2026-07-12,Claude research pass,,"[""dtp2t211"",""dtp3t201""]",,,,,,,,,,,
Extron,DTP3 CROSSPOINT 42,Presentation matrix,DTP3 CrossPoint,Matrix,Presentation matrix,matrix-switcher,approved,structured-catalog,HDBaseT,4,2,4K60 4:4:4,,Presentation Matrix,matrix chassis,many-to-many,"[{""type"":""HDMI"",""count"":3},{""type"":""USB-C"",""count"":1}]","[{""type"":""HDMI"",""count"":2}]","[""RS-232"",""TCP/IP"",""Web UI""]","[""Audio De-embed""]","[""Presentation matrix"",""4K/60"",""USB-C"",""DTP3"",""Scaling"",""Audio de-embedding"",""Matrix"",""HDBaseT"",""Apollo"",""Integrated scaling"",""DTP extension""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","4x2 presentation matrix with USB-C, HDMI, DTP3 extension, scaling, and local HDMI output alongside an extension output.",,Matrix / HDBaseT,Matrix / Apollo presentation direction,high,https://www.extron.com/product/dtp3crosspoint42,2026-07-13,Claude research pass,"competitor-compare.seed.json#3 merged into deployed competitor catalog. | Treat this as a matrix-led presentation workflow with extension, not a simple switcher or AVoIP wall. | Separate the matrix core from the DTP3 extension layer | Compare by local inputs, scaled outputs, and room control | data/product-intelligence-db.json#46 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Extron DTP CrossPoint products are presentation-centric matrix systems with scaling, integrated control, and DTP extension. | Compare DTP CrossPoint products as presentation matrices, not as plain local HDMI matrices. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#45 merged into deployed competitor catalog. | Treat this as a matrix-led presentation workflow with extension, not a simple switcher or AVoIP wall. | Separate the matrix core from the DTP3 extension layer | Compare by local inputs, scaled outputs, and room control | Verified via Extron DTP3 CrossPoint 42 official search/product listing: 4x2 presentation matrix with USB-C/HDMI/DTP3.",[],,,,,,,,,,,
Extron,DTP3 T 202,DTP3 T 202,,Extender,DTP3 Transmitter,transmitter,review,sku-seed,DTP3,1,1,"4K/60 (4096x2160@60, 4:4:4/4:2:0)",,HDBASET,point-to-point,unidirectional,"[{""type"": ""HDMI (or DVI-D via adapter)"", ""count"": 1}]","[{""type"": ""HDMI (loop-through)"", ""count"": 1}, {""type"": ""DTP3 (RJ-45)"", ""count"": 1}]","[""RS-232""]","[""HDMI De-embedded Digital Audio""]","[""4K/60 4:4:4 HDMI 2.0b, HDCP 2.3"", ""18Gbps max video data rate"", ""HDMI input loop-through for local monitoring"", ""Audio sample rates to 192kHz/24-bit""]","{""video"": {""maxResolution"": ""4096x2160@60"", ""chroma"": ""4:4:4"", ""bandwidthGbps"": 18, ""hdcp"": ""2.3""}}","Extron DTP3 T 202 4K/60 HDMI DTP3 transmitter with HDMI loop-through for local monitoring, HDCP 2.3, and 18Gbps video bandwidth.",,Extended-distance transmitter,EX-100-G2,high,https://www.extron.com/product/dtp3t202,2026-07-12,Claude research pass,"Verified via official Extron DTP3 T 202 spec sheet: 4K/60 4:4:4, HDMI loop-through, HDCP2.3, 18Gbps, DTP3 RJ-45 output.",[],,,,,,,,,,,
Extron,DTP3-R-201,DTP3 R 201,DTP3,Extender,,extender,draft,manufacturer-row,HDBaseT,1,1,4K60 4:4:4,,HDBaseT,1:1 extender,bidirectional,"[{""type"":""HDBaseT"",""count"":1}]","[{""type"":""Analog Audio"",""count"":1},{""type"":""HDMI"",""count"":1}]","[""RS-232""]","[""Embedded Audio"",""De-Embedded Audio""]","[""Extender receiver"",""De-embedded stereo audio"",""RS-232 pass-through"",""HDR"",""HDCP 2.3"",""Long-reach transport"",""HDBaseT extension""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0b"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}",Long-distance DTP3 receiver for HDMI and audio output with RS-232 pass-through and support for 4K60 4:4:4 signals over shielded twisted pair.,,HDBaseT,HDBaseT extender direction,low,https://www.extron.com/product/dtp3r201,2026-07-12,Claude research pass,Draft manufacturer row retained for lookup only. Requires evidence review before use as an approved competitor profile.,"[""DTP3 R 201""]",,,,,,,,,,,
Extron,DTP3-T-203,DTP3 T 203,DTP3,Extender,,extender,approved,structured-catalog,HDBaseT,3,1,4K60 4:4:4,,HDBaseT,1:1 extender,bidirectional,"[{""type"":""HDMI"",""count"":2},{""type"":""USB-C"",""count"":1}]","[{""type"":""HDBaseT"",""count"":1},{""type"":""HDMI"",""count"":1}]","[""TCP/IP"",""RS-232"",""CEC"",""USB""]","[""Embedded Audio"",""Audio Embedding""]","[""Presentation switcher"",""Extender transmitter"",""USB-C 60W charging"",""Ethernet control"",""HDR"",""Auto switching"",""Tally output"",""Long-reach transport"",""HDBaseT extension""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0b"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","Three-input long-distance presentation transmitter with two HDMI inputs, one USB-C input, local HDMI output, twisted-pair output, and USB-C charging.",,HDBaseT / Apollo,HDBaseT presentation / extender direction,high,https://www.extron.com/product/dtp3t203,2026-07-05,Claude research pass,"Official Extron DTP3 T 203 page. | data/product-intelligence-db.json#28 merged into deployed competitor catalog. | data/product-intelligence-db.json#34 merged into deployed competitor catalog. | data/product-intelligence-db.json#50 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DTP3 T and R products are long-reach HDBaseT extenders for source and display edge transport. | Compare DTP3 products against extenders and edge transport kits, not matrices or AVoIP. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#49 merged into deployed competitor catalog. | competitor-compare.seed.json#9 merged into deployed competitor catalog. | Treat this as an extender or source-stage transmitter, not as a matrix or AVoIP endpoint. | Compare loop-through, power delivery, and control pass-through | Do not use it as a substitute for wall processing | data/product-intelligence-db.json#48 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | DTP3 T and R products are long-reach HDBaseT extenders for source and display edge transport. | Compare DTP3 products against extenders and edge transport kits, not matrices or AVoIP. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#47 merged into deployed competitor catalog. | Treat this as an extender or source-stage transmitter, not as a matrix or AVoIP endpoint. | Compare loop-through, power delivery, and control pass-through | Do not use it as a substitute for wall processing | Verified via official Extron DTP3 T 203 product page: 2 HDMI + 1 USB-C input transmitter with local HDMI output, DTP3 twisted-pair extension.","[""DTP3 T 203""]",,,,,,,,,,,
Extron,IN1608,IN1608 xi,IN1608,Switcher,Scaling Presentation Switcher,presentation switcher,approved,structured-catalog,DTP,8,3,4K (scaled),,PRESENTATION,presentation switcher,many-to-one,"[{""type"": ""HDMI"", ""count"": 4}, {""type"": ""Universal Analog Video"", ""count"": 2}, {""type"": ""DTP"", ""count"": 2}]","[{""type"": ""HDMI"", ""count"": 2}, {""type"": ""DTP"", ""count"": 1}]","[""RS-232"", ""IR"", ""IPCP Pro xi (built-in)""]","[""Integrated Class D amplifier""]","[""8-input HDCP-compliant scaling presentation switcher"", ""DTP extension with HDBaseT-compatible output"", ""Built-in IPCP Pro xi control processor"", ""Integrated Class D audio amplifier""]","{""physical"": {""heightMm"": 44, ""widthMm"": 444, ""depthMm"": 241}}","Extron IN1608 xi 8-input scaling presentation switcher (4 HDMI, 2 analog, 2 DTP) with dual HDMI + DTP outputs, built-in IPCP Pro xi control processor, and integrated audio amplifier.",,Scaling presentation switcher,SW-510-TX,high,https://www.extron.com/product/in1608xi,2026-07-05,Claude research pass,"src/competitor/competitors.json#10 merged into deployed competitor catalog. | data/product-intelligence-db.json#35 merged into deployed competitor catalog. | data/product-intelligence-db.json#51 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Extron IN-series products are presentation switchers with scaling, audio handling, and room workflow features. | Compare IN-series products against presentation systems rather than plain matrices. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#50 merged into deployed competitor catalog. | Verified via official Extron IN1608 xi product/spec pages: 4 HDMI+2 analog+2 DTP in, 2 HDMI+1 DTP out, built-in IPCP Pro xi, integrated amp.",[],,,,,,,,,,,
