manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
HDANYWHERE,XTND4K100EARCUSB,HDANYWHERE XTND 4K 100 eARC and USB,XTND,Extender,HDMI eARC USB extender,kit,approved,official-product-library,HDMI over CAT,1,1,4K60,,USB_EXTENSION,point-to-point,bidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB"",""count"":1}]",[],"[""eARC""]","[""100m"",""18Gbps"",""PoH""]",{},Long-distance 18Gbps HDMI extender kit with eARC and USB.,Exact USB class and supported formats require datasheet confirmation.,HDMI USB extension,EX-100-H2-EARC / EX-100-KVM,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Likely comparison lane only pending full datasheet ingestion. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,1,0,derived,Official HDA library product summary,comparison-only-verify,,,,
HDANYWHERE,XTND4K40TPC,HDANYWHERE XTND 4K 40 TPC,XTND,Extender,HDMI extender,kit,approved,official-product-library,HDMI over CAT,1,1,4K60,,EXTENDER,point-to-point,unidirectional,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""HDMI mirror"",""count"":1}]","[""IR""]",[],"[""40m"",""TPC"",""mirror output""]",{},40m 4K HDMI extender kit with local mirror output and two-way IR.,TPC is proprietary compression and must not be labelled HDBaseT.,Point-to-point HDMI extension,EX-40-G3 / EX-40-H2-ARC,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Transport is outcome-comparable but not protocol-equivalent. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,2,1,derived,Official HDA library product summary,comparison-only-verify,,,,
HDANYWHERE,XTND4K14140TPC,HDANYWHERE XTND 4K 1x4+1 TPC Splitter,XTND,Distribution Amplifier,HDMI over CAT splitter,splitter,approved,official-product-library,HDMI over CAT,1,5,4K60,,DISTRIBUTION,one-to-many,unidirectional,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""CAT video"",""count"":4},{""type"":""HDMI mirror"",""count"":1}]","[""IR""]",[],"[""40m"",""TPC"",""daisy chain support""]",{},One-input four-way CAT distribution kit with local HDMI mirror output.,Mirrored distribution only; not independently routed.,HDMI distribution,EXP-SP-0104-H2,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Treat as 1x4+1 splitter and verify receiver inclusion. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,5,4,derived,Official HDA library product summary,comparison-only-verify,,,,
HDANYWHERE,MHUBU41140,HDANYWHERE MHUB U 4x1+1 40,,Matrix Switcher,HDMI over CAT matrix kit,matrix,approved,official-product-library,HDMI over CAT,4,2,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""CAT video"",""count"":1},{""type"":""HDMI local"",""count"":1}]",[],"[""ARC""]","[""40m"",""Complete package"",""Two display system""]",{},"Entry-level four-source system for two displays, including one remote 40m output.",The two display paths are not equivalent to a 4x4 matrix.,Small HDMI distribution system,MX-0404-KIT / EXP-MX-0402-H2,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Confirm whether both displays require independently selectable sources. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,2,2,0,derived,"Official HDA library identifies four inputs, two displays and 40m package",comparison-only-verify,,,,
HDANYWHERE,MHUB44100A,HDANYWHERE MHUB 4x4 100A,,Matrix Switcher,HDMI over CAT matrix kit,matrix,approved,official-product-library,HDMI over CAT,4,4,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""CAT video"",""count"":4}]",[],[],"[""100m"",""Complete receiver package"",""App control""]",{},Four-source four-display 100m matrix distribution package.,Proprietary transport; verify receiver inclusion and control dependencies.,HDBaseT matrix kit,MXV-0404-H2A-KIT / MX-0404-KIT,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,"Comparable by system outcome, not transport protocol. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],4,4,4,0,derived,"Official HDA library identifies four inputs, four displays and 100m package",comparison-only-verify,,,,
HDANYWHERE,MHUB66100A,HDANYWHERE MHUB 6x6 100A,,Matrix Switcher,HDMI over CAT matrix kit,matrix,approved,official-product-library,HDMI over CAT,6,6,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":6}]","[{""type"":""CAT video"",""count"":6}]",[],[],"[""100m"",""Complete receiver package"",""App control""]",{},Six-source six-display 100m matrix distribution package.,WyreStorm may require an 8x8 chassis or alternate architecture.,HDBaseT matrix system,MX-0808-KIT-V2 / MX-0808-SCL,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Capacity fit and receiver count are primary comparison checks. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],6,6,6,0,derived,"Official HDA library identifies six inputs, six displays and 100m package",comparison-only-verify,,,,
HDANYWHERE,MHUBS888100A,HDANYWHERE MHUB S 8+8x8 100A,,Matrix Switcher,Stackable HDMI over CAT matrix,matrix,approved,official-product-library,HDMI over CAT,8,8,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":8}]","[{""type"":""CAT video"",""count"":8}]",[],"[""Volume control""]","[""Stackable"",""Up to 80 displays"",""100m""]",{},Stackable eight-input/eight-output matrix platform for larger display systems.,Expansion topology is architectural and is not a one-box equivalence.,Scalable matrix or AVoIP,MX-0808-SCL / NetworkHD,medium,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Use room and output scale to decide fixed matrix versus NetworkHD. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],8,8,8,0,derived,Official HDA library identifies the base 8x8 system and stackable scale,comparison-only-verify,,,,
HDANYWHERE,MHUBS161616100A,HDANYWHERE MHUB S 16+16x16 100A,MHUB S,Matrix Switcher,Stackable HDMI over CAT matrix,matrix,approved,official-product-library,HDMI over CAT,16,16,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":16}]","[{""type"":""CAT video"",""count"":16},{""type"":""HDMI mirror"",""count"":4}]","[""CEC"",""IP/app""]","[""audio extraction"",""Atmos downmix""]","[""100m 4K"",""150m 1080p"",""stackable"",""up to 160+ displays"",""volume controllable"",""complete receiver package""]","{""included_receivers"":16,""base_routed_outputs"":16,""advertised_stacked_display_scale"":""160+""}",Sixteen-source base system with sixteen independently routed remote display paths; official stacking expands the architecture beyond the base chassis.,The 160+ display figure requires stacked MHUB architecture and must not be represented as 160 physical outputs on one chassis.,Large fixed matrix or AVoIP,MX-1616-SCL / NetworkHD,high,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Official current-firmware list identifies a 2024 release; complete package includes sixteen display RX units. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],16,16,20,4,documented,Official HDA library and MHUB comparison table document 16 routed outputs plus four HDMI mirrors,comparison-only-verify,LAN required for app/cloud management and stacking,,,
HDANYWHERE,MHUBPRO24440,HDANYWHERE MHUB PRO 2.0 4x4 40,MHUB PRO 2,Matrix Switcher,HDMI over CAT matrix kit,matrix,approved,official-product-library,HDMI over CAT,4,4,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":4},{""type"":""analogue audio aux"",""count"":4}]","[{""type"":""CAT video"",""count"":4},{""type"":""HDMI mirror"",""count"":4},{""type"":""analogue audio"",""count"":4}]","[""CEC"",""IR"",""RS-232"",""IP/app""]","[""ARC"",""audio extraction"",""5.1 downmix"",""4x4 audio matrix""]","[""40m 4K"",""70m 1080p"",""downscaling"",""complete receiver package"",""24V 5A PSU"",""68W system draw""]","{""included_receivers"":4,""routed_remote_outputs"":4,""source-following_hdmi_mirrors"":4,""audio_matrix"":""4x4""}","Four-by-four PRO matrix kit with four included display receivers, four source-following HDMI mirrors and an integrated audio matrix.",Eight physical video connectors do not constitute eight independently routed video zones; four HDMI mirrors follow outputs.,HDBaseT matrix with audio,MXV-0404-H2A-KIT / MX-0404-KIT,high,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,"Official power article gives 68W system draw; PRO 2 library and comparison table document ARC, downmix and four included RX. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],4,4,8,4,documented,Official HDA comparison table documents 4 outputs and 4 output mirrors,comparison-only-verify,LAN required for app/cloud management,,,
HDANYWHERE,MHUBPRO288100,HDANYWHERE MHUB PRO 2.0 8x8 100,MHUB PRO 2,Matrix Switcher,HDMI over CAT matrix kit,matrix,approved,official-product-library,HDMI over CAT,8,8,4K,,MATRIX,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":8},{""type"":""analogue audio aux"",""count"":4}]","[{""type"":""CAT video"",""count"":8},{""type"":""HDMI mirror"",""count"":8},{""type"":""analogue audio"",""count"":8}]","[""CEC"",""IR"",""RS-232"",""IP/app""]","[""ARC"",""audio extraction"",""5.1 downmix"",""4x8 audio matrix""]","[""100m 4K"",""100m 1080p"",""downscaling"",""complete receiver package"",""24V 6.3A PSU"",""130W system draw""]","{""included_receivers"":8,""routed_remote_outputs"":8,""source_following_hdmi_mirrors"":8,""audio_matrix"":""4x8""}","Eight-by-eight PRO matrix kit with eight included display receivers, eight source-following HDMI mirrors and integrated audio routing.",Sixteen physical video connectors do not constitute sixteen independently routed zones; the HDMI connectors mirror the eight routed outputs.,HDBaseT matrix with audio,MXV-0808-H2A-KIT / MX-0808-SCL,high,https://library.hdanywhere.com/,2026-08-15,Codex official-source pass,Official power article gives 130W system draw; PRO 2 library and comparison table document included RX and audio features. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],8,8,16,8,documented,Official HDA comparison table documents 8 outputs and 8 output mirrors,comparison-only-verify,LAN required for app/cloud management,,,
