manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
Just Add Power,MC-TX1,Just Add Power MC-TX1 MaxColor Encoder,MaxColor,Encoder/Decoder,AVoIP Encoder,encoder,review,official-product-page,AVoIP,1,1,4K60 4:4:4,4:4:4,AVOIP,many-to-many,unidirectional,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""1GbE AVoIP"",""count"":1}]","[""CEC"",""IR"",""RS-232""]","[""all lossless formats""]","[""HDR10+"",""Dolby Vision"",""ARC"",""PoE""]","{""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Proprietary visually lossless compression""}",MaxColor 4K60 4:4:4 encoder for managed-network AV distribution.,Requires compatible MaxColor decoders and managed network configuration.,NetworkHD encoder,NHD-500-TX / NHD-510-TX,high,https://www.justaddpower.com/wp-content/uploads/2023/02/jp-mc-tx1-spec.pdf,2026-08-03,Codex official-source pass,Architecture comparison only; codec and interoperability require review.,[],1,1,1,0,verified,Official MaxColor specification,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,MC-RX1,Just Add Power MC-RX1 MaxColor Decoder,MaxColor,Encoder/Decoder,AVoIP Decoder,decoder,review,official-product-page,AVoIP,1,1,4K60 4:4:4,4:4:4,AVOIP,many-to-many,unidirectional,"[{""type"":""1GbE AVoIP"",""count"":1}]","[{""type"":""HDMI"",""count"":1}]","[""CEC"",""IR"",""RS-232""]","[""all lossless formats""]","[""HDR10+"",""Dolby Vision"",""video wall rotation"",""ARC"",""PoE""]","{""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Proprietary visually lossless compression""}",MaxColor 4K60 4:4:4 decoder with video-wall support.,Requires compatible MaxColor encoders and managed network configuration.,NetworkHD decoder,NHD-500-RX / NHD-510-RX,high,https://www.justaddpower.com/products/mc-rx1/,2026-08-03,Codex official-source pass,Architecture comparison only; codec and interoperability require review.,[],1,1,1,0,verified,Official product page,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,MC-TX2,Just Add Power MC-TX2 MaxColor Encoder,MaxColor,Encoder/Decoder,AVoIP Encoder with USB,encoder,review,official-product-page,AVoIP,1,1,4K60 4:4:4,4:4:4,AVOIP,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB-C 2.0"",""count"":1}]","[{""type"":""1GbE AVoIP"",""count"":1},{""type"":""HDMI loop"",""count"":1}]","[""CEC"",""IR"",""RS-232""]",[],"[""USB 2.0 KVM"",""SFP option"",""ARC"",""PoE""]","{""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Proprietary visually lossless compression""}",MaxColor encoder with USB 2.0 KVM fiber option and HDMI loop output.,Requires compatible MaxColor decoder; USB is 2.0 rather than USB 3.,NetworkHD encoder with USB,NHD-500-TX / NHD-600-TRX,medium,https://www.justaddpower.com/category/product-maxcolor-series/,2026-08-03,Codex official-source pass,Compare USB class and network ecosystem explicitly.,[],1,1,2,1,verified,Official MaxColor product catalogue,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,MC-RX2,Just Add Power MC-RX2 MaxColor Decoder,MaxColor,Encoder/Decoder,AVoIP Decoder with USB,decoder,review,official-product-page,AVoIP,1,1,4K60 4:4:4,4:4:4,AVOIP,many-to-many,bidirectional,"[{""type"":""1GbE AVoIP"",""count"":1},{""type"":""SFP shared"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB-C 2.0"",""count"":2}]","[""CEC"",""IR"",""RS-232""]",[],"[""USB 2.0 KVM"",""SFP option"",""video wall rotation"",""ARC"",""PoE""]","{""networkSpeed"":""1GbE"",""poe"":true,""avoipChipStatus"":""not-publicly-confirmed"",""avoipChip"":null,""avoipCodec"":""Proprietary visually lossless compression""}",MaxColor decoder with USB 2.0 KVM shared fiber option scaling and video-wall support.,Requires compatible MaxColor encoders and a configured managed network.,NetworkHD decoder with USB,NHD-500-RX / NHD-600-TRX,high,https://www.justaddpower.com/category/product-maxcolor-series/,2026-08-13,Codex official-source expansion,Compare USB topology fiber requirement and ecosystem dependencies explicitly.,[],1,1,1,0,verified,Official MaxColor catalogue lists decoder connections and features,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,MC-TX3,Just Add Power MC-TX3 MaxColor AES67 Encoder,MaxColor,Encoder/Decoder,AVoIP Encoder with AES67,encoder,review,official-product-page,AVoIP,1,1,4K60 4:4:4,4:4:4,AVOIP,many-to-many,bidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB-C 2.0"",""count"":1}]","[{""type"":""1GbE AVoIP"",""count"":1},{""type"":""HDMI loop"",""count"":1}]","[""CEC"",""IR"",""RS-232""]","[""AES67 RTP"",""8-channel LPCM""]","[""USB 2.0 KVM"",""AES67"",""HDR10+"",""Dolby Vision"",""PoE""]","{""networkSpeed"":""1GbE"",""poe"":true,""aes67"":true,""avoipChipStatus"":""not-publicly-confirmed"",""avoipChip"":null,""avoipCodec"":""Proprietary visually lossless compression""}",MaxColor encoder adding AES67 RTP audio and USB 2.0 KVM to the 4K60 endpoint role.,Requires compatible MaxColor decoder managed network and AES67-aware audio design.,NetworkHD encoder with network audio,NHD-500-TX plus audio-network design,high,https://www.justaddpower.com/category/product-maxcolor-series/,2026-08-13,Codex official-source expansion,Do not treat AES67 as interchangeable with Dante without confirming the audio workflow.,[],1,1,2,1,verified,Official MaxColor catalogue identifies AES67 USB-C and HDMI loop,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,MC-TXWP1,Just Add Power MC-TXWP1 Wallplate Encoder,MaxColor,Encoder/Decoder,AVoIP wallplate encoder,encoder,review,official-product-page,AVoIP,1,1,4K60 4:4:4,4:4:4,AVOIP,many-to-many,unidirectional,"[{""type"":""HDMI wallplate"",""count"":1}]","[{""type"":""1GbE AVoIP"",""count"":1}]","[""CEC""]",[],"[""Wallplate form factor"",""HDR10+"",""Dolby Vision"",""ARC"",""PoE""]","{""networkSpeed"":""1GbE"",""poe"":true,""avoipChipStatus"":""not-publicly-confirmed"",""avoipChip"":null,""avoipCodec"":""Proprietary visually lossless compression""}",In-wall MaxColor source encoder for local room inputs and distributed 4K60 systems.,Requires compatible MaxColor decoders managed network and suitable wall-box installation.,NetworkHD wallplate encoder,NHD-120-IW-TX / NHD-500-TX family,high,https://www.justaddpower.com/products/mc-txwp1/,2026-08-13,Codex official-source expansion,Form factor and endpoint role are necessary requirements; do not replace with a chassis encoder without explaining installation impact.,[],1,1,1,0,verified,Official product page confirms wallplate encoder role and 4K60 features,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,MC-QX,Just Add Power MC-QX MaxColor Tiler and Warp Engine,MaxColor,Multiview,AVoIP tiler and rotation processor,multiview processor,review,official-product-page,AVoIP,4,1,4K60 4:4:4,4:4:4,MULTIVIEW,system processing endpoint,bidirectional,"[{""type"":""MaxColor network source"",""count"":4}]","[{""type"":""MaxColor encoded output"",""count"":1},{""type"":""HDMI local"",""count"":1}]","[""Network control""]",[],"[""Four-source tiling"",""360-degree rotation"",""KVM"",""Overlay"",""PoE""]","{""networkSpeed"":""1GbE"",""poe"":true,""multiview"":true,""maxWindows"":4,""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Proprietary visually lossless compression""}",Combined decoder and encoder used to tile four MaxColor sources or rotate and redistribute one source.,Not standalone: requires MaxColor encoders decoders a managed switch and system control.,NetworkHD multiview processing,NHD-150-RX / NHD-600-TRX architecture,high,https://www.justaddpower.com/category/product-maxcolor-series/,2026-08-13,Codex official-source expansion,Compare complete processing architecture window count rotation and required endpoints; not a conventional local HDMI multiviewer.,[],4,1,2,1,verified,Official MaxColor catalogue describes combined encoder/decoder tiling and warping,comparison-only-verify,1GbE managed AV network,,Proprietary visually lossless compression,not-publicly-confirmed
Just Add Power,UL-508POE,Ultra 4K Standard Decoder,Ultra,AVoIP,1GbE AV over IP decoder,decoder,review,official-manufacturer,AVoIP,,1,4K30,,AVOIP,endpoint,unidirectional,"[{""type"":""1GbE"",""count"":1}]","[{""type"":""HDMI"",""count"":1}]","[""RS-232"",""CEC"",""IR via dongle""]","[""HDMI embedded audio""]","[""Built-in scaler"",""Video wall"",""PoE""]","{""networkSpeed"":""1GbE"",""power"":{""poe"":true},""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}",UL-508POE is the standard Ultra decoder for 4K30 display endpoints over a managed 1GbE Just Add Power system.,Requires a compatible Ultra encoder and configured managed network switch.,NetworkHD 100-class AVoIP decoder,NHD-120-RX,high,https://www.justaddpower.com/products/,2026-08-13,Codex official-source expansion,Official current Ultra product catalogue.,[],1,1,1,0,official,Endpoint not fixed matrix,comparison-only-verify,1GbE managed AV network,,,not-publicly-confirmed
Just Add Power,UL-518AVP,Ultra 4K Decoder with USB and Stereo Out,Ultra,AVoIP,1GbE AV over IP decoder with KVM,decoder,review,official-manufacturer,AVoIP,,1,4K30,,AVOIP,endpoint,unidirectional,"[{""type"":""1GbE"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB-A 2.0"",""count"":2},{""type"":""Stereo 3.5mm"",""count"":1}]","[""RS-232"",""CEC"",""IR via dongle"",""USB KVM""]","[""Stereo extraction with delay/volume""]","[""Built-in scaler"",""Video wall"",""PoE"",""KVM""]","{""networkSpeed"":""1GbE"",""power"":{""poe"":true},""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}",UL-518AVP adds USB 2.0 KVM and adjustable stereo extraction to an Ultra 4K30 decoder endpoint.,Requires compatible Ultra encoder managed switch and IRD dongle for IR.,NetworkHD decoder with USB/KVM,NHD-500-RX,high,https://www.justaddpower.com/products/ul-518avp/,2026-08-13,Codex official-source expansion,Official product page.,[],1,1,1,0,official,Endpoint not fixed matrix,comparison-only-verify,1GbE managed AV network,,,not-publicly-confirmed
Just Add Power,UL-717WP2,Ultra 4K 2-Gang Wallplate Encoder with USB and VGA,Ultra,AVoIP,Wallplate AV over IP encoder,encoder,review,official-manufacturer,AVoIP,3,,4K30,,AVOIP,endpoint,unidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""VGA"",""count"":1},{""type"":""3.5mm line-in"",""count"":1}]","[{""type"":""1GbE"",""count"":1}]","[""USB 2.0 KVM"",""RS-232"",""CEC"",""IR""]","[""All HDMI audio formats"",""Analog line-in""]","[""PoE"",""23ms latency"",""Instant-seamless switching""]","{""networkSpeed"":""1GbE"",""power"":{""poe"":true},""latencyMs"":23,""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}",UL-717WP2 is a 2-gang HDMI/VGA/analog wallplate encoder with USB KVM for Ultra managed-network systems.,2021 and later hardware is Ultra-only and not compatible with 2G systems.,Wallplate AVoIP encoder with USB,NHD wallplate transmitter architecture,high,https://www.justaddpower.com/products/ul-717wp2/,2026-08-13,Codex official-source expansion,Official product page.,[],3,1,1,0,official,Three selectable source connectors feed one encoded stream,comparison-only-verify,1GbE managed AV network,,,not-publicly-confirmed
