manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
Lightware,DA2-HDMI,DA2-HDMI Distribution Amplifier,DA,Distribution,HDMI Distribution Amplifier,distribution-amplifier,approved,structured-catalog,Local,1,2,4K,,DISTRIBUTION,splitter,one-to-many,"[{""type"": ""HDMI"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 2}]","[""EDID Management""]","[""3.5mm Audio In / 5-pin Phoenix Out (Plus-A variant)""]","[""Advanced EDID Management / display emulation"", ""Pixel Accurate Reclocking"", ""HDCP enable/disable"", ""Powerable via HDMI 5V (no external PSU needed)"", ""Plus-A variant adds audio embed/de-embed""]","{""matrixInputs"": 1, ""matrixOutputs"": 2, ""routedInputCount"": 1, ""routedOutputCount"": 2}","Lightware DA2HDMI 1x2 HDMI distribution amplifier with advanced EDID management, Pixel Accurate Reclocking, and HDMI-powered operation (no external PSU required).",,1:2 HDMI distribution amplifier,EXP-SP-0102-H2,high,https://lightware.com/da2hdmi-4k-plus,2026-07-05,Claude research pass,"Official Lightware DA2-HDMI product page. | data/product-intelligence-db.json#39 merged into deployed competitor catalog. | data/product-intelligence-db.json#48 merged into deployed competitor catalog. | data/product-intelligence-db.json#73 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Lightware DA products are local distribution amplifiers for mirrored output workflows. | Compare DA products against splitters and mirrored distribution products, not matrices. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#71 merged into deployed competitor catalog. | Verified via official Lightware DA2HDMI-4K-Plus page: EDID management/display emulation, Pixel Accurate Reclocking, HDMI-powered, Plus-A variant adds audio embed/de-embed.",[],1,2,2,2,derived,Title evidence: HDMI distribution amplifier feeding two displays,comparison-only-verify
Lightware,MMX2-4x1-H20,Lightware MMX2-4x1-H20 HDMI 2.0 Switcher,Lightware MMX2,Switcher,HDMI Switcher,switcher,review,source-feed,Local,4,1,4K60 4:4:4,4:4:4,PRESENTATION,point-to-point,many-to-one,"[{""type"": ""HDMI 2.0"", ""count"": 4}]","[{""type"": ""HDMI 2.0"", ""count"": 1}]","[""RS-232"", ""GPIO"", ""Occupancy Sensor Input"", ""Lightware Device Controller""]","[""De-embedded Audio (5-pole Phoenix)""]","[""4x1 HDMI 2.0 switcher with LARA"", ""4K@60Hz 4:4:4, HDCP 2.2"", ""Built-in occupancy sensor + 6+2 pin GPIO"", ""Half-rack-sized""]","{""video"": {""maxResolution"": ""4K60 4:4:4"", ""hdcp"": ""2.2""}, ""matrixInputs"": 4, ""matrixOutputs"": 1}","Lightware MMX2-4x1-H20 4x1 HDMI 2.0 switcher with 4K60 4:4:4/HDCP2.2, audio de-embedding, built-in occupancy sensor, and GPIO/RS-232 automation.",,4x1 HDMI switcher,EXP-SW-0401-8K / SW-0401-H2,high,https://lightware.com/mmx2-4x1-h20,2026-07-05,Claude research pass,"AVITdirect source feed: MMX2-4x1-H20 is a compact 4x1 HDMI 2.0 switcher. | Verified via official Lightware MMX2-4x1-H20 page: 4x1 HDMI2.0 switcher, 4K60 4:4:4/HDCP2.2, occupancy sensor, GPIO/RS-232.",[],,,,,,,
Lightware,MMX4x2-HDMI,Lightware MMX4x2-HDMI 4x2 HDMI Matrix Switcher,Lightware MMX,Matrix,HDMI Matrix Switcher,matrix switcher,review,curated-fingerprint,Local,4,2,4096x2048@30 4:4:4 / @60 4:2:0,4:4:4 at supported UHD modes,MATRIX,matrix,many-to-many,"[{""type"": ""HDMI 1.4"", ""count"": 4}]","[{""type"": ""HDMI 1.4"", ""count"": 2}]","[""USB"", ""RS-232"", ""IR (in/out)"", ""Ethernet"", ""Lightware Device Controller""]","[""De-embedded Audio (5-pole Phoenix)"", ""Embedded Audio Input (5-pole Phoenix)""]","[""Mini-size 4x2 HDMI matrix"", ""Built-in Event Manager"", ""4K/UHD/3D capable, HDCP compliant"", ""0-frame video delay""]","{""video"": {""maxResolution"": ""4096x2048"", ""delayFrames"": 0}, ""matrixInputs"": 4, ""matrixOutputs"": 2, ""routedInputCount"": 4, ""routedOutputCount"": 2, ""physical"": {""weightG"": 625}}","Lightware MMX4x2-HDMI compact 4x2 HDMI matrix switcher with 0-frame delay, audio embed/de-embed, and USB/RS-232/IR/Ethernet control with built-in Event Manager.",,4x2 HDMI matrix switcher,MX-0404-HDMI,high,https://www.lightware.com/mmx4x2-hdmi,2026-07-05,Claude research pass,"AVITdirect source feed: MMX4x2-HDMI is a compact 4x2 HDMI matrix switcher. | Classified as MATRIX / Matrix rather than presentation collaboration or AVoIP. | Verified via official Lightware MMX4x2-HDMI page and manual: 4x2 matrix, 0-frame delay, audio embed/de-embed, Event Manager, USB/RS-232/IR/Ethernet.","[""mmx4x2hdmi"",""mmx4x2""]",,,,,,,
Lightware,MMX6x2-HT200,Lightware MMX6x2-HT200 6x2 HDMI/TPS Matrix Switcher,Lightware MMX,Matrix,HDMI/HDBaseT Matrix Switcher,matrix switcher,review,curated-fingerprint,HDBaseT,6,2,4K@30Hz,Verify,HDBASET,matrix,many-to-many,"[{""type"":""HDMI 1.4"",""count"":4},{""type"":""TPS (HDBaseT)"",""count"":2}]","[{""type"":""HDMI"",""count"":2}]","[""RS-232"", ""Ethernet""]","[""4x Audio Insertion"", ""2x De-embedded Audio Out""]","[""6x2 compact matrix for meeting rooms/classrooms"", ""4K@30Hz, 3D, HDCP"", ""TPS reach to 170m over CATx"", ""PoE (48V DC, <15W) to TPS extenders""]","{""video"":{""maxResolution"":""4K30""},""distance"":{""meters"":170},""matrixInputs"":6,""matrixOutputs"":2,""routedInputCount"":6,""routedOutputCount"":2}","Lightware MMX6x2-HT200 6x2 HDMI/TPS(HDBaseT) matrix switcher for meeting rooms, supporting 4K30, PoE-powered TPS extension up to 170m.",,HDMI/HDBaseT matrix switcher,MXV-0404-H2A-KIT-V2,high,https://lightware.com/mmx6x2-ht200,2026-07-05,Claude research pass,"AVITdirect source feed: MMX6x2-HT200 is a 6x2 HDMI/TPS matrix switcher. | Verified via official Lightware MMX6x2-HT200 page: 6x2 matrix (4 HDMI+2 TPS in, 2 HDMI out), 4K30, 170m TPS reach, PoE.","[""mmx6x2ht200"",""mmx6x2""]",6,2,2,2,,,
Lightware,MMX6x2-HT210,Lightware MMX6x2-HT210 6x2 HDMI/TPS Matrix Switcher,Lightware MMX,Matrix,HDMI/HDBaseT Matrix Switcher,matrix switcher,review,source-feed,HDBaseT,6,2,4K@30Hz,Verify,HDBASET,matrix,many-to-many,"[{""type"":""HDMI 1.4"",""count"":4},{""type"":""TPS (HDBaseT)"",""count"":2}]","[{""type"":""HDMI"",""count"":2},{""type"":""TPS (mirrored)"",""count"":1}]","[""RS-232"", ""IR"", ""Ethernet (10/100)""]","[""4x Audio Insertion"", ""2x De-embedded Audio Out""]","[""6-in/2 HDMI+1 mirrored TPS out matrix"", ""4K@30Hz, 3D, HDCP"", ""170m TPS reach with integrated PoE injectors on all TPS ports"", ""IR/RS-232 command injection over LAN"", ""Advanced EDID management""]","{""video"":{""maxResolution"":""4K30""},""distance"":{""meters"":170},""matrixInputs"":6,""matrixOutputs"":3,""routedInputCount"":6,""routedOutputCount"":2,""physicalOutputCount"":3,""mirroredOutputCount"":1}","Lightware MMX6x2-HT210 6x2 HDMI/HDBaseT matrix with a mirrored TPS output, integrated PoE on all TPS ports, 170m reach, and IR/RS-232 command injection over LAN.",,HDMI/HDBaseT matrix switcher,MXV-0404-H2A-KIT-V2,high,https://lightware.com/mmx6x2-ht210,2026-07-05,Claude research pass,"AVITdirect source feed: MMX6x2-HT210 is a 6x2 HDMI/TPS matrix with mirrored TPS output. | Verified via official Lightware MMX6x2-HT210 page: 6-in, 2 HDMI + 1 mirrored TPS out, 170m PoE TPS reach, IR/RS-232-over-LAN injection.",[],6,2,2,2,,,
Lightware,MMX8x4-HT400MC,Lightware MMX8x4-HT400MC 8x4 Multiport HDMI/TPS Matrix Switcher,Lightware MMX,Matrix,HDMI/HDBaseT Matrix Switcher,matrix switcher,review,source-feed,HDBaseT,8,4,4K/UHD 30Hz 4:4:4 / 60Hz 4:2:0,Verify,HDBASET,matrix,many-to-many,"[{""type"": ""HDMI"", ""count"": 4}, {""type"": ""TPS (HDBaseT)"", ""count"": 4}]","[{""type"": ""HDMI"", ""count"": 4}]","[""RS-232"", ""IR"", ""Ethernet"", ""Event Manager""]","[""Mic/Line-in with voice-activated mixing"", ""De-embedded HDMI Audio""]","[""8x4 matrix for conference rooms"", ""Special Audio Input block with mic/line mixer and voice activation"", ""4K/UHD, 3D, HDCP"", ""HDBaseT extender/display compatible""]","{""video"": {""maxResolution"": ""4K/UHD""}, ""matrixInputs"": 8, ""matrixOutputs"": 4, ""routedInputCount"": 8, ""routedOutputCount"": 4}","Lightware MMX8x4-HT400MC 8x4 HDMI/TPS matrix with a dedicated mic/line audio mixer (voice-activated ducking), 4K/UHD support, and RS-232/IR/Ethernet control.",,HDMI/HDBaseT matrix switcher,MXV-0808-H2A-KIT,high,https://lightware.com/mmx8-4-ht400mc,2026-07-05,Claude research pass,"AVITdirect source feed: MMX8x4-HT400MC is an 8x4 HDMI/TPS matrix switcher. | Verified via official Lightware MMX8x4-HT400MC page: 8x4 matrix, Special Audio Input mic/line mixer w/ voice activation, 4K/UHD, HDBaseT compatible.",[],,,,,,,
Lightware,MMX8x4-HT420M,Lightware MMX8x4-HT420M 8x4 HDMI/TPS Matrix Switcher,Lightware MMX,Matrix,HDMI/HDBaseT Matrix Switcher,matrix switcher,review,source-feed,HDBaseT,8,4,4K/UHD 30Hz 4:4:4 / 60Hz 4:2:0,Verify,HDBASET,matrix,many-to-many,"[{""type"": ""HDMI"", ""count"": 4}, {""type"": ""TPS (HDBaseT)"", ""count"": 4}]","[{""type"": ""HDMI"", ""count"": 2}, {""type"": ""TPS (HDBaseT, PoE)"", ""count"": 2}]","[""RS-232"", ""IR"", ""Ethernet"", ""USB"", ""GPIO"", ""Relay"", ""Event Manager""]","[""Mic/Line-in with voice-activated mixing"", ""De-embedded HDMI Audio""]","[""8x4 matrix with 2 HDMI + 2 TPS outputs (48V PoE PSE)"", ""Special Audio Input block with mic/line mixer and voice activation"", ""170m TPS reach"", ""Extensive control: RS-232/IR/Ethernet/USB/GPIO/Relay""]","{""video"": {""maxResolution"": ""4K/UHD""}, ""distance"": {""meters"": 170}, ""matrixInputs"": 8, ""matrixOutputs"": 4, ""routedInputCount"": 8, ""routedOutputCount"": 4}","Lightware MMX8x4-HT420M 8x4 HDMI/HDBaseT matrix with 2 HDMI + 2 PoE HDBaseT outputs, voice-activated audio mixing, 170m reach, and extensive RS-232/IR/Ethernet/USB/GPIO/Relay control.",,HDMI/HDBaseT matrix switcher (PoE outputs),MXV-0808-H2A-KIT,high,https://lightware.com/mmx8x4-ht420m,2026-07-05,Claude research pass,"AVITdirect source feed: MMX8x4-HT420M is an 8x4 HDMI/TPS matrix with mixed HDMI/TPS outputs. | Verified via official Lightware MMX8x4-HT420M page: 8x4 matrix, 2 HDMI+2 PoE HDBaseT out, voice-activated mixer, 170m reach, RS-232/IR/Ethernet/USB/GPIO/Relay.",[],,,,,,,
Lightware,MMX8x8-HDMI-4K-A,MMX8x8-HDMI-4K-A,,MATRIX,,Matrix,review,curated-fingerprint,,8,8,4K30,,MATRIX,,,[],[],[],[],[],{},,,8x8 HDMI matrix switcher,MX-0808-H2A-MK2,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""mmx8x8hdmi4ka"",""mmx8x8hdmi4k""]",,,,,,,
Lightware,TAURUS UCX-2x1-HC30,TAURUS UCX-2x1-HC30,,PRESENTATION,,presentation switcher,review,curated-fingerprint,,2,1,4K60,,PRESENTATION,,,[],[],[],[],"{""usbC"":true,""usbRouting"":true}",{},,,USB-C/HDMI conferencing presentation switcher,SW-120-TX3,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""taurusucx2x1hc30"",""taurusucx2x1"",""taurusucx""]",,,,,,,
Lightware,TAURUS UCX-4x2-HC30,TAURUS UCX-4x2-HC30,,PRESENTATION,,presentation switcher,review,curated-fingerprint,,4,2,4K60,,PRESENTATION,,,[],[],[],[],"{""usbC"":true,""usbRouting"":true}",{},,,USB-C/HDMI conferencing presentation switcher,SW-510-TX,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""taurusucx4x2hc30"",""taurusucx4x2""]",,,,,,,
