manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
SY Electronics,HDX80-4K,SY HDX80-4K Essential Extender,,Extender,HDMI over CAT extender,kit,approved,official-product-page,HDX over CAT,1,1,4K30 4:4:4,4:4:4,EXTENDER,point-to-point,unidirectional,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""HDMI"",""count"":1}]","[""IR"",""CEC""]","[""LPCM 7.1""]","[""80m over CAT6"",""PoC"",""HDMI loop output""]",{},HDMI extender kit supporting 4K30 4:4:4 to 80m with loop output and IR.,,Point-to-point HDMI extension,EX-70-G2 / EX-100-G2,high,https://www.sy.co.uk/viewProduct/HDX80-4K,2026-08-15,Codex official-source pass,HDX is not HDBaseT; compare outcome and distance without asserting transport equivalence. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,2,1,verified,Official product page specifies one HDMI input loop output and one receiver output,comparison-only-verify,,,,
SY Electronics,XCALIBUR-11U,SY XCALIBUR 11U HDMI and USB Extender,,Extender,HDMI and USB over CAT kit,kit,approved,official-product-page,HX over CAT,1,1,4K60 4:4:4,4:4:4,USB_EXTENSION,point-to-point,bidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB 2.0 host"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""USB 2.0 device"",""count"":1}]","[""IR"",""EDID"",""HDCP management""]",[],"[""4K60 to 120m"",""1080p to 150m"",""USB 2.0 to 100m"",""PoC""]",{},Long-range HDMI 2.0 and USB 2.0 extender pair over CAT6.,,HDMI and USB extension,EX-100-USB3 / EX-100-KVM,high,https://www.sy.co.uk/viewProduct/XCALIBUR-11U,2026-08-15,Codex official-source pass,USB 2.0 only; do not match to USB 3 products without a requirement check. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,1,0,verified,Official page states TX/RX pair with HDMI and USB paths,comparison-only-verify,,,,
SY Electronics,HDBT-231-100,SY HDBT-231-100 Extender Splitter,,Distribution Amplifier,HDBaseT splitter,splitter,approved,official-product-page,HDBaseT,2,4,4K30,,DISTRIBUTION,one-to-many,unidirectional,"[{""type"":""HDMI"",""count"":2}]","[{""type"":""HDBaseT"",""count"":3},{""type"":""HDMI"",""count"":1}]","[""RS-232"",""EDID"",""auto switching""]",[],"[""4K to 70m"",""1080p to 100m"",""iPoC""]",{},Two-input switcher and mirrored distribution amplifier with three HDBaseT outputs and one HDMI output.,Outputs mirror one selected input; not an independently routed 2x4 matrix.,HDBaseT distribution,EXP-SP-0104-H2 / SW-0206-VW,high,https://www.sy.co.uk/viewProduct/HDBT-231-100,2026-08-15,Codex official-source pass,"Govern as splitter/distribution, not matrix. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],2,1,4,3,verified,Official page says selected source is distributed simultaneously to all outputs,comparison-only-verify,,,,
SY Electronics,MUHDBT-44P,SY MUHDBT-44P 4x4 HDBaseT Matrix,,Matrix,HDBaseT matrix,matrix,approved,official-product-page,HDBaseT,4,4,4K30 4:4:4,4:4:4,MATRIX,4x4 routed matrix,unidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""HDBaseT"",""count"":4},{""type"":""HDMI mirrored"",""count"":2}]","[""RS-232"",""IR"",""EDID"",""HDCP management""]","[""Analog audio de-embed""]","[""True 4x4 routing"",""40m 4K"",""70m 1080p"",""iPoC powers receivers""]","{""powerSupply"":""Internal mains; iPoC to receivers"",""poc"":true}",True 4x4 HDMI-to-HDBaseT matrix with two mirrored local HDMI outputs.,Receivers sold separately; two HDMI ports mirror zones and are not extra routed outputs.,4x4 HDBaseT matrix,MXV-0404-H2A-KIT / MX-0404-SCL,high,https://www.sy.co.uk/viewProduct/MUHDBT-44P,2026-08-15,Codex official-source expansion,Include compatible receivers in the complete BOM. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,4,6,2,verified,Official page confirms four routed HDBaseT zones and two mirrored HDMI ports,comparison-only-verify,,,,
SY Electronics,MFT62,SY MFT62 6x2 Multi-Format Switcher,,Switcher,Presentation switcher,presentation switcher,approved,official-product-page,HDBaseT presentation switching,6,2,4K30 4:4:4,4:4:4,PRESENTATION,6x2 routed presentation switcher,bidirectional,"[{""type"":""HDMI"",""count"":4},{""type"":""VGA + audio"",""count"":1},{""type"":""DisplayPort"",""count"":1}]","[{""type"":""HDMI"",""count"":1},{""type"":""HDBaseT"",""count"":1}]","[""RS-232"",""IR"",""contact closure"",""auto switching""]","[""Analog audio de-embed""]","[""Independent HDMI and HDBaseT outputs"",""PoC powers receiver"",""40m 4K"",""70m 1080p""]","{""powerSupply"":""External PSU included; PoC to receiver"",""poc"":true}",Six-input presentation switcher with independently routed HDMI and HDBaseT outputs.,MFT62 does not include the receiver; MFT62-SET includes a Slim70 Pro receiver.,Multi-format presentation switcher,SW-510-TX / SW-0401-HDBT,high,https://www.sy.co.uk/viewProduct/MFT62,2026-08-15,Codex official-source expansion,Keep base and SET package topology distinct. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],6,2,2,0,verified,Official page confirms independently matrixed HDMI and HDBaseT outputs,comparison-only-verify,,,,
SY Electronics,WIZARD-4,SY Wizard 4 Wireless Presentation Device,Wizard,Wireless Presentation,Wireless collaboration receiver,receiver,approved,official-product-page,Wireless presentation,4,1,4K,,WIRELESS_PRESENTATION,wireless collaboration base,bidirectional,"[{""type"":""Wireless source"",""count"":4}]","[{""type"":""Display output"",""count"":1}]","[""Moderator"",""Central management"",""Touchback""]",[],"[""Four-source multiview"",""AirPlay"",""Miracast"",""Chromecast"",""Annotation"",""Optional Wand senders""]","{""multiview"":true}",Wireless presentation base supporting senderless casting or optional USB-C and HDMI Wand transmitters.,Wand C and Wand H are optional companion transmitters and not standalone receivers.,Wireless presentation,APO-200 / APO-DG2 workflow,high,https://www.sy.co.uk/viewProduct/WIZARD-4,2026-08-15,Codex official-source expansion,Confirm protocols touchback conferencing and output resolution. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,1,1,0,verified,Official page confirms up to four connected devices in multiview,comparison-only-verify,,,,
SY Electronics,HDS14-18G,SY HDS14-18G 1x4 HDMI Distribution Amplifier,,Distribution Amplifier,HDMI splitter,splitter,approved,official-product-page,HDMI 2.0,1,4,4K60 4:4:4,4:4:4,DISTRIBUTION,one-to-four mirrored distribution,unidirectional,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""HDMI"",""count"":4}]","[""EDID"",""HDCP management""]",[],"[""18Gbps"",""HDR"",""Per-output downscaling"",""AOC cable power""]","{""powerSupply"":""5V DC 2A external PSU included"",""externalPsu"":true}",One-input four-output HDMI 2.0 distribution amplifier with automatic downscaling.,All outputs mirror one source; this is not a routed matrix.,1x4 HDMI distribution,SP-0104-H2,high,https://www.sy.co.uk/viewProduct/HDS14-18G,2026-08-15,Codex official-source expansion,Official page confirms PSU and 2.4W maximum consumption. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,4,3,verified,Official page identifies one input and four mirrored HDMI outputs,comparison-only-verify,,,,
SY Electronics,XCALIBUR-14,SY Xcalibur 14 Splitter and Extender Set,Xcalibur,Distribution Amplifier,Long-range extender splitter,kit,approved,official-product-page,HX over CAT,1,4,4K60 4:4:4,4:4:4,DISTRIBUTION,one-to-four extender kit,unidirectional,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""HX over CAT"",""count"":4},{""type"":""HDMI loop"",""count"":1}]","[""RS-232"",""Bidirectional IR"",""EDID"",""HDCP management""]","[""Analog and digital audio de-embed""]","[""Four receivers included"",""120m 4K60"",""150m 1080p"",""Per-output downscaling"",""PoC""]","{""powerSupply"":""24V DC 2.7A external PSU included; PoC to receivers"",""poc"":true,""externalPsu"":true}",Complete one-to-four long-range HDMI extender system supplied with four receivers.,HX is proprietary transport rather than interoperable HDBaseT.,Long-range 1x4 extender distribution,EXP-SP-0104-H2 plus receivers,high,https://www.sy.co.uk/viewProduct/XCALIBUR-14,2026-08-15,Codex official-source expansion,Compare the complete kit BOM and transport rather than superficial I/O. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],1,1,5,4,verified,Official page confirms four receiver paths one HDMI loop and four included receivers,comparison-only-verify,,,,
SY Electronics,APOLLO-41,SY Apollo 41 4x1 Multiviewer,Apollo,Multiview,HDMI multiview processor,multiview processor,approved,official-product-page,HDMI 2.0,4,1,4K60 4:4:4,4:4:4,MULTIVIEW,4-input single-output multiview,unidirectional,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""HDMI"",""count"":1},{""type"":""TOSLINK audio"",""count"":1},{""type"":""Analog audio"",""count"":1}]","[""OSD layout control""]","[""Optical and analog de-embed""]","[""Four-window multiview"",""Picture in picture"",""Seamless switching"",""Scaling""]","{""multiview"":true,""maxWindows"":4}",Four-input seamless switcher and multiview processor with one scaled HDMI output.,Creates windows on one output; not a 4x4 matrix or video-wall processor.,Four-source multiview,NHD-150-RX / NHD-600-TRX system,high,https://www.sy.co.uk/viewProduct/APOLLO-41,2026-08-15,Codex official-source expansion,Compare layouts scaling latency and complete NetworkHD dependencies. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,1,1,0,verified,Official page confirms four HDMI inputs composed into one output,comparison-only-verify,,,,
SY Electronics,MSU-44-18G,MSU-44-18G 4x4 Slimline HDMI Matrix,MSU,Matrix,HDMI matrix,matrix switcher,approved,official-manufacturer,Local,4,4,4K60 4:4:4,4:4:4,MATRIX,matrix,many-to-many,"[{""type"":""HDMI"",""count"":4}]","[{""type"":""HDMI"",""count"":4}]","[""Front panel"",""RS-232"",""LAN""]","[""Per-output audio de-embedding""]","[""Independent 4K-to-1080p scaling per output"",""18Gbps""]","{""matrixInputs"":4,""matrixOutputs"":4}",SY MSU-44-18G is a true 4x4 18Gbps HDMI matrix with per-output scaling and audio de-embedding.,Local HDMI outputs only.,4x4 HDMI matrix,MX-0404-H2A,high,https://www.sy.co.uk/products,2026-08-15,Codex official-source expansion,Official SY product catalogue. | 2026-08-15 batch review: evidence-complete row promoted to approved.,[],4,4,4,0,official,Official 4x4 routed matrix,comparison-only-verify,,,,
