manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety,network_requirement,avoip_chip,avoip_codec,avoip_chip_status
ZeeVee,Z4KMP48,ZyPer Management Platform Z4KMP48,ZyPer Management Platform,Control,,controller,review,structured-catalog,AVoIP,,,,,AVoIP,controller,bidirectional,"[{""type"":""LAN"",""count"":2}]",[],"[""TCP/IP"",""HTTPS"",""Web UI"",""API""]",[],"[""AVoIP controller"",""Browser-based management"",""Drag-and-drop routing"",""System monitoring"",""Centralized configuration"",""AVoIP management"",""System orchestration""]","{""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}","AV over IP management platform for ZyPer systems with browser-based setup, drag-and-drop routing, monitoring, and system management for encoders and decoders.",,No direct WyreStorm hardware equivalent,"AVoIP fleet-management appliance; NHD-CTL-PRO-V2 controls a single NetworkHD system, not a multi-appliance fleet manager",high,https://www.zeevee.com/z4kmp48-data-sheet/,2026-08-15,Claude research pass,"Official ZeeVee ZyPer Management Platform product page. | data/product-intelligence-db.json#43 merged into deployed competitor catalog. | data/product-intelligence-db.json#53 merged into deployed competitor catalog. | data/product-intelligence-db.json#78 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ZeeVee ZyPer management platforms are the control plane for ZyPer AVoIP ecosystems. | Treat ZyPer management platforms as AVoIP control systems, not as media endpoints. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#76 merged into deployed competitor catalog. | Verified via official ZeeVee Z4KMP48 data sheet: browser-based ZyPer management platform for routing, monitoring, and configuration of ZyPer encoders/decoders. | AVoIP network speed requires 1GbE/10GbE verification before approval. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,comparison-only-verify,Unconfirmed - verify 1GbE or 10GbE,,,not-publicly-confirmed
ZeeVee,ZUHD60-2EMP,ZyPerUHD60 2EMP Encoder,ZyPerUHD60,AVoIP,,endpoint,approved,structured-catalog,AVoIP,3,,4K60 4:4:4,,AVoIP,endpoint,bidirectional,"[{""type"": ""HDMI 2.0a"", ""count"": 1}, {""type"": ""USB-C"", ""count"": 1}, {""type"": ""DisplayPort"", ""count"": 1}]","[{""type"": ""LAN (dual GbE)"", ""count"": 1}]","[""TCP/IP"",""Web UI""]","[""Embedded Audio"",""Analog Audio""]","[""AVoIP encoder"",""Triple-input encoder"",""Integrated management platform"",""KVM support"",""1GbE transport"",""PoE+"",""1G AVoIP"",""Video wall support""]","{""video"":{""maxResolution"":""4K60 4:4:4""},""network"":{""lanPorts"":2},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed""}","Compressed 1GbE AV-over-IP encoder with three video inputs, an integrated management platform, KVM support, and support for HDMI, USB-C, and DisplayPort sources.",,NetworkHD 500 (premium 1GbE AVoIP with USB-C),NHD-510-TX,high,https://www.zeevee.com/product/zuhd60-2emp/,2026-07-05,Claude research pass,"Official ZeeVee ZUHD60-2EMP product page. | data/product-intelligence-db.json#44 merged into deployed competitor catalog. | data/product-intelligence-db.json#54 merged into deployed competitor catalog. | data/product-intelligence-db.json#79 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ZyPerUHD60 is ZeeVee's compressed 1Gb AVoIP family for distributed AV and video-wall systems. | Compare ZyPerUHD60 against entry and mid-tier AVoIP platforms rather than local matrices or extenders. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#77 merged into deployed competitor catalog. | Verified via official ZeeVee ZUHD60-2E/2EMP product page: 3x1 switching input (HDMI/USB-C/DisplayPort), dual GbE LAN, PoE+, integrated management platform variant.",[],,,,,,,,1GbE managed AV network,,,not-publicly-confirmed
ZeeVee,ZY-4K-DEC,ZyPer4K Decoder,ZyPer4K,AVoIP,,endpoint,approved,structured-catalog,AVoIP,,1,4K60 4:4:4,,AVoIP,endpoint,bidirectional,"[{""type"": ""LAN (SDVoE, 10Gb)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""TCP/IP""]","[""Embedded Audio""]","[""AVoIP decoder"",""Zero-frame latency"",""PoE+"",""Video wall"",""USB extension"",""Managed-network multicast"",""SDVoE"",""High-bandwidth AVoIP""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""latency"":""zero-frame""},""network"":{""sdvoe"":true},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""SDVoE Pixel Pipeline""}","Zero-frame-latency one-gigabit HDMI-over-IP decoder delivering up to 4K60 video with USB, audio, and video-wall workflows on managed networks.",,NetworkHD 600 (10G SDVoE decoder),NHD-600-E-RX,high,https://www.zeevee.com/products/zyper4k/,2026-07-05,Claude research pass,"Official ZeeVee ZyPer4K family page. | data/product-intelligence-db.json#45 merged into deployed competitor catalog. | data/product-intelligence-db.json#55 merged into deployed competitor catalog. | data/product-intelligence-db.json#80 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ZyPer4K is ZeeVee's premium SDVoE AVoIP family for high-bandwidth distributed AV. | Compare ZyPer4K products against premium AVoIP families and SDVoE-class systems, not switchers or extenders. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#78 merged into deployed competitor catalog. | Verified via official ZeeVee ZyPer4K family page: SDVoE-based zero-frame-latency 4K60 4:4:4 decoder, PoE+, USB/audio/video-wall support.",[],,,,,,,,1GbE managed AV network,,SDVoE Pixel Pipeline,not-publicly-confirmed
ZeeVee,ZY-4K-ENC,ZyPer4K Encoder,ZyPer4K,AVoIP,,endpoint,approved,structured-catalog,AVoIP,1,,4K60 4:4:4,,AVoIP,endpoint,bidirectional,"[{""type"": ""HDMI"", ""count"": 1}]","[{""type"": ""LAN (SDVoE, 10Gb)"", ""count"": 1}]","[""TCP/IP""]","[""Embedded Audio""]","[""AVoIP encoder"",""Zero-frame latency"",""PoE+"",""Video wall"",""USB extension"",""Managed-network multicast"",""SDVoE"",""High-bandwidth AVoIP""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""latency"":""zero-frame""},""network"":{""sdvoe"":true},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""SDVoE Pixel Pipeline""}","Zero-frame-latency one-gigabit HDMI-over-IP encoder delivering up to 4K60 video with USB, audio, and video-wall workflows on managed networks.",,NetworkHD 600 (10G SDVoE encoder),NHD-600-E-TX,high,https://www.zeevee.com/products/zyper4k/,2026-07-05,Claude research pass,"Official ZeeVee ZyPer4K family page. | data/product-intelligence-db.json#46 merged into deployed competitor catalog. | data/product-intelligence-db.json#56 merged into deployed competitor catalog. | data/product-intelligence-db.json#81 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | ZyPer4K is ZeeVee's premium SDVoE AVoIP family for high-bandwidth distributed AV. | Compare ZyPer4K products against premium AVoIP families and SDVoE-class systems, not switchers or extenders. | Official competitor family guidance applied during canonical sync. | data/product-intelligence-db.json#79 merged into deployed competitor catalog. | Verified via official ZeeVee ZyPer4K family page: SDVoE-based zero-frame-latency 4K60 4:4:4 encoder, PoE+, USB/audio/video-wall support, 10Gb switch fabric.",[],,,,,,,,1GbE managed AV network,,SDVoE Pixel Pipeline,not-publicly-confirmed
ZeeVee,ZyPer4K Decoder,ZyPer4K Decoder,,AVOIP,,Decoder,approved,curated-fingerprint,,1,1,4K60 4:4:4,,AVOIP,,,"[{""type"": ""LAN (SDVoE, 10Gb)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""TCP/IP""]","[""Embedded Audio""]","[""AVoIP decoder"",""Zero-frame latency"",""PoE+"",""Video wall"",""USB extension"",""Managed-network multicast"",""SDVoE"",""High-bandwidth AVoIP""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""latency"":""zero-frame""},""network"":{""sdvoe"":true},""networkSpeed"":""10GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Uncompressed / light compression""}","Zero-frame-latency one-gigabit HDMI-over-IP decoder delivering up to 4K60 video with USB, audio, and video-wall workflows on managed networks.",,NetworkHD 500 (premium 1GbE AVoIP decoder),NHD-500-RX,medium,https://www.zeevee.com/products/zyper4k/,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""zyper4kdecoder""]",,,,,,,,10GbE managed AV network,,Uncompressed / light compression,not-publicly-confirmed
ZeeVee,ZyPer4K Encoder,ZyPer4K Encoder,,AVOIP,,Encoder,approved,curated-fingerprint,,1,1,4K60 4:4:4,,AVOIP,,,"[{""type"": ""HDMI"", ""count"": 1}]","[{""type"": ""LAN (SDVoE, 10Gb)"", ""count"": 1}]","[""TCP/IP""]","[""Embedded Audio""]","[""AVoIP encoder"",""Zero-frame latency"",""PoE+"",""Video wall"",""USB extension"",""Managed-network multicast"",""SDVoE"",""High-bandwidth AVoIP""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""latency"":""zero-frame""},""network"":{""sdvoe"":true},""networkSpeed"":""10GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Uncompressed / light compression""}","Zero-frame-latency one-gigabit HDMI-over-IP encoder delivering up to 4K60 video with USB, audio, and video-wall workflows on managed networks.",,NetworkHD 500 (premium 1GbE AVoIP encoder),NHD-500-TX,medium,https://www.zeevee.com/products/zyper4k/,2026-08-15,Claude research pass, | 2026-08-15 batch review: evidence-complete row promoted to approved.,"[""zyper4kencoder""]",,,,,,,,10GbE managed AV network,,Uncompressed / light compression,not-publicly-confirmed
ZeeVee,ZyPerUHD Decoder,ZyPerUHD Decoder,,AVoIP,AV over IP decoder,decoder,approved,sku-seed,AVoIP,,1,4K60 4:2:0,,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN (1Gb copper)"", ""count"": 1}]","[{""type"": ""HDMI"", ""count"": 1}]","[""USB"", ""IR"", ""RS-232""]","[""Embedded HDMI Audio"", ""Analog Phoenix Audio""]","[""Compressed 4K AVoIP over 1Gb network"", ""Up to 4K60 4:2:0 HDMI output"", ""HDCP 2.2"", ""USB, IR, RS-232"", ""PoE powered"", ""Requires ZyPerUHD/ZyPerHD Management Platform""]","{""video"":{""maxResolution"":""3840x2160@60 4:2:0""},""network"":{""speed"":""1Gb copper""},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless compression""}","ZeeVee ZyPerUHD Decoder is a compressed 4K AV-over-IP decoder for 1Gb networks, outputting up to 4K60 4:2:0 HDMI with HDCP 2.2, USB/IR/RS-232, and PoE power.",,NetworkHD 100 (standard 1GbE AVoIP decoder),NHD-120-RX,high,https://www.zeevee.com/wp-content/uploads/2021/09/ZV_ZyPerUHD_Datasheet.pdf,2026-08-15,Claude research pass,"Verified via official ZeeVee ZyPerUHD data sheet: 1Gb network, 4K60 4:2:0 HDMI out, HDCP2.2, USB/IR/RS-232, PoE. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,1GbE managed AV network,,Visually lossless compression,not-publicly-confirmed
ZeeVee,ZyPerUHD Encoder,ZyPerUHD Encoder,,AVoIP,AV over IP encoder,encoder,approved,sku-seed,AVoIP,1,,4K60 4:2:0,,AVOIP,endpoint,unidirectional,"[{""type"": ""HDMI 2.0a"", ""count"": 1}, {""type"": ""Analog Audio (Phoenix)"", ""count"": 1}]","[{""type"": ""LAN (1Gb copper)"", ""count"": 1}, {""type"": ""HDMI (passthrough)"", ""count"": 1}]","[""USB"", ""IR"", ""RS-232""]","[""Embedded HDMI Audio"", ""Analog Phoenix Audio""]","[""Compressed 4K AVoIP over 1Gb network"", ""HDMI 2.0a up to 4K60 4:2:0"", ""HDCP 2.2"", ""USB, IR, RS-232, HDMI passthrough"", ""PoE powered"", ""Requires ZyPerUHD decoder + management platform""]","{""video"":{""maxResolution"":""3840x2160@60 4:2:0""},""network"":{""speed"":""1Gb copper""},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless compression""}","ZeeVee ZyPerUHD Encoder is a compressed 4K AV-over-IP encoder for 1Gb networks, supporting HDMI 2.0a input up to 4K60 4:2:0, HDCP 2.2, USB/IR/RS-232, and PoE power.",,NetworkHD 100 (standard 1GbE AVoIP encoder),NHD-120-TX,high,https://www.zeevee.com/wp-content/uploads/2024/08/ZyPerUHD-E-Data-Sheet.pdf,2026-08-15,Claude research pass,"Verified via official ZeeVee ZyPerUHD-E data sheet: HDMI2.0a in, 4K60 4:2:0, HDCP2.2, USB/IR/RS-232/passthrough, PoE. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,1GbE managed AV network,,Visually lossless compression,not-publicly-confirmed
ZeeVee,ZyPerUHD60 Decoder,ZyPerUHD60 Decoder,,AVoIP,AV over IP decoder,decoder,approved,sku-seed,AVoIP,,1,4K60 4:4:4,,AVOIP,endpoint,unidirectional,"[{""type"": ""LAN (dual 1Gb copper)"", ""count"": 2}]","[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Analog Audio (Phoenix)"", ""count"": 1}]","[""USB"", ""IR"", ""RS-232""]","[""Embedded HDMI Audio"", ""AES67"", ""Analog Phoenix Audio""]","[""Compressed 4K60 4:4:4 AVoIP over 1Gb network"", ""Dual 1G LAN ports"", ""AES67 audio support"", ""HDCP 2.3, AES-256 stream encryption"", ""USB, IR, RS-232"", ""PoE powered""]","{""video"":{""maxResolution"":""3840x2160@60 4:4:4""},""network"":{""lanPorts"":2,""speed"":""1Gb copper""},""security"":{""streamEncryption"":""AES-256"",""hdcp"":""2.3""},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless compression""}","ZeeVee ZyPerUHD60 Decoder delivers compressed 4K60 4:4:4 AV-over-IP over 1Gb networks with dual LAN ports, AES67 audio, HDCP 2.3, AES-256 stream encryption, and PoE power.",,"NetworkHD 100 (standard 1GbE AVoIP decoder, dual-LAN)",NHD-120-RX,high,https://www.zeevee.com/wp-content/uploads/2023/01/ZeeVee_datasheet_ZyPerUHD60.pdf,2026-08-15,Claude research pass,"Verified via official ZeeVee ZyPerUHD60 data sheet: 4K60 4:4:4, dual 1G LAN, AES67, HDCP2.3, AES-256 encryption, PoE. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,1GbE managed AV network,,Visually lossless compression,not-publicly-confirmed
ZeeVee,ZyPerUHD60 Encoder,ZyPerUHD60 Encoder,,AVoIP,AV over IP encoder,encoder,approved,sku-seed,AVoIP,1,,4K60 4:4:4,,AVOIP,endpoint,unidirectional,"[{""type"": ""HDMI"", ""count"": 1}, {""type"": ""Analog Audio (Phoenix)"", ""count"": 1}]","[{""type"": ""LAN (1Gb copper)"", ""count"": 1}]","[""USB"", ""IR"", ""RS-232""]","[""Embedded HDMI Audio"", ""AES67"", ""Analog Phoenix Audio""]","[""Compressed 4K60 4:4:4 AVoIP over 1Gb network"", ""AES67 audio support"", ""HDCP 2.3, AES-256 stream encryption"", ""USB, IR, RS-232"", ""PoE powered""]","{""video"":{""maxResolution"":""3840x2160@60 4:4:4""},""network"":{""speed"":""1Gb copper""},""security"":{""streamEncryption"":""AES-256"",""hdcp"":""2.3""},""networkSpeed"":""1GbE"",""avoipChip"":null,""avoipChipStatus"":""not-publicly-confirmed"",""avoipCodec"":""Visually lossless compression""}","ZeeVee ZyPerUHD60 Encoder delivers compressed 4K60 4:4:4 AV-over-IP over 1Gb networks with AES67 audio, HDCP 2.3, AES-256 stream encryption, and PoE power.",,NetworkHD 100 (standard 1GbE AVoIP encoder),NHD-120-TX,high,https://www.zeevee.com/wp-content/uploads/2023/01/ZeeVee_datasheet_ZyPerUHD60.pdf,2026-08-15,Claude research pass,"Verified via official ZeeVee ZyPerUHD60 data sheet: 4K60 4:4:4, AES67, HDCP2.3, AES-256 encryption, 1Gb copper, PoE. | 2026-08-15 batch review: evidence-complete row promoted to approved.",[],,,,,,,,1GbE managed AV network,,Visually lossless compression,not-publicly-confirmed
