sku,product_name,family,product_type,role,lifecycle_status,do_not_spec,successor,inputs,outputs,transport_type,resolution_bandwidth,usb,audio,control,network_requirement,dependencies,compatible_families,application_fit,disqualifiers,quote_warnings,evidence_source,last_reviewed,reviewer
AMP-2120,Advanced 2 or 4 Channel Amplifier,Amplifier,Audio,primary-hardware,active,false,,,,Audio,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
AMP-2120-DNT,Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm,Amplifier,Audio,primary-hardware,active,false,,,,Audio,,,,,,,,,,,https://www.wyrestorm.com/product/amp-2120-dnt/,2026-06-28,Wingman source migration (review required)
AMP-260-DNT,Advanced 2 or 4 Channel Dante Amplifier - WyreStorm,Amplifier,Audio,primary-hardware,active,false,,,,Audio,,,,,,,,,,,https://www.wyrestorm.com/product/amp-260-dnt/,2026-06-28,Wingman source migration (review required)
APO-100-UC,Apollo Series Conference Speakerphone - WyreStorm,Apollo,Presentation / UC,primary-hardware,discontinued,true,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-100-uc/,2026-06-28,Wingman lifecycle migration
APO-200-UC,Apollo Series Conference Speakerphone & Switcher - WyreStorm,Apollo,Presentation / UC,primary-hardware,discontinued,true,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-200-uc/,2026-06-28,Wingman lifecycle migration
APO-210-UC,Apollo TM Video-speakerphone switcher,Unified Comms,UC / conferencing,primary-hardware,active,false,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-07-04,Wingman lifecycle correction (reverted; confirmed current, not superseded)
APO-COM-MIC,Add-On Microphone for Apollo Video Bar - WyreStorm,Apollo,Presentation / UC,accessory,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-com-mic/,2026-06-28,Wingman source migration (review required)
APO-DG-DOCK,Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm,Apollo,Presentation / UC,workflow-endpoint,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-dg-dock/,2026-06-28,Wingman source migration (review required)
APO-DG-HDMI,HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm,Apollo,Presentation / UC,workflow-endpoint,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-dg-hdmi/,2026-06-28,Wingman source migration (review required)
APO-DG1,Apollo TM 1080p USB-C(DP Atl mode) dongle for wireless casting,Unified Comms,UC / conferencing,workflow-endpoint,do-not-spec,true,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
APO-DG2,Apollo USB-C Wireless Casting Dongle - WyreStorm,Apollo,Presentation / UC,workflow-endpoint,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-dg2/,2026-06-28,Wingman source migration (review required)
APO-DG2-PRO,Apollo USB-C Wireless Casting Dongle - WyreStorm,Apollo,Presentation / UC,workflow-endpoint,do-not-spec,true,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-dg2-pro/,2026-06-28,Wingman source migration (review required)
APO-MIC-EXT,USB Extender for Apollo Add-On Mic - WyreStorm,Apollo,Presentation / UC,accessory,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-mic-ext/,2026-06-28,Wingman source migration (review required)
APO-SKY-MIC,Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm,Apollo,Presentation / UC,accessory,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-sky-mic/,2026-06-28,Wingman source migration (review required)
APO-VX20-MNT,Display Mount for Apollo VX20 Video Bars - WyreStorm,Apollo,Presentation / UC,accessory,do-not-spec,true,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-vx20-mnt/,2026-06-28,Wingman source migration (review required)
APO-VX20-UC,Apollo TM Video Bar & Switcher,Unified Comms,UC / conferencing,primary-hardware,review,false,,,,UC / conferencing,,,,,,,,,,,Existing Wingman product intelligence index,2026-07-04,Wingman lifecycle correction (reverted; left as review so alias resolution applies)
APO-VX20-UC-V2,Video Bar for Conference Rooms: Advanced Meeting Solution,Apollo,Presentation / UC,primary-hardware,active,false,,,,Presentation / UC,,,,,,,,,,,https://www.wyrestorm.com/product/apo-vx20-uc-v2/,2026-06-28,Wingman source migration (review required)
CAB-DAOC-10-C,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm",Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-daoc-10-c/,2026-06-28,Wingman lifecycle migration
CAB-DAOC-10-P,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm",Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-daoc-10-p/,2026-06-28,Wingman lifecycle migration
CAB-HAOC-10,10m/32ft HDMI 2.0 AOC,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
CAB-HAOC-15,15m/49ft HDMI 2.0 AOC,Cable,Cable / accessory,cable,active,false,,,,Cable / accessory,,,,,,,,,,,Existing Wingman product intelligence index,2026-06-28,Wingman source migration (review required)
CAB-HAOC-15-C,Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-15-c/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-15-P,24Gbps 4-core Active Optical HDMI Cable | WyreStorm,Cable,Cables,cable,do-not-spec,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-15-p/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-2,"24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",Cable,Cables,cable,discontinued,true,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/exp-cab-haoc-2/,2026-06-28,Wingman lifecycle migration
CAB-HAOC-20,"Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm",Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-20/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-20-C,Active Optical HDMI Cable | 4K HDR| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-20-c/,2026-06-28,Wingman source migration (review required)
CAB-HAOC-20-P,Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm,Cable,Cables,cable,active,false,,,,Cables,,,,,,,,,,,https://www.wyrestorm.com/product/cab-haoc-20-p/,2026-06-28,Wingman source migration (review required)
