"Type","Relative","Bytes","Reason"
"Directory",".wingman-backups","28755151","Repository backup/archive area"
"Directory",".wingman-work\backups","55192170","Wingman work snapshots"
"Directory","_backups","3445009","Repository backup/archive area"
"Directory","archive","5038893298","Repository backup/archive area"
"Directory","backups","116004150","Repository backup/archive area"
"File","data\catalog\competitor-products.generated.json.20260722-090142.bak","685879","Backup file"
"File","data\governance\wyrestorm-technical-profiles.json.20260722-083258.bak","29649","Backup file"
"File","data\governance\wyrestorm-technical-profiles.json.20260722-083552.bak","29649","Backup file"
"File","data\governance\wyrestorm-technical-profiles.json.20260722-090142.bak","35243","Backup file"
"File","data\governance\wyrestorm-technical-profiles.json.20260722-091530.bak","40382","Backup file"
"File","data\governance\wyrestorm-technical-profiles.json.20260722-115849.bak","45509","Backup file"
"File","data-sources\competitors\atlona.csv.20260722-090142.bak","41725","Backup file"
"File","data-sources\wyrestorm\products.csv.20260722-083258.bak","83492","Backup file"
"File","data-sources\wyrestorm\products.csv.20260722-083552.bak","83492","Backup file"
"File","data-sources\wyrestorm\products.csv.20260722-091530.bak","83964","Backup file"
"File","data-sources\wyrestorm\products.csv.20260722-115849.bak","84425","Backup file"
"File","server\product-intelligence-store.mjs.20260811-132222.bak","45720","Backup file"
"File","src\main.tsx.20260712-143240.bak","1252","Backup file"
"File","src\main.tsx.20260712-143533.bak","1252","Backup file"
"File","src\main.tsx.20260712-143821.bak","1291","Backup file"
"File","src\main.tsx.20260712-145428.bak","1252","Backup file"
"File","src\main.tsx.20260720-103614.bak","1518","Backup file"
"File","src\main.tsx.20260720-104415.bak","1625","Backup file"
"File","src\main.tsx.20260720-104654.bak","1625","Backup file"
"File","src\main.tsx.20260724-085018.bak","1881","Backup file"
"File","src\main.tsx.20260811-161643.bak","1815","Backup file"
"File","src\main.tsx.20260811-161809.bak","1815","Backup file"
"File","src\wingman2\components\compare\BattleCard.tsx.20260722-083258.bak","3906","Backup file"
"File","src\wingman2\components\compare\BattleCard.tsx.20260722-083552.bak","3906","Backup file"
"File","src\wingman2\components\compare\CompareShowdown.tsx.20260722-083258.bak","12625","Backup file"
"File","src\wingman2\components\compare\CompareShowdown.tsx.20260722-083552.bak","12625","Backup file"
"File","src\wingman2\components\compare\CompareShowdown.tsx.20260722-090142.bak","13113","Backup file"
"File","src\wingman2\components\compare\CompareShowdown.tsx.20260722-091900.bak","15083","Backup file"
"File","src\wingman2\components\compare\CompareShowdown.tsx.20260722-115941.bak","15125","Backup file"
"File","src\wingman2\components\ProposalCompletionWizard.tsx.20260713-203339.bak","34287","Backup file"
"File","src\wingman2\components\VisualStudioCanvas.tsx.20260712-143240.bak","10932","Backup file"
"File","src\wingman2\components\VisualStudioCanvas.tsx.20260712-143533.bak","10932","Backup file"
"File","src\wingman2\components\VisualStudioCanvas.tsx.before-react-flow-css-fix.bak","9822","Backup file"
"File","src\wingman2\components\VisualStudioCanvas.tsx.before-visual-tidy.bak","9862","Backup file"
"File","src\wingman2\components\WingmanGuruFab.tsx.20260714-133506.bak","11943","Backup file"
"File","src\wingman2\components\WingmanGuruFab.tsx.20260714-134732.bak","9479","Backup file"
"File","src\wingman2\components\WingmanGuruFab.tsx.20260714-135046.bak","9479","Backup file"
"File","src\wingman2\layout\AppShell.tsx.20260811-131538.bak","15177","Backup file"
"File","src\wingman2\layout\AppShell.tsx.20260811-155105.bak","15211","Backup file"
"File","src\wingman2\layout\AppShell.tsx.20260811-161643.bak","15640","Backup file"
"File","src\wingman2\layout\AppShell.tsx.20260811-161809.bak","15640","Backup file"
"File","src\wingman2\lib\compareSpecEngine.ts.20260722-083258.bak","35403","Backup file"
"File","src\wingman2\lib\compareSpecEngine.ts.20260722-083552.bak","35403","Backup file"
"File","src\wingman2\lib\compareSpecEngine.ts.20260722-090142.bak","42830","Backup file"
"File","src\wingman2\lib\compareSpecEngine.ts.20260722-091530.bak","45125","Backup file"
"File","src\wingman2\lib\compareSpecEngine.ts.20260722-115849.bak","45456","Backup file"
"File","src\wingman2\lib\productToolsVisualWeight.ts.20260720-104654.bak","4720","Backup file"
"File","src\wingman2\lib\visualStudioProductConnection.ts.20260714-120057.bak","14833","Backup file"
"File","src\wingman2\lib\visualStudioProductConnection.ts.20260714-120301.bak","14835","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-131538.bak","18600","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-133755.bak","18693","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-135347.bak","20042","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-140507.bak","20276","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-160841.bak","21431","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-163450.bak","21428","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-164042.bak","21428","Backup file"
"File","src\wingman2\pages\DataManagerPage.tsx.20260811-164409.bak","21428","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260713-165502.bak","78944","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260713-172017.bak","79187","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260713-172759.bak","82644","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260713-173326.bak","80953","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260717-121533.bak","96551","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260717-122217.bak","96551","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260717-122935.bak","96551","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-121952.bak","53899","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-134605.bak","60097","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-151607.bak","62878","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-152031.bak","62878","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-152541.bak","63358","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-154059.bak","63409","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-161150.bak","64150","Backup file"
"File","src\wingman2\pages\DiscoveryPage.tsx.20260806-162243.bak","64249","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260718-194100.bak","12969","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260718-194537.bak","13465","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260718-194713.bak","0","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260718-194923.bak","0","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260718-194936.bak","0","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260718-195020.bak","0","Backup file"
"File","src\wingman2\pages\NavigationHubPages.tsx.20260719-104349.bak","14137","Backup file"
