"Selector","Occurrences","Files"
".wingman-sidebar","15","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
":root","13","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wm-page","11","src\wingman2\styles\wingman-style-stack.css"
".wm-page-header","9","src\wingman2\styles\wingman-style-stack.css"
".wm-sidebar","8","src\wingman2\styles\wingman-style-stack.css"
"body","7","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-section-card","5","src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-button","4","src\wingman2\styles\wingman-style-stack.css"
".wm-btn","4","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-data-toolbar","2","src\wingman2\styles\wingman-workflow-theme.css"
