"Path","KB","Lines","ImportantRules","RootBlocks","SelectionRules","MediaBlocks"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_rebuild_20260708-055954\wingman-style-stack.corrupt.20260708-055954.css","1578476.91","37413","9140","7","3","199"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_vite_blank_20260708-055744\src_wingman2_styles_wingman-style-stack.css","1578476.91","37413","9140","7","3","199"
"backups\visual-studio-connectivity-layout-fix-20260712-130000\src\wingman2\styles\wingman-style-stack.css","1131.36","16233","4649","4","1","102"
"backups\visual-studio-fit-header-fix-20260712-124959\src\wingman2\styles\wingman-style-stack.css","1128.86","16147","4602","4","1","101"
"backups\visual-studio-viewport-fix-20260712-124259\src\wingman2\styles\wingman-style-stack.css","1128.86","16147","4602","4","1","101"
"backups\visual-studio-viewport-fix-20260712-123926\src\wingman2\styles\wingman-style-stack.css","1125.86","16044","4533","4","1","100"
"backups\visual-studio-viewport-fix-20260712-123722\src\wingman2\styles\wingman-style-stack.css","1125.86","16044","4533","4","1","100"
".wingman-backups\visual-studio-background-20260712-112955\wingman-style-stack.css","1124.78","16008","4522","4","1","100"
".wingman-backups\visual-studio-edges-20260712-111550\wingman-style-stack.css","1123.61","15967","4496","4","1","100"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_viewport_20260706-064746\wingman-style-stack.css","992.08","36009","9124","6","2","198"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_20260701-163338\src\wingman2\styles\wingman-style-stack.css","990.82","32218","9787","6","2","210"
"archive\_wingman_backup_compare_native_cleanup_20260615-133847\src\wingman2\styles\wingman-style-stack.css","763.01","25233","7620","6","0","167"
"archive\_wingman_backup_compare_cleanup_20260615-181403\src\wingman2\styles\wingman-style-stack.css","762.63","25224","7620","6","0","167"
"archive\_wingman_backup_compare_decision_focus_20260615-132537\src\wingman2\styles\wingman-style-stack.css","761.7","25183","7616","6","0","166"
"archive\_wingman_backup_compare_native_ui_20260615-211613\wingman-style-stack.css","760.8","24761","7684","6","0","166"
"archive\_wingman_backup_compare_more_button_20260615-203726\wingman-style-stack.css","760.8","24761","7684","6","0","166"
"archive\_wingman_backup_compare_sku_auto_run_20260615-131718\src\wingman2\styles\wingman-style-stack.css","760.47","25146","7609","6","0","166"
"archive\_wingman_backup_compare_match_detection_fix_20260615-125107\src\wingman2\styles\wingman-style-stack.css","759.41","25100","7608","6","0","166"
"archive\_wingman_backup_compare_invalid_sku_guard_20260615-131124\src\wingman2\styles\wingman-style-stack.css","759.41","25100","7608","6","0","166"
"archive\_wingman_backup_compare_more_button_20260615-203436\wingman-style-stack.css","759.35","24717","7682","6","0","166"
"archive\_wingman_backup_compare_match_presentation_20260615-124852\src\wingman2\styles\wingman-style-stack.css","758.46","25070","7605","6","0","166"
"archive\_wingman_backup_compare_start_reset_20260615-124430\src\wingman2\styles\wingman-style-stack.css","758.06","25059","7599","6","0","166"
"archive\_wingman_backup_compare_run_action_guard_20260615-123854\src\wingman2\styles\wingman-style-stack.css","755.7","24967","7595","6","0","165"
"archive\_wingman_backup_compare_visual_route_bridge_20260615-202629\wingman-style-stack.css","755.54","24608","7636","6","0","166"
"archive\_wingman_backup_compare_filter_logic_guard_20260615-123108\src\wingman2\styles\wingman-style-stack.css","754.97","24940","7594","6","0","165"
"archive\_wingman_backup_compare_sku_filter_state_guard_20260615-122531\src\wingman2\styles\wingman-style-stack.css","754.7","24930","7592","6","0","165"
"archive\_wingman_backup_actual_sku_alpha_filter_20260615-122021\src\wingman2\styles\wingman-style-stack.css","754.32","24919","7591","6","0","165"
"archive\_wingman_backup_compare_workflow_split_20260615-120833\src\wingman2\styles\wingman-style-stack.css","749.37","24750","7562","6","0","164"
"archive\_wingman_backup_product_callcards_sticky_layout_20260615-113741\src\wingman2\styles\wingman-style-stack.css","747.2","24677","7532","6","0","163"
"archive\_wingman_backup_compare_polished_results_20260615-202245\wingman-style-stack.css","746.93","24403","7569","6","0","165"
"archive\_wingman_backup_compare_layout_tighten_20260614-124836\wingman-style-stack.css","746.13","24869","7581","6","0","167"
