"File","Line","Text"
"src\wingman2\styles\wingman-polish-navigation.css","2334","html[data-wingman-route=""projects""] .wm-projects-compact-actions {"
"src\wingman2\styles\wingman-reference-global.css","235","/* WINGMAN_DESKTOP_DENSITY_90_START */"
"src\wingman2\styles\wingman-reference-global.css","506","/* WINGMAN_DESKTOP_DENSITY_90_END */"
"src\wingman2\styles\wingman-style-stack.css","1169","Wingman shell recovery fix"
"src\wingman2\styles\wingman-style-stack.css","1366","End Wingman shell recovery fix"
"src\wingman2\styles\wingman-style-stack.css","1375","/* === WINGMAN DASHBOARD VISUAL CORRECTION PASS START === */"
"src\wingman2\styles\wingman-style-stack.css","1596","/* === WINGMAN DASHBOARD VISUAL CORRECTION PASS END === */"
"src\wingman2\styles\wingman-style-stack.css","2025","/* === Wingman Visual Studio compact layout repair start === */"
"src\wingman2\styles\wingman-style-stack.css","2332","html[data-wingman-route] .wm-vs-node-emphasis-compact {"
"src\wingman2\styles\wingman-style-stack.css","2398","/* === Wingman Visual Studio compact layout repair end === */"
"src\wingman2\styles\wingman-style-stack.css","5194","html[data-wingman-route=""finder""] .wm-finder-redesign-page > .fixed.bottom-5.right-5 {"
"src\wingman2\styles\wingman-style-stack.css","5685","html[data-wingman-route=""finder""] .wm-finder-redesign-page > .fixed.bottom-5.right-5 {"
"src\wingman2\styles\wingman-style-stack.css","5794",".wingman-page-hero, .wingman-page-hero-compact, .vw2-hero,"
"src\wingman2\styles\wingman-style-stack.css","5939",".wingman-page-hero, .wingman-page-hero-compact, .vw2-hero,"
"src\wingman2\styles\wingman-style-stack.css","10777",".wingman-page-hero, .wingman-page-hero-compact, .vw2-hero,"
"src\wingman2\styles\wingman-style-stack.css","10930",".wingman-page-hero, .wingman-page-hero-compact, .vw2-hero,"
"src\wingman2\styles\wingman-style-stack.css","14726","/* Wingman settings 2x2 grid override - START */"
"src\wingman2\styles\wingman-style-stack.css","14819","/* Wingman settings 2x2 grid override - END */"
"src\wingman2\styles\wingman-style-stack.css","14821","/* Wingman compact navigation pages - START */"
"src\wingman2\styles\wingman-style-stack.css","14892","/* Wingman compact navigation pages - END */"
"src\wingman2\styles\wingman-style-stack.css","14894","/* Wingman compact action/utility pages - START */"
"src\wingman2\styles\wingman-style-stack.css","14966","/* Wingman compact action/utility pages - END */"
"src\wingman2\styles\wingman-style-stack.css","15220","/* Wingman compact navigation hub pages - START */"
"src\wingman2\styles\wingman-style-stack.css","15323","/* Wingman compact navigation hub pages - END */"
"src\wingman2\styles\wingman-style-stack.css","15326","/* Wingman templates compact filter panel - START */"
"src\wingman2\styles\wingman-style-stack.css","15418","/* Wingman templates compact filter panel - END */"
"src\wingman2\styles\wingman-style-stack.css","15862","/* Wingman Compare result matrix repair - START */"
"src\wingman2\styles\wingman-style-stack.css","16028","/* Wingman Compare result matrix repair - END */"
"src\wingman2\styles\wingman-style-stack.css","16109","/* Wingman Projects compact workspace layout - START */"
"src\wingman2\styles\wingman-style-stack.css","16359","/* Wingman Projects compact workspace layout - END */"
"src\wingman2\styles\wingman-style-stack.css","16448","/* Wingman Projects compact native hero - START */"
"src\wingman2\styles\wingman-style-stack.css","16450","html[data-wingman-route=""projects""] .wm-projects-compact-hero {"
"src\wingman2\styles\wingman-style-stack.css","16462","html[data-wingman-route=""projects""] .wm-projects-compact-hero-copy {"
"src\wingman2\styles\wingman-style-stack.css","16468","html[data-wingman-route=""projects""] .wm-projects-compact-title {"
"src\wingman2\styles\wingman-style-stack.css","16502","html[data-wingman-route=""projects""] .wm-projects-compact-actions {"
"src\wingman2\styles\wingman-style-stack.css","16510","html[data-wingman-route=""projects""] .wm-projects-compact-actions a {"
"src\wingman2\styles\wingman-style-stack.css","16521","html[data-wingman-route=""projects""] .wm-projects-compact-hero {"
"src\wingman2\styles\wingman-style-stack.css","16525","html[data-wingman-route=""projects""] .wm-projects-compact-actions {"
"src\wingman2\styles\wingman-style-stack.css","16530","/* Wingman Projects compact native hero - END */"
"src\wingman2\styles\wingman-style-stack.css","17184","/* WINGMAN PRODUCT PITCH SELECTOR REPAIR START */"
"src\wingman2\styles\wingman-style-stack.css","17452","/* WINGMAN PRODUCT PITCH SELECTOR REPAIR END */"
"src\wingman2\styles\wingman-style-stack.css","24220","/* WINGMAN_PRODUCTS_CARD_ALIGNMENT_FIX_START */"
"src\wingman2\styles\wingman-style-stack.css","24465","/* WINGMAN_PRODUCTS_CARD_ALIGNMENT_FIX_END */"
"src\wingman2\styles\wingman-style-stack.css","24466","/* WINGMAN_PRODUCTS_CARD_ROOM_FIX_START */"
"src\wingman2\styles\wingman-style-stack.css","24740","/* WINGMAN_PRODUCTS_CARD_ROOM_FIX_END */"
"src\wingman2\styles\wingman-workflow-theme.css","2187","html[data-wingman-route=""compare""] .compare-compact-result__products {"
"src\wingman2\styles\wingman-workflow-theme.css","2191","html[data-wingman-route=""compare""] .compare-compact-result__product {"
"src\wingman2\styles\wingman-workflow-theme.css","2197","html[data-wingman-route=""compare""] .compare-compact-result__product strong {"
"src\wingman2\styles\wingman-workflow-theme.css","2202","html[data-wingman-route=""compare""] .compare-compact-result__product--wyrestorm {"
"src\wingman2\styles\wingman-workflow-theme.css","2208","html[data-wingman-route=""compare""] .compare-compact-result__footnotes,"
"src\wingman2\styles\wingman-workflow-theme.css","2214","html[data-wingman-route=""compare""] .compare-compact-result__footnote-label {"
"src\wingman2\styles\wingman-workflow-theme.css","2359","html[data-wingman-route=""compare""] .compare-compact-result__product:first-child {"
"src\wingman2\styles\wingman-workflow-theme.css","2367","html[data-wingman-route=""compare""] .compare-compact-result__product:first-child > span {"
"src\wingman2\styles\wingman-workflow-theme.css","2371","html[data-wingman-route=""compare""] .compare-compact-result__product--wyrestorm {"
"src\wingman2\styles\wingman-workflow-theme.css","2378","html[data-wingman-route=""compare""] .compare-compact-result__reason {"
"src\wingman2\styles\wingman-workflow-theme.css","2409","html[data-wingman-route=""compare""] .compare-compact-result__footnotes,"
"src\wingman2\styles\wingman-workflow-theme.css","3033","/* WINGMAN_DISCOVERY_COMPACT_NAV_START"
"src\wingman2\styles\wingman-workflow-theme.css","3037","html[data-wingman-route=""discovery""] .wm-discovery-compact-stepbar {"
"src\wingman2\styles\wingman-workflow-theme.css","3050","html[data-wingman-route=""discovery""] .wm-discovery-compact-step-copy {"
"src\wingman2\styles\wingman-workflow-theme.css","3057","html[data-wingman-route=""discovery""] .wm-discovery-compact-step-copy strong {"
"src\wingman2\styles\wingman-workflow-theme.css","3065","html[data-wingman-route=""discovery""] .wm-discovery-compact-step-copy span {"
