"Selector","Occurrences","Files"
":is( html[data-wingman-route=""visualStudio""]","29","src\wingman2\styles\wingman-workflow-theme.css"
"@media (max-width: 1180px)","27","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"@media (max-width: 760px)","25","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-products-light-graphics.css; src\wingman2\styles\wingman-product-tools-visual-weight.css; src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"@media (max-width: 980px)","22","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 720px)","19","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"h2","17","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"h3","16","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"@media (max-width: 900px)","16","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wingman-sidebar","15","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-grid","14","src\wingman2\styles\wingman-style-stack.css"
"@media (max-width: 1100px)","14","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-products-light-graphics.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wingman-guru-fab[data-support-available=""true""]::after","13","src\wingman2\styles\wingman-style-stack.css"
"button.wingman-guru-fab[data-support-available=""true""]::after","13","src\wingman2\styles\wingman-style-stack.css"
":root","13","src\wingman2\styles\wingman-polish-navigation.css; src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
"select","12","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css; src\wingman2\styles\wingman-workflow-theme.css"
".wingman-guru-fab[data-support-available=""true""]::before","12","src\wingman2\styles\wingman-style-stack.css"
"button.wingman-guru-fab[data-support-available=""true""]::before","12","src\wingman2\styles\wingman-style-stack.css"
".wm-page","11","src\wingman2\styles\wingman-style-stack.css"
".wm-template-detail-hero","11","src\wingman2\styles\wingman-style-stack.css"
".wingman-page","11","src\wingman2\styles\wingman-style-stack.css"
".wingman-app","11","src\wingman2\styles\wingman-style-stack.css"
".wingman-workspace","11","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
"html body :is(.wingman-page-host","10","src\wingman2\styles\wingman-products-light-graphics.css"
".wm-shell","10","src\wingman2\styles\wingman-style-stack.css"
".wm-dashboard-project-grid","9","src\wingman2\styles\wingman-style-stack.css"
":where(.wm-app","9","src\wingman2\styles\wingman-style-stack.css"
".wm-page-header","9","src\wingman2\styles\wingman-style-stack.css"
".wingman-authority-shell > .wingman-sidebar","9","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
".wingman-shell > .wingman-sidebar","9","src\wingman2\styles\wingman-reference-global.css; src\wingman2\styles\wingman-reference-theme.css; src\wingman2\styles\wingman-style-stack.css"
