"Hash","Copies","BytesEach","Path"
"0044B3CBC6D1A18FCD997015C42C1954461D7D131D349A8C98844D29A33FF30F","2","752",".wingman-backups\app-style-package-repair-20260710-213752\validate-package-style-check.cjs"
"0044B3CBC6D1A18FCD997015C42C1954461D7D131D349A8C98844D29A33FF30F","2","752",".wingman-backups\app-style-package-repair-20260710-214228\validate-package-style-check.cjs"
"006DD37635B8F4299379D10756CE30387A2090E22A96098FABEF4AF9A5718E5A","4","2186",".wingman-work\backups\20260811-125215\src\wingman2\data\productWorkspaceHandoff.ts"
"006DD37635B8F4299379D10756CE30387A2090E22A96098FABEF4AF9A5718E5A","4","2186",".wingman-work\backups\20260811-125346\src\wingman2\data\productWorkspaceHandoff.ts"
"006DD37635B8F4299379D10756CE30387A2090E22A96098FABEF4AF9A5718E5A","4","2186",".wingman-work\backups\20260811-125821\src\wingman2\data\productWorkspaceHandoff.ts"
"006DD37635B8F4299379D10756CE30387A2090E22A96098FABEF4AF9A5718E5A","4","2186","src\wingman2\data\productWorkspaceHandoff.ts"
"024857541483FEAFB8A126EA922D9E5BEA617651BE122CF794EBA198FEC7684E","4","69946",".wingman-work\backups\20260811-125215\src\wingman2\pages\ProductCallCardsPage.tsx"
"024857541483FEAFB8A126EA922D9E5BEA617651BE122CF794EBA198FEC7684E","4","69946",".wingman-work\backups\20260811-125346\src\wingman2\pages\ProductCallCardsPage.tsx"
"024857541483FEAFB8A126EA922D9E5BEA617651BE122CF794EBA198FEC7684E","4","69946",".wingman-work\backups\20260811-125821\src\wingman2\pages\ProductCallCardsPage.tsx"
"024857541483FEAFB8A126EA922D9E5BEA617651BE122CF794EBA198FEC7684E","4","69946","src\wingman2\pages\ProductCallCardsPage.tsx"
"02F22A1C5E676A4AC86E8D99D73710799B4B51C0A79AF97AE46FCDCFDD8E6394","4","163542",".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-workflow-theme.css.20260806-133235.bak"
"02F22A1C5E676A4AC86E8D99D73710799B4B51C0A79AF97AE46FCDCFDD8E6394","4","163542",".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-workflow-theme.css.20260806-133235.bak"
"02F22A1C5E676A4AC86E8D99D73710799B4B51C0A79AF97AE46FCDCFDD8E6394","4","163542",".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-workflow-theme.css.20260806-133235.bak"
"02F22A1C5E676A4AC86E8D99D73710799B4B51C0A79AF97AE46FCDCFDD8E6394","4","163542","src\wingman2\styles\wingman-workflow-theme.css.20260806-133235.bak"
"036FCA61D89C7755D4E61DB424D403B35E3C45ABE6D21CF7DCB6AC9507998A6E","4","26660",".wingman-work\backups\20260811-125215\src\wingman2\pages\RecommendationsPage.tsx"
"036FCA61D89C7755D4E61DB424D403B35E3C45ABE6D21CF7DCB6AC9507998A6E","4","26660",".wingman-work\backups\20260811-125346\src\wingman2\pages\RecommendationsPage.tsx"
"036FCA61D89C7755D4E61DB424D403B35E3C45ABE6D21CF7DCB6AC9507998A6E","4","26660",".wingman-work\backups\20260811-125821\src\wingman2\pages\RecommendationsPage.tsx"
"036FCA61D89C7755D4E61DB424D403B35E3C45ABE6D21CF7DCB6AC9507998A6E","4","26660","src\wingman2\pages\RecommendationsPage.tsx"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345",".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-workflow-theme.css.20260713-161339.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345",".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-workflow-theme.css.20260713-172017.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345",".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-workflow-theme.css.20260713-161339.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345",".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-workflow-theme.css.20260713-172017.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345",".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-workflow-theme.css.20260713-161339.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345",".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-workflow-theme.css.20260713-172017.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345","src\wingman2\styles\wingman-workflow-theme.css.20260713-161339.bak"
"04B371F3DE1ACC8213AD5F0B97E8DE93F115379E5D5349429EF9FBF2EFD9E09C","8","24345","src\wingman2\styles\wingman-workflow-theme.css.20260713-172017.bak"
"052B54792BBBB02E60237F139A2A3E709339E80B346C74C4E634204BB0B54810","4","52812",".wingman-work\backups\20260811-125215\src\wingman2\pages\ProjectDetailPage.tsx.20260806-121952.bak"
"052B54792BBBB02E60237F139A2A3E709339E80B346C74C4E634204BB0B54810","4","52812",".wingman-work\backups\20260811-125346\src\wingman2\pages\ProjectDetailPage.tsx.20260806-121952.bak"
"052B54792BBBB02E60237F139A2A3E709339E80B346C74C4E634204BB0B54810","4","52812",".wingman-work\backups\20260811-125821\src\wingman2\pages\ProjectDetailPage.tsx.20260806-121952.bak"
"052B54792BBBB02E60237F139A2A3E709339E80B346C74C4E634204BB0B54810","4","52812","src\wingman2\pages\ProjectDetailPage.tsx.20260806-121952.bak"
"05A530BB54BAE8D204CF4F60A6CA003F507F2D41F15103879EA35DA072C7EEE5","5","742534","archive\_wingman_backup_compare_visual_regex_fix_20260615-184847\wingman-style-stack.css"
"05A530BB54BAE8D204CF4F60A6CA003F507F2D41F15103879EA35DA072C7EEE5","5","742534","archive\_wingman_backup_compare_visual_repair_20260615-184740\wingman-style-stack.css"
"05A530BB54BAE8D204CF4F60A6CA003F507F2D41F15103879EA35DA072C7EEE5","5","742534","archive\_wingman_backup_discovery_density_20260614-205934\wingman-style-stack.css"
"05A530BB54BAE8D204CF4F60A6CA003F507F2D41F15103879EA35DA072C7EEE5","5","742534","archive\_wingman_backup_discovery_guidance_commit_20260614-204418\wingman-style-stack.css"
"05A530BB54BAE8D204CF4F60A6CA003F507F2D41F15103879EA35DA072C7EEE5","5","742534","archive\_wingman_backup_discovery_strategy_fix_20260614-204612\wingman-style-stack.css"
"05AF4F8495EE42D36E26C4F9612C654BE76B26D98A617B6EAA0D183A3FF2F1A8","4","5151",".wingman-work\backups\20260811-125215\src\wingman2\data\competitorSourceFeeds.ts"
"05AF4F8495EE42D36E26C4F9612C654BE76B26D98A617B6EAA0D183A3FF2F1A8","4","5151",".wingman-work\backups\20260811-125346\src\wingman2\data\competitorSourceFeeds.ts"
"05AF4F8495EE42D36E26C4F9612C654BE76B26D98A617B6EAA0D183A3FF2F1A8","4","5151",".wingman-work\backups\20260811-125821\src\wingman2\data\competitorSourceFeeds.ts"
"05AF4F8495EE42D36E26C4F9612C654BE76B26D98A617B6EAA0D183A3FF2F1A8","4","5151","src\wingman2\data\competitorSourceFeeds.ts"
"05E6C38EEF23CE9C107546D552CC02745394085045158636BEF6ECC0762F187E","2","154216","_backups\discovery-finder-handoff-v2-20260720-075526\FinderPage.tsx"
"05E6C38EEF23CE9C107546D552CC02745394085045158636BEF6ECC0762F187E","2","154216","_backups\discovery-finder-handoff-v3-20260720-080002\FinderPage.tsx"
"06619700C590C9922AE3A5281E441C5AC495089D6866C0BCD3DB1C0734C5BB63","4","238897","backups\compare-sku-workspace-20260713-182648\ComparePageNew.advanced.tsx.bak"
"06619700C590C9922AE3A5281E441C5AC495089D6866C0BCD3DB1C0734C5BB63","4","238897","backups\compare-sku-workspace-20260713-182813\ComparePageNew.advanced.tsx.bak"
"06619700C590C9922AE3A5281E441C5AC495089D6866C0BCD3DB1C0734C5BB63","4","238897","backups\compare-sku-workspace-20260713-183431\ComparePageNew.advanced.tsx.bak"
"06619700C590C9922AE3A5281E441C5AC495089D6866C0BCD3DB1C0734C5BB63","4","238897","backups\compare-step-rail-20260713-182533\ComparePageNew.advanced.tsx.bak"
"0684E9AAB47A30A5918795F69A935DF4276DCA21F2B340D481632C4781E328D9","4","5287",".wingman-work\backups\20260811-125215\src\wingman2\components\ProductMediaPanel.tsx"
"0684E9AAB47A30A5918795F69A935DF4276DCA21F2B340D481632C4781E328D9","4","5287",".wingman-work\backups\20260811-125346\src\wingman2\components\ProductMediaPanel.tsx"
"0684E9AAB47A30A5918795F69A935DF4276DCA21F2B340D481632C4781E328D9","4","5287",".wingman-work\backups\20260811-125821\src\wingman2\components\ProductMediaPanel.tsx"
"0684E9AAB47A30A5918795F69A935DF4276DCA21F2B340D481632C4781E328D9","4","5287","src\wingman2\components\ProductMediaPanel.tsx"
"06AFA56AB658A05909504F0E2E78F8DFF7409F7A1CA8E7FD05D838FFC9282698","4","6642",".wingman-work\backups\20260811-125215\src\wingman2\lib\productSelectorEngine.test.ts"
