"Extension","Files","MB"
".css","179","3175.21"
".bak","618","1478.16"
".json","152","296.65"
".patch","10","133.86"
".pptx","20","118.78"
".pdf","22","33.41"
".csv","54","19.48"
".ts","1161","19.43"
".png","34","15.69"
".tsx","818","15.68"
".zip","8","9.8"
".md","92","7.62"
".xlsx","4","7.49"
".jpg","35","3.12"
".txt","72","3.07"
".mjs","281","2.3"
".bak-functional-compare-20260610-210328","2","1.12"
".bak-sales-helper-pages-20260610-204722","2","1.12"
".bak-compare-no-stretch-20260610-205544","1","1.08"
".bak-compare-right-rail-compact-20260610-205812","1","1.08"
".bak-sales-helper-readable-fit-20260610-204247","1","1.07"
".bak-sales-helper-fit-viewport-20260610-203514","1","1.07"
".bak-compare-density-20260610-205338","1","1.07"
".bak-sales-helper-compact-20260610-203224","2","1.07"
".bak-sales-helper-card-shape-fonts-20260610-205106","1","1.07"
".bak-sales-helper-final-compact-20260610-204112","1","1.07"
".bak-sales-helper-safe-scope-20260610-203906","1","1.07"
".bak-sales-helper-route-fit-20260610-203713","1","1.07"
".bak-repair-current-diff-20260627-191539","2","1.03"
".bak-consolidate-live-call-cards-20260627-142107","3","1.03"
".backup-status-contrast-20260707-065600","1","1.01"
".bak-template-seed-repair-20260627-075833","3","1.01"
".bak-template-discovery-seed-20260627-075622","3","1"
".bak-before-real-compact-20260627-181521","2","0.99"
".bak-real-compact-template-jsx-20260627-182649","2","0.99"
".bak-compact-template-cards-20260627-180256","2","0.99"
".bak-template-picker-cleanup-20260627-200806","2","0.99"
".bak-prune-alpha-readout-20260627-194017","2","0.98"
".bak-hide-alpha-stray-text-20260627-194246","1","0.97"
".bak-alpha-css-clean-20260628-050052","1","0.97"
".bak-remove-alpha-css-hacks-20260628-045857","1","0.97"
".bak-discovery-25pc-compact-20260627-201757","1","0.97"
".bak-disable-alpha-readout-dom-20260627-191018","2","0.97"
".bak-disable-alpha-readout-dom-20260627-191207","2","0.97"
".bak-template-proposal-handoff-20260627-094536","2","0.97"
".bak-remove-discovery-flow-and-unanswered-20260627-090110","3","0.96"
".bak-template-proposal-handoff-20260627-094422","2","0.96"
".bak-template-library-refresh-20260627-070946","2","0.96"
".bak-collapse-product-call-card-gap-20260627-193650","1","0.96"
".bak-template-library-refresh-20260627-071138","2","0.96"
".bak-compare-manufacturer-auto-advance-20260627-110806","2","0.95"
".bak-style-drift-sweep-20260627-111512","1","0.95"
".bak-client-safe-complete-template-builder-20260627-091822","2","0.95"
".bak-template-stage-highlight-20260627-095008","2","0.95"
".bak-template-solution-builder-20260627-085516","3","0.95"
".bak-template-decision-flow-20260627-110027","1","0.94"
".bak-hide-legacy-discovery-20260627-090437","2","0.94"
".bak-compare-manufacturer-assist-20260627-110542","1","0.94"
".bak-guru-clean-final-20260622-161818","3","0.93"
".bak-guru-final-tidy-20260622-161420","2","0.93"
".bak-guru-clean-final-20260622-161750","3","0.93"
".bak-guru-final-restore-20260622-151819","3","0.93"
".bak-staged-action-container-glow-20260627-095437","1","0.93"
".bak-staged-whole-card-glow-20260627-105108","1","0.93"
".bak-template-staged-button-state-20260627-105338","1","0.93"
".bak-guru-portal-20260622-161122","2","0.92"
".bak-template-style-refresh-20260627-071725","1","0.91"
".bak-template-library-padding-20260627-072535","1","0.91"
".bak-project-heading-scroll-20260627-054828","2","0.91"
".bak-project-section-header-padding-20260627-055934","1","0.9"
".bak-remove-navhub-submodes-20260627-062801","1","0.9"
".bak-project-header-arrows-20260627-054429","1","0.9"
".bak-hide-project-details-marker-20260627-055225","1","0.9"
".bak-remove-info-pills-20260627-062457","1","0.9"
".bak-project-header-arrows-20260627-054533","1","0.9"
".bak-finder-stepper-state-20260622-202224","1","0.89"
".bak-finder-select-contrast-20260622-201559","1","0.88"
".bak-guru-message-contrast-20260622-201011","1","0.88"
".bak-guru-single-column-20260622-194236","1","0.88"
".bak-guru-single-column-20260622-194055","1","0.88"
".bak-20260622-141130","1","0.87"
".bak-final-pill-diff-tidy-20260622-142555","1","0.87"
".bak-css-encoding-final-20260622-162558","1","0.87"
