"Folder","Files","MB"
"archive","1225","4805.46"
"reports","156","199.58"
"public","126","176.14"
"backups","127","110.63"
".wingman-work","1245","52.66"
".wingman-backups","128","27.42"
"src","450","21.03"
"data","41","17.71"
"data-sources","53","13.64"
"docs","51","4.61"
"_backups","141","3.29"
"tools","183","1.38"
"server","34","0.58"
"package-lock.json","1","0.38"
"_RECOVERY","4","0.26"
"repair-dashboard-guru-regressions.ps1","1","0.04"
"package.json","1","0.02"
"Wingman-Product-Database-Review-Queue.xlsx","1","0.02"
"implement-product-data-manager.ps1","1","0.02"
"unblock-local-data-manager.ps1","1","0.01"
".github","3","0.01"
"fix-data-manager-route-identity.ps1","1","0.01"
"fix-data-manager-heading-spacing.ps1","1","0.01"
"fix-data-manager-static-shell.ps1","1","0.01"
"fix-data-manager-specificity-and-toolbar.ps1","1","0.01"
"remove-data-manager-nested-scroll.ps1","1","0.01"
"vite.config.ts","1","0.01"
"repair-data-manager-data-viewport.ps1","1","0.01"
"refactor-data-manager-layout.ps1","1","0.01"
"maximise-data-manager-workspace.ps1","1","0.01"
".claude","4","0.01"
"set-data-manager-results-scroll.ps1","1","0.01"
"fix-data-manager-dev-session-and-route.ps1","1","0.01"
"consolidate-data-manager-css.ps1","1","0.01"
"audit-wingman-repo-size.ps1","1","0.01"
"data-manager-density-pass3.ps1","1","0.01"
"correct-data-manager-scroll-direction.ps1","1","0.01"
"compact-data-manager-viewport.ps1","1","0.01"
"compact-data-manager-actions-and-quality-filters.ps1","1","0.01"
"fix-data-manager-scroll-chain.ps1","1","0.01"
"compact-data-manager-static-chrome.ps1","1","0.01"
"compact-data-manager-density-pass2.ps1","1","0.01"
"enable-local-data-manager-admin.ps1","1","0.01"
".codex-vite.out.log","1","0.01"
"final-fix-data-manager-scroll.ps1","1","0.01"
".env","1","0.01"
"audit-wingman-repo-size-v2.ps1","1","0.01"
"audit-wingman-repo-size-v3.ps1","1","0.01"
".env.example","1","0.01"
"supabase","4","0.01"
"verify-failure.txt","1","0"
"tsconfig.typecheck.json","1","0"
".githooks","1","0"
"nginx","1","0"
"vitest.config.ts","1","0"
".codex-compare-dev.err.log","1","0"
"tsconfig.json","1","0"
"bashcreated.txt","1","0"
".sync-test.txt","1","0"
".gitignore","1","0"
"docker-compose.yml","1","0"
"DEPLOYMENT.md","1","0"
"components.json","1","0"
".dockerignore","1","0"
".codex-vite.err.log","1","0"
".codex-compare-dev.log","1","0"
".gitattributes","1","0"
".env.production.example","1","0"
".env.local","1","0"
"Dockerfile","1","0"
"render.yaml","1","0"
"README.md","1","0"
"postcss.config.js","1","0"
"tighten-data-manager-top-spacing.ps1","1","0"
"tailwind.config.js","1","0"
"SECURITY.md","1","0"
"finish-data-quality-fix.ps1","1","0"
"eslint.config.js","1","0"
"Dockerfile.server","1","0"
"New Text Document.txt","1","0"
"index.html","1","0"
"fix-orphaned-product-governance.ps1","1","0"
