"Path","TopFolder","Extension","Bytes","KB"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_vite_blank_20260708-055744\src_wingman2_styles_wingman-style-stack.css","archive",".css","1616360356","1578476.91"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_rebuild_20260708-055954\wingman-style-stack.corrupt.20260708-055954.css","archive",".css","1616360356","1578476.91"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.pre-bloat-clean-20260707-203929.bak","archive",".bak","726675982","709644.51"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.pre-clean-20260707-202548.bak","archive",".bak","327036552","319371.63"
"reports\product-classification-audit-2026-06-18T20-12-54-931Z.json","reports",".json","165708398","161824.61"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.remove-template-library-band-20260707-195213.bak","archive",".bak","147501345","144044.28"
"archive\repo-cleanup-20260709-050830\root-artifacts\_review\wide-text-hygiene-backup.patch","archive",".patch","133057390","129938.86"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-click-expand-recovery-20260707-194541.bak","archive",".bak","66853093","65286.22"
"public\product-docs\Presentation and Conferencing\Product Training Brochure\Wireless Conferencing Solution Training.pptx","public",".pptx","34238462","33436"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-click-expand-20260707-194235.bak","archive",".bak","30625884","29908.09"
"archive\_wingman_backup_product_suppression_fix_20260615-135005\public\product-intelligence-index.json","archive",".json","27271421","26632.25"
"archive\_wingman_backup_package_sanitizer_wire_fix_20260615-135201\public\product-intelligence-index.json","archive",".json","27271421","26632.25"
"archive\_wingman_backup_suppressed_discontinued_products_20260615-134506\public\product-intelligence-index.json","archive",".json","27271421","26632.25"
"reports\product-classification-audit-2026-06-18T20-12-54-931Z.csv","reports",".csv","17582556","17170.46"
"backups\wyrestorm-port-count-recovery-20260714-051514\data_wingman-canonical-product-store.json.bak","backups",".bak","14826153","14478.67"
"backups\wyrestorm-port-count-repair-20260714-051033\data_wingman-canonical-product-store.json.bak","backups",".bak","14823116","14475.7"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-micro-cards-20260707-193503.bak","archive",".bak","14347648","14011.38"
"data\wingman-canonical-product-store.json","data",".json","14302797","13967.58"
"archive\_wingman_backup_discovery_image_swap_20260616-092108\wingman-style-stack.css.bak","archive",".bak","13920114","13593.86"
"public\product-docs\Presentation and Conferencing\Product Training Brochure\MX-0403-H3-MST Product Training Brochure_V1.0_2025.10.28.pptx","public",".pptx","13749415","13427.16"
"backups\wyrestorm-port-count-repair-20260714-051033\data-sources_wyrestorm_enrichment.json.bak","backups",".bak","13490770","13174.58"
"backups\wyrestorm-port-count-recovery-20260714-051514\data-sources_wyrestorm_enrichment.json.bak","backups",".bak","13489960","13173.79"
"backups\avoip-data-20260713-193257\data-sources\wyrestorm\enrichment.json","backups",".json","13447304","13132.13"
".wingman-backups\technical-summary-enrichment-20260711-231528\enrichment.json.bak",".wingman-backups",".bak","13288839","12977.38"
"data-sources\wyrestorm\enrichment.json","data-sources",".json","12993440","12688.91"
"backups\wyrestorm-port-count-recovery-20260714-051514\public_product-intelligence-index.json.bak","backups",".bak","11282316","11017.89"
"backups\wyrestorm-port-count-repair-20260714-051033\public_product-intelligence-index.json.bak","backups",".bak","11279998","11015.62"
"public\product-intelligence-index.json","public",".json","10580275","10332.3"
"public\product-docs\Video Processor\Product Training Brochure\Product Brochure--SW-0206-VW_V1.1_2025.3.31.pptx","public",".pptx","8738837","8534.02"
"public\product-docs\Presentation and Conferencing\Product Training Brochure\SW-640L-TX-W Product Training Brochure V1.0_2024.11.25.pptx","public",".pptx","8163714","7972.38"
"public\product-docs\NetworkHD AV over IP\Competitor Analysis\Wyrestorm AVoIP HDMI2.0 specs Comparison v4.0_250625.xlsx","public",".xlsx","7776297","7594.04"
"reports\product-classification-audit-2026-06-18T20-12-54-931Z.md","reports",".md","7317660","7146.15"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-compact-hover-20260707-192422.bak","archive",".bak","7036794","6871.87"
"archive\_wingman_backup_video_wall_bar_tile_20260616-091851\wingman-style-stack.css.bak","archive",".bak","6697644","6540.67"
"public\product-docs\NetworkHD AV over IP\NHD 100s\Product Training Brochure\NHD-128-NDI-TRX Product Training Brochure_V1.0_2025.9.9.pptx","public",".pptx","6490876","6338.75"
"public\product-docs\Matrix Solution\Product Training Brochure\Product Brochure -MX-0812-SCL V1.0_2025.3.13.pptx","public",".pptx","6159165","6014.81"
"public\product-docs\Audio\Product Training Brochure\HALO 80 Product Training Brochure_V1.0_2025.9.25.pptx","public",".pptx","5209629","5087.53"
"public\product-docs\Unified Communication\Product Training Brochure\APO-VX20-UC v2 Product Training Brochure_V1.0_2026.4.pptx","public",".pptx","5201273","5079.37"
"public\product-docs\Control System\Product Training Brochure\SYN-CTL-HUB Product Training Brochure_V1.0_2025.3.5.pptx","public",".pptx","5052823","4934.4"
"public\product-docs\NetworkHD AV over IP\NHD 500s\One Pager\NHD-500.pdf","public",".pdf","4748316","4637.03"
