"Path","Extension","Lines","KB"
"reports\product-classification-audit-2026-06-18T20-12-54-931Z.json",".json","1067192","161824.61"
"archive\_wingman_backup_product_suppression_fix_20260615-135005\public\product-intelligence-index.json",".json","523677","26632.25"
"archive\_wingman_backup_suppressed_discontinued_products_20260615-134506\public\product-intelligence-index.json",".json","523677","26632.25"
"archive\_wingman_backup_package_sanitizer_wire_fix_20260615-135201\public\product-intelligence-index.json",".json","523677","26632.25"
"data\wingman-canonical-product-store.json",".json","294579","13967.58"
"backups\avoip-data-20260713-193257\data-sources\wyrestorm\enrichment.json",".json","283645","13132.13"
"data-sources\wyrestorm\enrichment.json",".json","274710","12688.91"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_vite_blank_20260708-055744\src_wingman2_styles_wingman-style-stack.css",".css","37413","1578476.91"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_rebuild_20260708-055954\wingman-style-stack.corrupt.20260708-055954.css",".css","37413","1578476.91"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_viewport_20260706-064746\wingman-style-stack.css",".css","36009","992.08"
"data\runtime\product-intelligence-state.json",".json","35325","1221.37"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_repair_20260701-164217\compareAutoIdentify.ts",".ts","34613","2385.17"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_20260701-163338\src\wingman2\styles\wingman-style-stack.css",".css","32218","990.82"
"src\wingman2\styles\wingman-style-stack.css",".css","25350","708.29"
".wingman-work\backups\20260811-125821\src\wingman2\styles\wingman-style-stack.css",".css","25350","708.29"
".wingman-work\backups\20260811-125346\src\wingman2\styles\wingman-style-stack.css",".css","25350","708.29"
".wingman-work\backups\20260811-125215\src\wingman2\styles\wingman-style-stack.css",".css","25350","708.29"
"archive\_wingman_backup_compare_native_cleanup_20260615-133847\src\wingman2\styles\wingman-style-stack.css",".css","25233","763.01"
"archive\_wingman_backup_compare_cleanup_20260615-181403\src\wingman2\styles\wingman-style-stack.css",".css","25224","762.63"
"archive\_wingman_backup_compare_decision_focus_20260615-132537\src\wingman2\styles\wingman-style-stack.css",".css","25183","761.7"
"archive\_wingman_backup_compare_sku_auto_run_20260615-131718\src\wingman2\styles\wingman-style-stack.css",".css","25146","760.47"
"archive\_wingman_backup_compare_invalid_sku_guard_20260615-131124\src\wingman2\styles\wingman-style-stack.css",".css","25100","759.41"
"archive\_wingman_backup_compare_match_detection_fix_20260615-125107\src\wingman2\styles\wingman-style-stack.css",".css","25100","759.41"
"archive\_wingman_backup_compare_match_presentation_20260615-124852\src\wingman2\styles\wingman-style-stack.css",".css","25070","758.46"
"archive\_wingman_backup_compare_start_reset_20260615-124430\src\wingman2\styles\wingman-style-stack.css",".css","25059","758.06"
"archive\_wingman_backup_compare_run_action_guard_20260615-123854\src\wingman2\styles\wingman-style-stack.css",".css","24967","755.7"
"archive\_wingman_backup_compare_filter_logic_guard_20260615-123108\src\wingman2\styles\wingman-style-stack.css",".css","24940","754.97"
"archive\_wingman_backup_compare_sku_filter_state_guard_20260615-122531\src\wingman2\styles\wingman-style-stack.css",".css","24930","754.7"
"archive\_wingman_backup_actual_sku_alpha_filter_20260615-122021\src\wingman2\styles\wingman-style-stack.css",".css","24919","754.32"
"archive\_wingman_backup_compare_layout_tighten_20260614-124836\wingman-style-stack.css",".css","24869","746.13"
"archive\_wingman_backup_compare_more_button_20260615-203726\wingman-style-stack.css",".css","24761","760.8"
"archive\_wingman_backup_compare_native_ui_20260615-211613\wingman-style-stack.css",".css","24761","760.8"
"archive\_wingman_backup_compare_workflow_split_20260615-120833\src\wingman2\styles\wingman-style-stack.css",".css","24750","749.37"
"archive\_wingman_backup_compare_more_button_20260615-203436\wingman-style-stack.css",".css","24717","759.35"
"archive\_wingman_backup_product_callcards_sticky_layout_20260615-113741\src\wingman2\styles\wingman-style-stack.css",".css","24677","747.2"
"archive\_wingman_backup_compare_lookup_visible_skus_20260614-121232\wingman-style-stack.css",".css","24625","741.13"
"archive\_wingman_backup_compare_full_visible_skus_20260614-121739\wingman-style-stack.css",".css","24625","741.13"
"archive\_wingman_backup_compare_visible_skus_direct_20260614-121400\wingman-style-stack.css",".css","24625","741.13"
"archive\_wingman_backup_compare_visual_route_bridge_20260615-202629\wingman-style-stack.css",".css","24608","755.54"
"archive\_wingman_backup_product_story_language_20260615-113106\src\wingman2\styles\wingman-style-stack.css",".css","24587","745.11"
"archive\_wingman_backup_compare_visible_brand_skus_20260614-121122\wingman-style-stack.css",".css","24576","739.94"
"archive\_wingman_backup_compare_typeahead_guard_v2_20260614-114108\wingman-style-stack.css",".css","24531","738.94"
"archive\_wingman_backup_compare_typeahead_full_replace_20260614-114456\wingman-style-stack.css",".css","24531","738.94"
"archive\_wingman_backup_compare_brand_sku_dropdown_20260614-113339\wingman-style-stack.css",".css","24531","738.94"
"archive\_wingman_backup_compare_typeahead_guard_20260614-113741\wingman-style-stack.css",".css","24531","738.94"
"archive\_wingman_backup_compare_ascii_cleanup_20260614-104525\wingman-style-stack.css",".css","24531","738.94"
"archive\_wingman_backup_alpha_numeric_filter_20260615-111554\src\wingman2\styles\wingman-style-stack.css",".css","24515","743.44"
"archive\_wingman_backup_compare_hard_reset_20260614-103527\src\wingman2\styles\wingman-style-stack.css",".css","24485","737.92"
"archive\_wingman_backup_compare_polished_results_20260615-202245\wingman-style-stack.css",".css","24403","746.93"
"archive\_wingman_backup_compare_simple_summary_20260615-195115\wingman-style-stack.css",".css","24309","743.49"
"archive\_wingman_backup_compare_minimal_results_20260615-201159\wingman-style-stack.css",".css","24309","743.49"
"archive\_wingman_backup_compare_simple_summary_20260615-194901\wingman-style-stack.css",".css","24288","742.76"
"archive\_wingman_backup_compare_text_card_repair_20260615-193859\wingman-style-stack.css",".css","24249","741.24"
"archive\_wingman_backup_compare_v5_20260614-102800\src\wingman2\styles\wingman-style-stack.css",".css","24169","731.37"
"archive\_wingman_backup_compare_route_lock_20260614-102158\src\wingman2\styles\wingman-style-stack.css",".css","24169","731.37"
"archive\_wingman_backup_compare_auto_scroll_20260615-221407\wingman-style-stack.css",".css","24067","731.99"
"archive\_wingman_backup_compare_result_layout_20260615-190524\wingman-style-stack.css",".css","24063","735.15"
"data\catalog\competitor-products.generated.json",".json","23989","751.31"
"archive\_wingman_backup_compare_result_styling_20260615-185918\wingman-style-stack.css",".css","23897","730.16"
"archive\_wingman_backup_discovery_density_20260614-205934\wingman-style-stack.css",".css","23761","725.13"
"archive\_wingman_backup_compare_visual_regex_fix_20260615-184847\wingman-style-stack.css",".css","23761","725.13"
"archive\_wingman_backup_discovery_strategy_fix_20260614-204612\wingman-style-stack.css",".css","23761","725.13"
"archive\_wingman_backup_compare_visual_repair_20260615-184740\wingman-style-stack.css",".css","23761","725.13"
"archive\_wingman_backup_discovery_guidance_commit_20260614-204418\wingman-style-stack.css",".css","23761","725.13"
"archive\_wingman_backup_discovery_guidance_fix_20260614-202337\wingman-style-stack.css",".css","23752","724.94"
"archive\_wingman_backup_sales_helper_direction_flow_20260614-095248\wingman-style-stack.css",".css","23738","723"
"archive\_wingman_backup_sales_helper_mic_capture_20260614-094542\wingman-style-stack.css",".css","23620","719.37"
"archive\_wingman_backup_sales_helper_wizard_20260614-094034\wingman-style-stack.css",".css","23459","714.68"
"archive\_wingman_backup_discovery_capture_20260614-201732\wingman-style-stack.css",".css","23321","715.19"
"archive\_wingman_backup_before_compare_restore_20260614-052137\src_wingman2_styles_wingman-style-stack.css",".css","23286","707.31"
"archive\_wingman_backup_guru_movable_20260614-050939\src\wingman2\styles\wingman-style-stack.css",".css","23240","705.83"
"archive\_wingman_backup_guru_icon_fix_20260614-051319\wingman-style-stack.css",".css","23192","704.82"
"archive\_wingman_backup_compare_workflow_cleanup_20260613-214444\src\wingman2\styles\wingman-style-stack.css",".css","23172","709.52"
"archive\_wingman_backup_sales_helper_layout_20260614-093841\wingman-style-stack.css",".css","23162","708.98"
"archive\_wingman_backup_clean_guru_compare_20260614-063638\wingman-style-stack.css",".css","23146","708.33"
"archive\_wingman_backup_compare_start_cleanup_20260613-214227\src\wingman2\styles\wingman-style-stack.css",".css","23123","707.49"
"archive\_wingman_backup_remove_compare_matrix_stage_20260613-214049\src\wingman2\styles\wingman-style-stack.css",".css","23104","706.79"
"archive\_wingman_backup_compare_badge_contrast_20260614-074744\wingman-style-stack.css",".css","23092","706.22"
"archive\_wingman_backup_compare_direct_results_20260613-213828\src\wingman2\styles\wingman-style-stack.css",".css","23085","706.11"
"archive\_wingman_backup_fix_compare_reset_blank_page_20260613-212847\src\wingman2\styles\wingman-style-stack.css",".css","23080","706.6"
"archive\_wingman_backup_fix_compare_reset_suppression_20260613-213320\src\wingman2\styles\wingman-style-stack.css",".css","23063","705.46"
"archive\_wingman_backup_restore_sweeping_guru_20260614-064242\src\wingman2\styles\wingman-style-stack.css",".css","23057","704.97"
"archive\_wingman_backup_fix_compare_reset_20260613-212257\src\wingman2\styles\wingman-style-stack.css",".css","23052","705.18"
"archive\_wingman_backup_remove_duplicate_guru_20260614-064058\wingman-style-stack.css",".css","23051","704.99"
"archive\_wingman_backup_compare_guru_mic_repair_20260614-062500\wingman-style-stack.css",".css","23046","704.58"
"archive\_wingman_backup_restore_global_guru_20260614-064442\src\wingman2\styles\wingman-style-stack.css",".css","23044","704.72"
"archive\_wingman_backup_restore_guru_compare_20260614-062659\wingman-style-stack.css",".css","23043","705.23"
"archive\_wingman_backup_guru_single_instance_20260614-063825\src\wingman2\styles\wingman-style-stack.css",".css","23039","704.97"
"archive\_wingman_backup_mic_scope_20260614-061410\wingman-style-stack.css",".css","23000","702.85"
"archive\_wingman_backup_guru_20260614-050537\src\wingman2\styles\wingman-style-stack.css",".css","22935","699.64"
"archive\_wingman_backup_clean_wireless_compare_result_20260613-211951\src\wingman2\styles\wingman-style-stack.css",".css","22918","701.19"
