"Type","Package","Version"
"dependencies","@base-ui/react","^1.7.0"
"dependencies","@fontsource-variable/geist","^5.3.0"
"dependencies","@supabase/ssr","^0.12.4"
"dependencies","@xyflow/react","^12.10.2"
"dependencies","class-variance-authority","^0.7.1"
"dependencies","clsx","^2.1.1"
"dependencies","docx","^9.7.1"
"dependencies","html-to-image","^1.11.13"
"dependencies","husky","^9.1.7"
"dependencies","jszip","^3.10.1"
"dependencies","lucide-react","^0.511.0"
"dependencies","mammoth","^1.12.0"
"dependencies","pdfjs-dist","^4.10.38"
"dependencies","react","^18.3.1"
"dependencies","react-dom","^18.3.1"
"dependencies","react-router-dom","^7.11.0"
"dependencies","shadcn","^4.16.1"
"dependencies","tailwind-merge","^3.6.0"
"dependencies","tw-animate-css","^1.4.0"
"devDependencies","@eslint/js","^9.39.4"
"devDependencies","@playwright/test","^1.59.1"
"devDependencies","@supabase/supabase-js","^2.112.0"
"devDependencies","@testing-library/jest-dom","^6.6.0"
"devDependencies","@testing-library/react","^16.0.0"
"devDependencies","@types/node","^20.19.0"
"devDependencies","@types/react","^18.3.12"
"devDependencies","@types/react-dom","^18.3.1"
"devDependencies","@vitejs/plugin-react","^6.0.1"
"devDependencies","@vitest/coverage-v8","^4.1.8"
"devDependencies","autoprefixer","^10.4.20"
"devDependencies","axe-core","^4.11.4"
"devDependencies","eslint","^9.39.4"
"devDependencies","eslint-plugin-import","^2.32.0"
"devDependencies","eslint-plugin-jsx-a11y","^6.10.2"
"devDependencies","eslint-plugin-react","^7.37.5"
"devDependencies","eslint-plugin-react-hooks","^7.1.0"
"devDependencies","jsdom","^26.1.0"
"devDependencies","playwright","^1.60.0"
"devDependencies","postcss","^8.5.23"
"devDependencies","tailwindcss","^3.4.17"
"devDependencies","typescript","^5.6.3"
"devDependencies","typescript-eslint","^8.58.2"
"devDependencies","vite","^8.0.8"
"devDependencies","vitest","^4.1.8"
