"Path","TopFolder","Extension","Bytes","KB"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_css_rebuild_20260708-055954\wingman-style-stack.corrupt.20260708-055954.css","archive",".css","1616360356","1578476.91"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_vite_blank_20260708-055744\src_wingman2_styles_wingman-style-stack.css","archive",".css","1616360356","1578476.91"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.pre-bloat-clean-20260707-203929.bak","archive",".bak","726675982","709644.51"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.pre-clean-20260707-202548.bak","archive",".bak","327036552","319371.63"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.remove-template-library-band-20260707-195213.bak","archive",".bak","147501345","144044.28"
"archive\repo-cleanup-20260709-050830\root-artifacts\_review\wide-text-hygiene-backup.patch","archive",".patch","133057390","129938.86"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-click-expand-recovery-20260707-194541.bak","archive",".bak","66853093","65286.22"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-click-expand-20260707-194235.bak","archive",".bak","30625884","29908.09"
"archive\_wingman_backup_product_suppression_fix_20260615-135005\public\product-intelligence-index.json","archive",".json","27271421","26632.25"
"archive\_wingman_backup_package_sanitizer_wire_fix_20260615-135201\public\product-intelligence-index.json","archive",".json","27271421","26632.25"
"archive\_wingman_backup_suppressed_discontinued_products_20260615-134506\public\product-intelligence-index.json","archive",".json","27271421","26632.25"
"backups\wyrestorm-port-count-recovery-20260714-051514\data_wingman-canonical-product-store.json.bak","backups",".bak","14826153","14478.67"
"backups\wyrestorm-port-count-repair-20260714-051033\data_wingman-canonical-product-store.json.bak","backups",".bak","14823116","14475.7"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-micro-cards-20260707-193503.bak","archive",".bak","14347648","14011.38"
"archive\_wingman_backup_discovery_image_swap_20260616-092108\wingman-style-stack.css.bak","archive",".bak","13920114","13593.86"
"backups\wyrestorm-port-count-repair-20260714-051033\data-sources_wyrestorm_enrichment.json.bak","backups",".bak","13490770","13174.58"
"backups\wyrestorm-port-count-recovery-20260714-051514\data-sources_wyrestorm_enrichment.json.bak","backups",".bak","13489960","13173.79"
"backups\avoip-data-20260713-193257\data-sources\wyrestorm\enrichment.json","backups",".json","13447304","13132.13"
".wingman-backups\technical-summary-enrichment-20260711-231528\enrichment.json.bak",".wingman-backups",".bak","13288839","12977.38"
"backups\wyrestorm-port-count-recovery-20260714-051514\public_product-intelligence-index.json.bak","backups",".bak","11282316","11017.89"
"backups\wyrestorm-port-count-repair-20260714-051033\public_product-intelligence-index.json.bak","backups",".bak","11279998","11015.62"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-compact-hover-20260707-192422.bak","archive",".bak","7036794","6871.87"
"archive\_wingman_backup_video_wall_bar_tile_20260616-091851\wingman-style-stack.css.bak","archive",".bak","6697644","6540.67"
"archive\repo-cleanup-20260709-050830\src-snapshots\src\wingman2\styles\wingman-style-stack.css.templates-compact-hover-20260707-192321.bak","archive",".bak","3752641","3664.69"
"archive\_wingman_backup_force_photo_context_cards_20260616-091625\wingman-style-stack.css.bak","archive",".bak","3455791","3374.8"
"archive\repo-cleanup-20260709-050830\root-artifacts\EasySchematic-master.zip","archive",".zip","3262449","3185.99"
"archive\repo-cleanup-20260709-050830\root-artifacts\docs.zip","archive",".zip","2883692","2816.11"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_before_dashboard_redesign_revert_20260706-095756\staged.patch","archive",".patch","2877146","2809.71"
"archive\repo-cleanup-20260709-050830\root-artifacts\_review\focused-text-hygiene-and-build-fix.patch","archive",".patch","2623234","2561.75"
"archive\repo-cleanup-20260709-050830\root-backups\_wingman_backup_compare_auto_identify_repair_20260701-164217\compareAutoIdentify.ts","archive",".ts","2442415","2385.17"
