"Path","TopFolder","Extension","Bytes","KB"
"tools\enrich-wyrestorm-product-intelligence.mjs","tools",".mjs","108264","105.73"
"tools\refactor-room-templates-advisor.mjs","tools",".mjs","69201","67.58"
"tools\repair-product-call-card-practical-copy.mjs","tools",".mjs","53676","52.42"
"tools\rewrite-product-pitch-sales-desk.mjs","tools",".mjs","42516","41.52"
"tools\build-product-data-sources.mjs","tools",".mjs","37801","36.92"
"tools\import-wyrestorm-product-guide.mjs","tools",".mjs","34010","33.21"
"tools\draft-technical-profiles-batch4.mjs","tools",".mjs","27977","27.32"
"tools\generate-product-intelligence-index.mjs","tools",".mjs","26889","26.26"
"tools\build-wingman-canonical-data.mjs","tools",".mjs","24503","23.93"
"tools\repair-product-call-card-copy-technology-conflicts.mjs","tools",".mjs","24141","23.58"
"tools\import-wingman-source-pdfs.mjs","tools",".mjs","23650","23.1"
"tools\apply-avoip-data-governance.mjs","tools",".mjs","22535","22.01"
"tools\enrich-product-call-cards-from-wyrestorm.mjs","tools",".mjs","21319","20.82"
"tools\audit-product-database-quality.mjs","tools",".mjs","20125","19.65"
"tools\audit-wingman-routing-pages.mjs","tools",".mjs","19671","19.21"
"tools\draft-technical-profiles-batch3.mjs","tools",".mjs","19504","19.05"
"tools\draft-technical-profiles-batch1.mjs","tools",".mjs","19047","18.6"
"tools\repair-routed-io-evidence.mjs","tools",".mjs","18908","18.46"
"tools\draft-technical-profiles-batch2.mjs","tools",".mjs","17560","17.15"
"tools\enrich-product-technical-summary.mjs","tools",".mjs","16458","16.07"
"tools\fix-non-dashboard-stash-issues.ps1","tools",".ps1","14558","14.22"
"tools\check-product-matching-scenarios.mjs","tools",".mjs","13231","12.92"
"tools\audit-wingman-data-sources.mjs","tools",".mjs","13203","12.89"
"tools\audit-product-classifications-v2.mjs","tools",".mjs","12942","12.64"
"tools\audit-matrix-output-topology.mjs","tools",".mjs","12871","12.57"
"tools\draft-missing-technical-profiles.mjs","tools",".mjs","12574","12.28"
"tools\audit-product-story-coverage.mjs","tools",".mjs","12233","11.95"
"tools\repair-product-call-card-accessory-language.mjs","tools",".mjs","11470","11.2"
"tools\audit-wingman-engine-routing.mjs","tools",".mjs","11401","11.13"
"tools\check-wingman-recommendation-scenarios.mjs","tools",".mjs","10861","10.61"
"tools\check-wyrestorm-technical-data.mjs","tools",".mjs","10488","10.24"
"tools\repair-template-market-filters.cjs","tools",".cjs","10221","9.98"
"tools\infer-hdmi-hdbaset-versions.mjs","tools",".mjs","10062","9.83"
"tools\production-readiness-check.mjs","tools",".mjs","10012","9.78"
"tools\stabilise-product-call-cards-gallery-examples.mjs","tools",".mjs","9977","9.74"
"tools\generate-product-call-card-products.mjs","tools",".mjs","9878","9.65"
"tools\load-test.mjs","tools",".mjs","9728","9.5"
"tools\audit-wingman-route-registry-direct.mjs.20260718-190305.bak","tools",".bak","9694","9.47"
"tools\check-wyrestorm-product-updates.mjs","tools",".mjs","9437","9.22"
"tools\infer-chroma-detail.mjs","tools",".mjs","8873","8.67"
"tools\product-intelligence-audit.mjs","tools",".mjs","8682","8.48"
"tools\lib\wingman-size-budgets.mjs","tools",".mjs","8423","8.23"
"tools\repair-template-detail-horizontal-scroll.mjs","tools",".mjs","8170","7.98"
"tools\generate-product-media-index.mjs","tools",".mjs","8165","7.97"
"tools\audit-recommendation-accuracy-priority3.mjs","tools",".mjs","7931","7.75"
"tools\migrate-wingman-page-markup.mjs","tools",".mjs","7928","7.74"
"tools\repair-product-call-card-targeted-questions.mjs","tools",".mjs","7921","7.74"
"tools\audit-wingman-feature-surface.mjs","tools",".mjs","7916","7.73"
"tools\wingman-stress-check.mjs","tools",".mjs","7897","7.71"
"tools\repair-product-call-cards-invalid-hooks.mjs","tools",".mjs","7680","7.5"
"tools\check-template-signal-path.mjs","tools",".mjs","7465","7.29"
"tools\fix-product-intelligence-review-chip-contrast-hard.mjs","tools",".mjs","7373","7.2"
"tools\enforce-wingman-vertical-only-layout.mjs","tools",".mjs","7328","7.16"
"tools\check-app-page-style-consistency.mjs","tools",".mjs","7323","7.15"
"tools\audit-text-hygiene.mjs","tools",".mjs","7265","7.09"
"tools\reconcile-wyrestorm-lifecycle.mjs","tools",".mjs","7265","7.09"
"tools\infer-usb-standard.mjs","tools",".mjs","7229","7.06"
"tools\audit-wyrestorm-technical-data.mjs","tools",".mjs","7191","7.02"
