sku,name,currentFamily,correctedFamily,correctedRole,correctedCategory,confidence,reason
"AMP-2120-DNT","Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm","Audio / Control","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"AMP-260-DNT","Advanced 2 or 4 Channel Dante Amplifier - WyreStorm","Audio / Control","Amplifier","Audio amplifier","Audio","high","AMP SKU or amplifier naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-100-UC","Apollo Series Conference Speakerphone - WyreStorm","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-200-UC","Apollo Series Conference Speakerphone & Switcher - WyreStorm","Unified Comms","Speaker","Loudspeaker","Audio","high","Speaker naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-COM-MIC","Add-On Microphone for Apollo Video Bar - WyreStorm","Unified Comms","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG-DOCK","Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm","Unified Comms","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG-HDMI","HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm","Unified Comms","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG2","Apollo USB-C Wireless Casting Dongle - WyreStorm","Unified Comms","Apollo","Presentation / UC product","Presentation / UC","high","APO SKU pattern"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-DG2-PRO","Apollo USB-C Wireless Casting Dongle - WyreStorm","Unified Comms","Camera","Camera / camera bridge","Camera / capture","high","CAM SKU or camera naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
"APO-MIC-EXT","USB Extender for Apollo Add-On Mic - WyreStorm","Unified Comms","Extender","Signal extender","Extension","high","EX SKU or extender naming"
"OFFICIAL-PRODUCT-PAGE","","","Unclassified","Product","General AV","medium","General fallback classification"
