sku,name,family,role,category,reason
"AMP-2120-DNT","Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm","Amplifier","Dante network amplifier","Audio","AMP SKU prefix"
"AMP-260-DNT","Advanced 2 or 4 Channel Dante Amplifier - WyreStorm","Amplifier","Dante network amplifier","Audio","AMP SKU prefix"
"APO-100-UC","Apollo Series Conference Speakerphone - WyreStorm","Apollo","Apollo presentation / UC product","Presentation / UC","APO SKU prefix"
"APO-200-UC","Apollo Series Conference Speakerphone & Switcher - WyreStorm","Apollo","Apollo presentation / UC product","Presentation / UC","APO SKU prefix"
"APO-COM-MIC","Add-On Microphone for Apollo Video Bar - WyreStorm","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-DG-DOCK","Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG-HDMI","HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2","Apollo USB-C Wireless Casting Dongle - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-DG2-PRO","Apollo USB-C Wireless Casting Dongle - WyreStorm","Apollo","Apollo wireless casting / conferencing dongle or dock","Presentation / UC","APO SKU prefix"
"APO-MIC-EXT","USB Extender for Apollo Add-On Mic - WyreStorm","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-SKY-MIC","Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm","Apollo","Apollo microphone / UC accessory","Presentation / UC","APO SKU prefix"
"APO-VX20-MNT","Display Mount for Apollo VX20 Video Bars - WyreStorm","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"APO-VX20-UC-V2","Video Bar for Conference Rooms: Advanced Meeting Solution","Apollo","Apollo video bar / room UC switcher","Presentation / UC","APO SKU prefix"
"CAB-DAOC-10-C","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-DAOC-10-P","32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15-C","Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-15-P","24Gbps 4-core Active Optical HDMI Cable | WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20","Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20-C","Active Optical HDMI Cable | 4K HDR| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-20-P","Active Optical HDMI Cable | Plenum & FT6 Rated| WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-30-C","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-30-P","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-FRL-XX","8K HDMI Cable - CAB‑HAOC‑FRL‑XX HDMI 2.1 Bandwidth 48Gbps | WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-XX","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-XX-C","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | CPR Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-HAOC-XX-P","24Gbps 4-core Active Optical HDMI Cable | 4K HDR 4:4:4/60 | Kevlar strengthened | Detachable Head | Plenum & FT6 Rated - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-IR-LINK","IR Link Cable for Control System Integration - WyreStorm","Cable","Cable","Cables","CAB SKU prefix"
"CAB-UAOC-15-C","15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-UAOC-15-P","15 Meter USB 3.2 GEN 2 10Gbps Active Optical Extension Cable - WyreStorm","Cable","Active optical cable","Cables","CAB SKU prefix"
"CAB-UAOC-USBC-10","USB 3.2 USB-C to USB-C Cable| WyreStorm","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAB-USBC-15","USB-C Active Optical Cable (15m/49ft) - WyreStorm","Cable","USB-C cable","Cables","CAB SKU prefix"
"CAM-0402-BRG","4K Multi-Camera Video Bridge with USB & HDMI Inputs & Outputs - WyreStorm","Camera","Camera bridge","Camera / capture","CAM SKU prefix"
