sku,title,family,role,technologyType,expectedTechnologyType,productRole,catalogVisibility,primaryCategory,category,subCategory,productType,subClassifications,profileFeatureCount,profilePortCount,officialPageStatus,correctionSource,issues
AMP-2120,Advanced 2 or 4 Channel Amplifier,Amplifier,Audio amplifier,Audio / Control,Audio / Control,primary-hardware,default,Audio,Amplification,DSP amplifier,Network amplifier,amplifier|dsp|room-audio,6,6,product-guide-pdf,,
AMP-2120-DNT,Advanced 1 or 2 Channel Dante Amplifier with support for Low and High Impedance Speaker Systems - WyreStorm,Amplifier,Dante network amplifier,Audio / Control,Audio / Control,primary-hardware,default,Audio,Amplification,Dante DSP amplifier,Network amplifier,amplifier|dsp|dante,9,10,200,product-manager-profile:wyrestorm-product-manager-v1,
AMP-260-DNT,Advanced 2 or 4 Channel Dante Amplifier - WyreStorm,Amplifier,Dante network amplifier,Audio / Control,Audio / Control,primary-hardware,default,Audio,Amplification,Dante DSP amplifier,Network amplifier,amplifier|dsp|dante,9,10,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-100-UC,Apollo Series Conference Speakerphone - WyreStorm,Apollo,Apollo presentation / UC product,Unified Comms,Unified Comms,primary-hardware,default,Unified Communications,UC audio / room core,Speakerphone switcher,UC room device,speakerphone,13,9,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-200-UC,Apollo Series Conference Speakerphone & Switcher - WyreStorm,Apollo,Apollo presentation / UC product,Unified Comms,Unified Comms,primary-hardware,default,Unified Communications,UC audio / room core,Speakerphone switcher,UC room device,speakerphone|switcher,20,10,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-COM-MIC,Add-On Microphone for Apollo Video Bar - WyreStorm,Apollo,Apollo microphone / UC accessory,Unified Comms,Unified Comms,accessory,request-only,Unified Communications,Microphone system,UC microphone accessory,Microphone endpoint,microphone|video-bar,7,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-DG-DOCK,Docking Cradle for APO-DG2 Wireless Casting Dongle and APO-DG-HDMI Adapter - WyreStorm,Apollo,Apollo wireless casting / conferencing dongle or dock,Unified Comms,Unified Comms,workflow-endpoint,conditional-default,Unified Communications,Wireless collaboration accessory,Apollo wireless dongle,Wireless casting endpoint,wireless-dongle,3,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-DG-HDMI,HDMI+USB A to USB-C Adapter for the APO-DG1 & DG2 - WyreStorm,Apollo,Apollo wireless casting / conferencing dongle or dock,Unified Comms,Unified Comms,workflow-endpoint,conditional-default,Unified Communications,Wireless collaboration accessory,Apollo wireless dongle,Wireless casting endpoint,wireless-dongle,5,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-DG2,Apollo USB-C Wireless Casting Dongle - WyreStorm,Apollo,Apollo wireless casting / conferencing dongle or dock,Unified Comms,Unified Comms,workflow-endpoint,conditional-default,Unified Communications,Wireless collaboration accessory,Apollo wireless dongle,Wireless casting endpoint,wireless-dongle|switcher,4,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-DG2-PRO,Apollo USB-C Wireless Casting Dongle - WyreStorm,Apollo,Apollo wireless casting / conferencing dongle or dock,Unified Comms,Unified Comms,workflow-endpoint,conditional-default,Unified Communications,Wireless collaboration accessory,Apollo wireless dongle,Wireless casting endpoint,wireless-dongle|camera|switcher,7,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-MIC-EXT,USB Extender for Apollo Add-On Mic - WyreStorm,Apollo,Apollo microphone / UC accessory,Unified Comms,Unified Comms,accessory,request-only,Unified Communications,Microphone system,UC microphone accessory,Microphone endpoint,microphone,2,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-SKY-MIC,Companion Add-on Ceiling Mic for Apollo Video Bar and Microphone Hub - WyreStorm,Apollo,Apollo microphone / UC accessory,Unified Comms,Unified Comms,accessory,request-only,Unified Communications,Microphone system,UC microphone accessory,Microphone endpoint,microphone|video-bar,8,7,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-VX20-MNT,Display Mount for Apollo VX20 Video Bars - WyreStorm,Apollo,Apollo video bar / room UC switcher,Accessory,Accessory,accessory,request-only,Accessory / Other,Mounting accessory,Product-specific mounting kit,Mount / bracket,mounting-accessory|accessory,1,0,200,product-manager-profile:wyrestorm-product-manager-v1,
APO-VX20-UC-V2,Video Bar for Conference Rooms: Advanced Meeting Solution,Apollo,Apollo video bar / room UC switcher,Unified Comms,Unified Comms,primary-hardware,default,Unified Communications,Camera / capture,UC microphone accessory,Camera endpoint,microphone|camera|video-bar,17,15,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-DAOC-10-C,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) CPR, CL3 Approvals - WyreStorm",Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,DisplayPort cable,Active optical cable,Cable,cable|active-optical,6,0,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-DAOC-10-P,"32Gbps 8K 60Hz DisplayPort 1.4 Active Optical Cable with DP++ Support (10m/32ft) Plenum, FT6 Approvals - WyreStorm",Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,DisplayPort cable,Active optical cable,Cable,cable|active-optical,6,0,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-HAOC-15-C,Active Optical HDMI Cable | 4K HDR 4:4:4/60| WyreStorm,Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Active optical cable,Cable,cable|active-optical,3,1,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-HAOC-15-P,24Gbps 4-core Active Optical HDMI Cable | WyreStorm,Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Active optical cable,Cable,cable|active-optical,3,1,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-HAOC-2,"24Gbps 4-Core Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR | Kevlar strengthened | ISF Certified - WyreStorm",Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Active optical cable,Cable,cable|active-optical,4,2,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-HAOC-20,"Active Optical HDMI Cable | 4K HDR 4:4:4/60, ARC, CEC, ALLM & VRR| WyreStorm",Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Active optical cable,Cable,cable|active-optical,4,1,200,product-manager-profile:wyrestorm-product-manager-v1,
CAB-HAOC-20-C,Active Optical HDMI Cable | 4K HDR| WyreStorm,Cable,Active optical cable,Cable,Cable,cable,request-only,Cable / Connectivity,HDMI cable,Active optical cable,Cable,cable|active-optical,3,1,200,product-manager-profile:wyrestorm-product-manager-v1,
